Phi[deg],Theta[deg],dB(RealizedGainTotal)
-180,0,3.76261
-178,0,3.76261
-176,0,3.76261
-174,0,3.76261
-172,0,3.76261
-170,0,3.76261
-168,0,3.76261
-166,0,3.76261
-164,0,3.76261
-162,0,3.76261
-160,0,3.76261
-158,0,3.76261
-156,0,3.76261
-154,0,3.76261
-152,0,3.76261
-150,0,3.76261
-148,0,3.76261
-146,0,3.76261
-144,0,3.76261
-142,0,3.76261
-140,0,3.76261
-138,0,3.76261
-136,0,3.76261
-134,0,3.76261
-132,0,3.76261
-130,0,3.76261
-128,0,3.76261
-126,0,3.76261
-124,0,3.76261
-122,0,3.76261
-120,0,3.76261
-118,0,3.76261
-116,0,3.76261
-114,0,3.76261
-112,0,3.76261
-110,0,3.76261
-108,0,3.76261
-106,0,3.76261
-104,0,3.76261
-102,0,3.76261
-100,0,3.76261
-98,0,3.76261
-96,0,3.76261
-94,0,3.76261
-92,0,3.76261
-90,0,3.76261
-88,0,3.76261
-86,0,3.76261
-84,0,3.76261
-82,0,3.76261
-80,0,3.76261
-78,0,3.76261
-76,0,3.76261
-74,0,3.76261
-72,0,3.76261
-70,0,3.76261
-68,0,3.76261
-66,0,3.76261
-64,0,3.76261
-62,0,3.76261
-60,0,3.76261
-58,0,3.76261
-56,0,3.76261
-54,0,3.76261
-52,0,3.76261
-50,0,3.76261
-48,0,3.76261
-46,0,3.76261
-44,0,3.76261
-42,0,3.76261
-40,0,3.76261
-38,0,3.76261
-36,0,3.76261
-34,0,3.76261
-32,0,3.76261
-30,0,3.76261
-28,0,3.76261
-26,0,3.76261
-24,0,3.76261
-22,0,3.76261
-20,0,3.76261
-18,0,3.76261
-16,0,3.76261
-14,0,3.76261
-12,0,3.76261
-10,0,3.76261
-8,0,3.76261
-6,0,3.76261
-4,0,3.76261
-2,0,3.76261
0,0,3.76261
2,0,3.76261
4,0,3.76261
6,0,3.76261
8,0,3.76261
10,0,3.76261
12,0,3.76261
14,0,3.76261
16,0,3.76261
18,0,3.76261
20,0,3.76261
22,0,3.76261
24,0,3.76261
26,0,3.76261
28,0,3.76261
30,0,3.76261
32,0,3.76261
34,0,3.76261
36,0,3.76261
38,0,3.76261
40,0,3.76261
42,0,3.76261
44,0,3.76261
46,0,3.76261
48,0,3.76261
50,0,3.76261
52,0,3.76261
54,0,3.76261
56,0,3.76261
58,0,3.76261
60,0,3.76261
62,0,3.76261
64,0,3.76261
66,0,3.76261
68,0,3.76261
70,0,3.76261
72,0,3.76261
74,0,3.76261
76,0,3.76261
78,0,3.76261
80,0,3.76261
82,0,3.76261
84,0,3.76261
86,0,3.76261
88,0,3.76261
90,0,3.76261
92,0,3.76261
94,0,3.76261
96,0,3.76261
98,0,3.76261
100,0,3.76261
102,0,3.76261
104,0,3.76261
106,0,3.76261
108,0,3.76261
110,0,3.76261
112,0,3.76261
114,0,3.76261
116,0,3.76261
118,0,3.76261
120,0,3.76261
122,0,3.76261
124,0,3.76261
126,0,3.76261
128,0,3.76261
130,0,3.76261
132,0,3.76261
134,0,3.76261
136,0,3.76261
138,0,3.76261
140,0,3.76261
142,0,3.76261
144,0,3.76261
146,0,3.76261
148,0,3.76261
150,0,3.76261
152,0,3.76261
154,0,3.76261
156,0,3.76261
158,0,3.76261
160,0,3.76261
162,0,3.76261
164,0,3.76261
166,0,3.76261
168,0,3.76261
170,0,3.76261
172,0,3.76261
174,0,3.76261
176,0,3.76261
178,0,3.76261
180,0,3.76261
-180,2,3.76095
-178,2,3.7609
-176,2,3.76086
-174,2,3.76082
-172,2,3.76078
-170,2,3.76075
-168,2,3.76072
-166,2,3.7607
-164,2,3.76068
-162,2,3.76067
-160,2,3.76066
-158,2,3.76065
-156,2,3.76065
-154,2,3.76065
-152,2,3.76065
-150,2,3.76065
-148,2,3.76066
-146,2,3.76066
-144,2,3.76067
-142,2,3.76068
-140,2,3.76068
-138,2,3.76068
-136,2,3.76068
-134,2,3.76068
-132,2,3.76068
-130,2,3.76066
-128,2,3.76065
-126,2,3.76062
-124,2,3.7606
-122,2,3.76056
-120,2,3.76051
-118,2,3.76046
-116,2,3.7604
-114,2,3.76032
-112,2,3.76024
-110,2,3.76014
-108,2,3.76003
-106,2,3.75991
-104,2,3.75978
-102,2,3.75964
-100,2,3.75948
-98,2,3.7593
-96,2,3.75912
-94,2,3.75892
-92,2,3.7587
-90,2,3.75847
-88,2,3.75823
-86,2,3.75797
-84,2,3.7577
-82,2,3.75742
-80,2,3.75712
-78,2,3.75681
-76,2,3.75649
-74,2,3.75615
-72,2,3.75581
-70,2,3.75545
-68,2,3.75509
-66,2,3.75471
-64,2,3.75433
-62,2,3.75394
-60,2,3.75354
-58,2,3.75314
-56,2,3.75274
-54,2,3.75233
-52,2,3.75192
-50,2,3.75151
-48,2,3.7511
-46,2,3.75069
-44,2,3.75028
-42,2,3.74988
-40,2,3.74948
-38,2,3.74909
-36,2,3.74871
-34,2,3.74833
-32,2,3.74797
-30,2,3.74761
-28,2,3.74727
-26,2,3.74694
-24,2,3.74663
-22,2,3.74634
-20,2,3.74606
-18,2,3.74579
-16,2,3.74555
-14,2,3.74533
-12,2,3.74512
-10,2,3.74494
-8,2,3.74478
-6,2,3.74464
-4,2,3.74453
-2,2,3.74444
0,2,3.74437
2,2,3.74432
4,2,3.74431
6,2,3.74431
8,2,3.74434
10,2,3.74439
12,2,3.74447
14,2,3.74458
16,2,3.7447
18,2,3.74485
20,2,3.74503
22,2,3.74522
24,2,3.74544
26,2,3.74568
28,2,3.74594
30,2,3.74622
32,2,3.74652
34,2,3.74684
36,2,3.74717
38,2,3.74752
40,2,3.74788
42,2,3.74826
44,2,3.74865
46,2,3.74906
48,2,3.74947
50,2,3.74989
52,2,3.75032
