Phi[deg],Theta[deg],dB(RealizedGainTotal)
-180,0,-6.92068
-178,0,-6.92068
-176,0,-6.92068
-174,0,-6.92068
-172,0,-6.92068
-170,0,-6.92068
-168,0,-6.92068
-166,0,-6.92068
-164,0,-6.92068
-162,0,-6.92068
-160,0,-6.92068
-158,0,-6.92068
-156,0,-6.92068
-154,0,-6.92068
-152,0,-6.92068
-150,0,-6.92068
-148,0,-6.92068
-146,0,-6.92068
-144,0,-6.92068
-142,0,-6.92068
-140,0,-6.92068
-138,0,-6.92068
-136,0,-6.92068
-134,0,-6.92068
-132,0,-6.92068
-130,0,-6.92068
-128,0,-6.92068
-126,0,-6.92068
-124,0,-6.92068
-122,0,-6.92068
-120,0,-6.92068
-118,0,-6.92068
-116,0,-6.92068
-114,0,-6.92068
-112,0,-6.92068
-110,0,-6.92068
-108,0,-6.92068
-106,0,-6.92068
-104,0,-6.92068
-102,0,-6.92068
-100,0,-6.92068
-98,0,-6.92068
-96,0,-6.92068
-94,0,-6.92068
-92,0,-6.92068
-90,0,-6.92068
-88,0,-6.92068
-86,0,-6.92068
-84,0,-6.92068
-82,0,-6.92068
-80,0,-6.92068
-78,0,-6.92068
-76,0,-6.92068
-74,0,-6.92068
-72,0,-6.92068
-70,0,-6.92068
-68,0,-6.92068
-66,0,-6.92068
-64,0,-6.92068
-62,0,-6.92068
-60,0,-6.92068
-58,0,-6.92068
-56,0,-6.92068
-54,0,-6.92068
-52,0,-6.92068
-50,0,-6.92068
-48,0,-6.92068
-46,0,-6.92068
-44,0,-6.92068
-42,0,-6.92068
-40,0,-6.92068
-38,0,-6.92068
-36,0,-6.92068
-34,0,-6.92068
-32,0,-6.92068
-30,0,-6.92068
-28,0,-6.92068
-26,0,-6.92068
-24,0,-6.92068
-22,0,-6.92068
-20,0,-6.92068
-18,0,-6.92068
-16,0,-6.92068
-14,0,-6.92068
-12,0,-6.92068
-10,0,-6.92068
-8,0,-6.92068
-6,0,-6.92068
-4,0,-6.92068
-2,0,-6.92068
0,0,-6.92068
2,0,-6.92068
4,0,-6.92068
6,0,-6.92068
8,0,-6.92068
10,0,-6.92068
12,0,-6.92068
14,0,-6.92068
16,0,-6.92068
18,0,-6.92068
20,0,-6.92068
22,0,-6.92068
24,0,-6.92068
26,0,-6.92068
28,0,-6.92068
30,0,-6.92068
32,0,-6.92068
34,0,-6.92068
36,0,-6.92068
38,0,-6.92068
40,0,-6.92068
42,0,-6.92068
44,0,-6.92068
46,0,-6.92068
48,0,-6.92068
50,0,-6.92068
52,0,-6.92068
54,0,-6.92068
56,0,-6.92068
58,0,-6.92068
60,0,-6.92068
62,0,-6.92068
64,0,-6.92068
