Phi[deg],Theta[deg],GainRHCP
-180,0,0.3398
-178,0,0.3398
-176,0,0.3398
-174,0,0.3398
-172,0,0.3398
-170,0,0.3398
-168,0,0.3398
-166,0,0.3398
-164,0,0.3398
-162,0,0.3398
-160,0,0.3398
-158,0,0.3398
-156,0,0.3398
-154,0,0.3398
-152,0,0.3398
-150,0,0.3398
-148,0,0.3398
-146,0,0.3398
-144,0,0.3398
-142,0,0.3398
-140,0,0.3398
-138,0,0.3398
-136,0,0.3398
-134,0,0.3398
-132,0,0.3398
-130,0,0.3398
-128,0,0.3398
-126,0,0.3398
-124,0,0.3398
-122,0,0.3398
-120,0,0.3398
-118,0,0.3398
-116,0,0.3398
-114,0,0.3398
-112,0,0.3398
-110,0,0.3398
-108,0,0.3398
-106,0,0.3398
-104,0,0.3398
-102,0,0.3398
-100,0,0.3398
-98,0,0.3398
-96,0,0.3398
-94,0,0.3398
-92,0,0.3398
-90,0,0.3398
-88,0,0.3398
-86,0,0.3398
-84,0,0.3398
-82,0,0.3398
-80,0,0.3398
-78,0,0.3398
-76,0,0.3398
-74,0,0.3398
-72,0,0.3398
-70,0,0.3398
-68,0,0.3398
-66,0,0.3398
-64,0,0.3398
-62,0,0.3398
-60,0,0.3398
-58,0,0.3398
-56,0,0.3398
-54,0,0.3398
-52,0,0.3398
-50,0,0.3398
-48,0,0.3398
-46,0,0.3398
-44,0,0.3398
-42,0,0.3398
-40,0,0.3398
-38,0,0.3398
-36,0,0.3398
-34,0,0.3398
-32,0,0.3398
-30,0,0.3398
-28,0,0.3398
-26,0,0.3398
-24,0,0.3398
-22,0,0.3398
-20,0,0.3398
-18,0,0.3398
-16,0,0.3398
-14,0,0.3398
-12,0,0.3398
-10,0,0.3398
-8,0,0.3398
-6,0,0.3398
-4,0,0.3398
-2,0,0.3398
0,0,0.3398
2,0,0.3398
4,0,0.3398
6,0,0.3398
8,0,0.3398
10,0,0.3398
12,0,0.3398
14,0,0.3398
16,0,0.3398
18,0,0.3398
20,0,0.3398
22,0,0.3398
24,0,0.3398
26,0,0.3398
28,0,0.3398
30,0,0.3398
32,0,0.3398
34,0,0.3398
36,0,0.3398
38,0,0.3398
40,0,0.3398
42,0,0.3398
44,0,0.3398
46,0,0.3398
48,0,0.3398
