Phi[deg],Theta[deg],GainRHCP
34,2,3.47021
36,2,3.47051
38,2,3.47085
40,2,3.47123
42,2,3.47165
44,2,3.4721
46,2,3.47259
48,2,3.47312
50,2,3.47367
52,2,3.47426
54,2,3.47487
56,2,3.47552
58,2,3.47618
60,2,3.47688
62,2,3.47759
64,2,3.47833
66,2,3.47908
68,2,3.47986
70,2,3.48065
72,2,3.48145
74,2,3.48226
76,2,3.48309
78,2,3.48393
80,2,3.48477
82,2,3.48562
84,2,3.48648
86,2,3.48734
88,2,3.4882
90,2,3.48907
92,2,3.48993
94,2,3.49079
96,2,3.49165
98,2,3.4925
100,2,3.49335
102,2,3.4942
104,2,3.49503
106,2,3.49586
108,2,3.49668
110,2,3.4975
112,2,3.4983
114,2,3.49909
116,2,3.49987
118,2,3.50064
120,2,3.5014
122,2,3.50215
124,2,3.50288
126,2,3.5036
128,2,3.50431
130,2,3.50501
132,2,3.50569
134,2,3.50636
136,2,3.50702
138,2,3.50767
140,2,3.5083
142,2,3.50892
144,2,3.50952
146,2,3.51012
148,2,3.5107
150,2,3.51126
152,2,3.51182
154,2,3.51236
156,2,3.5129
158,2,3.51341
160,2,3.51392
162,2,3.51442
164,2,3.5149
166,2,3.51537
168,2,3.51583
170,2,3.51628
172,2,3.51672
174,2,3.51714
176,2,3.51755
178,2,3.51795
180,2,3.51834
-180,4,3.50655
-178,4,3.5072
-176,4,3.50785
-174,4,3.50851
-172,4,3.50917
-170,4,3.50984
-168,4,3.51051
-166,4,3.51117
-164,4,3.51184
-162,4,3.51251
-160,4,3.51317
-158,4,3.51382
-156,4,3.51447
-154,4,3.5151
-152,4,3.51572
-150,4,3.51633
-148,4,3.51691
-146,4,3.51747
-144,4,3.518
-142,4,3.5185
-140,4,3.51897
-138,4,3.5194
-136,4,3.51979
-134,4,3.52014
-132,4,3.52043
-130,4,3.52068
-128,4,3.52087
-126,4,3.52099
-124,4,3.52106
-122,4,3.52106
-120,4,3.52099
-118,4,3.52084
-116,4,3.52062
-114,4,3.52032
-112,4,3.51994
-110,4,3.51947
-108,4,3.51892
-106,4,3.51828
-104,4,3.51755
-102,4,3.51673
-100,4,3.51581
-98,4,3.51481
-96,4,3.51371
-94,4,3.51251
-92,4,3.51122
-90,4,3.50984
-88,4,3.50837
-86,4,3.50681
-84,4,3.50515
-82,4,3.50341
-80,4,3.50159
-78,4,3.49968
-76,4,3.4977
-74,4,3.49563
-72,4,3.4935
-70,4,3.49129
-68,4,3.48903
-66,4,3.4867
-64,4,3.48431
-62,4,3.48188
-60,4,3.4794
-58,4,3.47688
-56,4,3.47433
-54,4,3.47175
-52,4,3.46914
-50,4,3.46652
-48,4,3.46389
-46,4,3.46126
-44,4,3.45863
-42,4,3.456
-40,4,3.4534
-38,4,3.45081
-36,4,3.44825
-34,4,3.44573
-32,4,3.44325
-30,4,3.44081
-28,4,3.43843
-26,4,3.43611
-24,4,3.43385
-22,4,3.43166
-20,4,3.42955
-18,4,3.42752
-16,4,3.42558
-14,4,3.42372
-12,4,3.42196
-10,4,3.4203
-8,4,3.41875
-6,4,3.4173
-4,4,3.41596
-2,4,3.41473
0,4,3.41362
2,4,3.41263
4,4,3.41175
6,4,3.411
8,4,3.41036
10,4,3.40985
12,4,3.40947
14,4,3.4092
16,4,3.40906
18,4,3.40904
20,4,3.40914
22,4,3.40936
24,4,3.4097
26,4,3.41015
28,4,3.41072
30,4,3.41139
32,4,3.41217
34,4,3.41305
36,4,3.41404
38,4,3.41512
40,4,3.41629
42,4,3.41755
44,4,3.41889
46,4,3.42031
48,4,3.4218
50,4,3.42336
52,4,3.42498
54,4,3.42666
56,4,3.42839
58,4,3.43017
60,4,3.43199
62,4,3.43385
64,4,3.43573
66,4,3.43764
68,4,3.43958
70,4,3.44152
72,4,3.44348
74,4,3.44544
76,4,3.44741
78,4,3.44936
80,4,3.45131
82,4,3.45325
84,4,3.45517
86,4,3.45706
88,4,3.45893
90,4,3.46078
92,4,3.46259
94,4,3.46437
96,4,3.46611
98,4,3.46781
100,4,3.46948
102,4,3.4711
104,4,3.47267
106,4,3.4742
108,4,3.47568
110,4,3.47712
112,4,3.47851
114,4,3.47985
116,4,3.48114
118,4,3.48239
120,4,3.48359
122,4,3.48474
124,4,3.48585
126,4,3.48692
128,4,3.48794
130,4,3.48892
132,4,3.48987
134,4,3.49078
136,4,3.49165
138,4,3.49249
140,4,3.4933
142,4,3.49409
144,4,3.49484
146,4,3.49558
148,4,3.49629
150,4,3.49699
152,4,3.49766
154,4,3.49833
156,4,3.49898
158,4,3.49962
160,4,3.50026
162,4,3.50089
164,4,3.50151
166,4,3.50214
168,4,3.50276
170,4,3.50338
172,4,3.50401
174,4,3.50464
176,4,3.50527
178,4,3.50591
180,4,3.50655
-180,6,3.4725
-178,6,3.47331
-176,6,3.47417
-174,6,3.47507
-172,6,3.47604
-170,6,3.47705
-168,6,3.47811
-166,6,3.47922
-164,6,3.48037
-162,6,3.48156
-160,6,3.48279
-158,6,3.48406
-156,6,3.48535
-154,6,3.48666
-152,6,3.48799
-150,6,3.48933
-148,6,3.49068
-146,6,3.49201
-144,6,3.49334
-142,6,3.49465
-140,6,3.49593
-138,6,3.49717
-136,6,3.49837
-134,6,3.49951
-132,6,3.50059
-130,6,3.5016
-128,6,3.50253
-126,6,3.50336
-124,6,3.50411
-122,6,3.50474
-120,6,3.50526
-118,6,3.50565
-116,6,3.50592
-114,6,3.50605
-112,6,3.50603
-110,6,3.50586
-108,6,3.50553
-106,6,3.50504
-104,6,3.50438
-102,6,3.50355
-100,6,3.50255
-98,6,3.50137
-96,6,3.5
-94,6,3.49845
-92,6,3.49672
-90,6,3.49481
-88,6,3.49272
-86,6,3.49044
-84,6,3.48799
-82,6,3.48535
-80,6,3.48255
-78,6,3.47958
-76,6,3.47645
-74,6,3.47316
-72,6,3.46972
-70,6,3.46613
-68,6,3.46242
-66,6,3.45857
-64,6,3.45461
-62,6,3.45053
-60,6,3.44636
-58,6,3.44211
-56,6,3.43777
-54,6,3.43337
-52,6,3.42892
-50,6,3.42442
-48,6,3.41989
-46,6,3.41535
-44,6,3.41079
-42,6,3.40625
-40,6,3.40173
-38,6,3.39723
-36,6,3.39279
-34,6,3.38839
-32,6,3.38407
-30,6,3.37984
-28,6,3.37569
-26,6,3.37165
-24,6,3.36773
-22,6,3.36393
-20,6,3.36027
-18,6,3.35676
-16,6,3.35341
-14,6,3.35023
-12,6,3.34722
-10,6,3.3444
-8,6,3.34176
-6,6,3.33933
-4,6,3.3371
-2,6,3.33508
0,6,3.33327
2,6,3.33168
4,6,3.33032
6,6,3.32917
8,6,3.32826
10,6,3.32757
12,6,3.32711
14,6,3.32687
16,6,3.32687
18,6,3.32708
20,6,3.32752
22,6,3.32817
24,6,3.32904
26,6,3.33012
28,6,3.3314
30,6,3.33288
32,6,3.33454
34,6,3.33639
36,6,3.33842
38,6,3.34061
40,6,3.34296
42,6,3.34546
44,6,3.34809
46,6,3.35086
48,6,3.35374
50,6,3.35673
52,6,3.35982
54,6,3.36299
56,6,3.36624
58,6,3.36955
60,6,3.37291
62,6,3.37632
64,6,3.37975
66,6,3.3832
68,6,3.38666
70,6,3.39012
72,6,3.39357
74,6,3.39699
76,6,3.40039
78,6,3.40374
80,6,3.40704
82,6,3.41028
84,6,3.41346
86,6,3.41656
88,6,3.41959
90,6,3.42253
92,6,3.42538
94,6,3.42813
96,6,3.43078
98,6,3.43333
100,6,3.43577
102,6,3.43811
104,6,3.44033
106,6,3.44243
108,6,3.44443
110,6,3.44631
112,6,3.44808
114,6,3.44975
116,6,3.4513
118,6,3.45274
120,6,3.45408
122,6,3.45533
124,6,3.45647
126,6,3.45753
128,6,3.45849
130,6,3.45938
132,6,3.46019
134,6,3.46092
136,6,3.4616
138,6,3.46221
140,6,3.46277
142,6,3.46328
144,6,3.46376
146,6,3.4642
148,6,3.46461
150,6,3.46501
152,6,3.46539
154,6,3.46576
156,6,3.46614
158,6,3.46652
160,6,3.46691
162,6,3.46732
164,6,3.46775
166,6,3.46821
168,6,3.4687
170,6,3.46922
172,6,3.46979
