Phi[deg],Theta[deg],GainLHCP
-180,0,0.163702
-178,0,0.163702
-176,0,0.163702
-174,0,0.163702
-172,0,0.163702
-170,0,0.163702
-168,0,0.163702
-166,0,0.163702
-164,0,0.163702
-162,0,0.163702
-160,0,0.163702
-158,0,0.163702
-156,0,0.163702
-154,0,0.163702
-152,0,0.163702
-150,0,0.163702
-148,0,0.163702
-146,0,0.163702
-144,0,0.163702
-142,0,0.163702
-140,0,0.163702
-138,0,0.163702
-136,0,0.163702
-134,0,0.163702
-132,0,0.163702
-130,0,0.163702
-128,0,0.163702
-126,0,0.163702
-124,0,0.163702
-122,0,0.163702
-120,0,0.163702
-118,0,0.163702
-116,0,0.163702
-114,0,0.163702
-112,0,0.163702
-110,0,0.163702
-108,0,0.163702
-106,0,0.163702
-104,0,0.163702
-102,0,0.163702
-100,0,0.163702
-98,0,0.163702
-96,0,0.163702
-94,0,0.163702
-92,0,0.163702
-90,0,0.163702
-88,0,0.163702
-86,0,0.163702
-84,0,0.163702
-82,0,0.163702
-80,0,0.163702
-78,0,0.163702
-76,0,0.163702
-74,0,0.163702
-72,0,0.163702
-70,0,0.163702
-68,0,0.163702
-66,0,0.163702
-64,0,0.163702
-62,0,0.163702
-60,0,0.163702
-58,0,0.163702
-56,0,0.163702
-54,0,0.163702
-52,0,0.163702
-50,0,0.163702
-48,0,0.163702
-46,0,0.163702
-44,0,0.163702
-42,0,0.163702
-40,0,0.163702
-38,0,0.163702
-36,0,0.163702
-34,0,0.163702
-32,0,0.163702
-30,0,0.163702
-28,0,0.163702
-26,0,0.163702
-24,0,0.163702
-22,0,0.163702
-20,0,0.163702
-18,0,0.163702
-16,0,0.163702
-14,0,0.163702
-12,0,0.163702
-10,0,0.163702
-8,0,0.163702
-6,0,0.163702
-4,0,0.163702
-2,0,0.163702
0,0,0.163702
2,0,0.163702
4,0,0.163702
6,0,0.163702
8,0,0.163702
10,0,0.163702
12,0,0.163702
14,0,0.163702
16,0,0.163702
18,0,0.163702
20,0,0.163702
22,0,0.163702
24,0,0.163702
26,0,0.163702
28,0,0.163702
30,0,0.163702
32,0,0.163702
34,0,0.163702
36,0,0.163702
38,0,0.163702
40,0,0.163702
42,0,0.163702
44,0,0.163702
46,0,0.163702
48,0,0.163702
50,0,0.163702
52,0,0.163702
