Phi[deg],Theta[deg],GainRHCP
-180,0,0.147218
-178,0,0.147218
-176,0,0.147218
-174,0,0.147218
-172,0,0.147218
-170,0,0.147218
-168,0,0.147218
-166,0,0.147218
-164,0,0.147218
-162,0,0.147218
-160,0,0.147218
-158,0,0.147218
-156,0,0.147218
-154,0,0.147218
-152,0,0.147218
-150,0,0.147218
-148,0,0.147218
-146,0,0.147218
-144,0,0.147218
-142,0,0.147218
-140,0,0.147218
-138,0,0.147218
-136,0,0.147218
-134,0,0.147218
-132,0,0.147218
-130,0,0.147218
-128,0,0.147218
-126,0,0.147218
-124,0,0.147218
-122,0,0.147218
-120,0,0.147218
-118,0,0.147218
-116,0,0.147218
-114,0,0.147218
-112,0,0.147218
-110,0,0.147218
-108,0,0.147218
-106,0,0.147218
-104,0,0.147218
-102,0,0.147218
-100,0,0.147218
-98,0,0.147218
-96,0,0.147218
-94,0,0.147218
-92,0,0.147218
-90,0,0.147218
-88,0,0.147218
-86,0,0.147218
-84,0,0.147218
-82,0,0.147218
-80,0,0.147218
-78,0,0.147218
-76,0,0.147218
-74,0,0.147218
-72,0,0.147218
-70,0,0.147218
-68,0,0.147218
-66,0,0.147218
-64,0,0.147218
-62,0,0.147218
-60,0,0.147218
-58,0,0.147218
-56,0,0.147218
-54,0,0.147218
-52,0,0.147218
-50,0,0.147218
-48,0,0.147218
-46,0,0.147218
-44,0,0.147218
-42,0,0.147218
-40,0,0.147218
-38,0,0.147218
-36,0,0.147218
-34,0,0.147218
-32,0,0.147218
-30,0,0.147218
-28,0,0.147218
-26,0,0.147218
-24,0,0.147218
-22,0,0.147218
-20,0,0.147218
-18,0,0.147218
-16,0,0.147218
-14,0,0.147218
-12,0,0.147218
-10,0,0.147218
-8,0,0.147218
-6,0,0.147218
-4,0,0.147218
-2,0,0.147218
0,0,0.147218
2,0,0.147218
4,0,0.147218
6,0,0.147218
8,0,0.147218
10,0,0.147218
12,0,0.147218
14,0,0.147218
16,0,0.147218
18,0,0.147218
20,0,0.147218
22,0,0.147218
24,0,0.147218
26,0,0.147218
28,0,0.147218
30,0,0.147218
32,0,0.147218
34,0,0.147218
36,0,0.147218
38,0,0.147218
40,0,0.147218
42,0,0.147218
44,0,0.147218
46,0,0.147218
48,0,0.147218
50,0,0.147218
52,0,0.147218
54,0,0.147218
56,0,0.147218
58,0,0.147218
60,0,0.147218
62,0,0.147218
64,0,0.147218
66,0,0.147218
68,0,0.147218
70,0,0.147218
72,0,0.147218
74,0,0.147218
76,0,0.147218
78,0,0.147218
80,0,0.147218
82,0,0.147218
84,0,0.147218
86,0,0.147218
88,0,0.147218
90,0,0.147218
92,0,0.147218
94,0,0.147218
96,0,0.147218
98,0,0.147218
100,0,0.147218
102,0,0.147218
104,0,0.147218
106,0,0.147218
108,0,0.147218
110,0,0.147218
112,0,0.147218
114,0,0.147218
116,0,0.147218
118,0,0.147218
120,0,0.147218
122,0,0.147218
124,0,0.147218
126,0,0.147218
128,0,0.147218
130,0,0.147218
132,0,0.147218
134,0,0.147218
136,0,0.147218
138,0,0.147218
140,0,0.147218
142,0,0.147218
144,0,0.147218
146,0,0.147218
148,0,0.147218
150,0,0.147218
152,0,0.147218
154,0,0.147218
156,0,0.147218
158,0,0.147218
160,0,0.147218
162,0,0.147218
164,0,0.147218
166,0,0.147218
168,0,0.147218
170,0,0.147218
172,0,0.147218
174,0,0.147218
176,0,0.147218
178,0,0.147218
180,0,0.147218
-180,2,0.142615
-178,2,0.142884
-176,2,0.143167
-174,2,0.143462
-172,2,0.143768
-170,2,0.144087
-168,2,0.144416
-166,2,0.144756
-164,2,0.145105
-162,2,0.145463
-160,2,0.145828
-158,2,0.146201
-156,2,0.14658
-154,2,0.146963
-152,2,0.147351
-150,2,0.147742
-148,2,0.148135
-146,2,0.14853
-144,2,0.148924
-142,2,0.149317
-140,2,0.149708
-138,2,0.150096
-136,2,0.150479
-134,2,0.150857
-132,2,0.151229
-130,2,0.151593
-128,2,0.151948
-126,2,0.152294
-124,2,0.152629
-122,2,0.152952
-120,2,0.153263
-118,2,0.153561
-116,2,0.153845
-114,2,0.154113
-112,2,0.154366
-110,2,0.154603
-108,2,0.154822
-106,2,0.155024
-104,2,0.155208
-102,2,0.155373
-100,2,0.155519
-98,2,0.155647
-96,2,0.155754
-94,2,0.155843
-92,2,0.155911
-90,2,0.15596
-88,2,0.15599
-86,2,0.156
-84,2,0.15599
-82,2,0.155962
-80,2,0.155915
-78,2,0.15585
-76,2,0.155766
-74,2,0.155666
-72,2,0.155549
-70,2,0.155415
-68,2,0.155267
-66,2,0.155103
-64,2,0.154925
-62,2,0.154735
-60,2,0.154532
-58,2,0.154317
-56,2,0.154092
-54,2,0.153857
-52,2,0.153613
-50,2,0.153361
-48,2,0.153102
-46,2,0.152838
-44,2,0.152568
-42,2,0.152294
-40,2,0.152017
-38,2,0.151737
-36,2,0.151456
-34,2,0.151174
-32,2,0.150893
-30,2,0.150612
-28,2,0.150334
-26,2,0.150057
-24,2,0.149785
-22,2,0.149516
-20,2,0.149251
-18,2,0.148992
-16,2,0.148738
-14,2,0.14849
-12,2,0.148249
-10,2,0.148015
-8,2,0.147787
-6,2,0.147568
-4,2,0.147356
-2,2,0.147152
0,2,0.146956
2,2,0.146768
4,2,0.146589
6,2,0.146418
8,2,0.146254
10,2,0.146099
12,2,0.145952
14,2,0.145812
16,2,0.14568
18,2,0.145554
20,2,0.145436
22,2,0.145325
24,2,0.145219
26,2,0.14512
28,2,0.145026
30,2,0.144937
32,2,0.144853
34,2,0.144773
36,2,0.144697
38,2,0.144623
40,2,0.144553
42,2,0.144485
44,2,0.144419
46,2,0.144354
48,2,0.14429
50,2,0.144227
52,2,0.144164
54,2,0.1441
56,2,0.144035
58,2,0.14397
60,2,0.143903
62,2,0.143834
64,2,0.143763
66,2,0.143689
68,2,0.143613
70,2,0.143534
72,2,0.143453
74,2,0.143368
76,2,0.14328
78,2,0.143188
80,2,0.143094
82,2,0.142996
84,2,0.142895
86,2,0.142792
88,2,0.142685
90,2,0.142576
92,2,0.142464
94,2,0.142351
96,2,0.142235
98,2,0.142118
100,2,0.142
102,2,0.141882
104,2,0.141763
106,2,0.141645
108,2,0.141527
110,2,0.141411
112,2,0.141297
114,2,0.141185
116,2,0.141076
118,2,0.140972
120,2,0.140871
122,2,0.140776
124,2,0.140686
126,2,0.140602
128,2,0.140525
130,2,0.140456
132,2,0.140395
134,2,0.140343
136,2,0.140301
138,2,0.140268
140,2,0.140246
142,2,0.140235
144,2,0.140236
146,2,0.140248
148,2,0.140274
150,2,0.140312
152,2,0.140364
154,2,0.14043
156,2,0.14051
158,2,0.140604
160,2,0.140713
162,2,0.140836
164,2,0.140975
166,2,0.141128
168,2,0.141297
170,2,0.14148
172,2,0.141678
174,2,0.141891
176,2,0.142118
178,2,0.14236
180,2,0.142615
-180,4,0.134195
-178,4,0.134763
-176,4,0.135377
-174,4,0.136038
-172,4,0.136742
-170,4,0.13749
-168,4,0.138278
-166,4,0.139107
-164,4,0.139973
-162,4,0.140874
-160,4,0.141807
-158,4,0.142771
-156,4,0.143763
-154,4,0.144779
-152,4,0.145816
-150,4,0.146871
