Phi[deg],Theta[deg],GainLHCP
-180,0,0.480795
-178,0,0.480795
-176,0,0.480795
-174,0,0.480795
-172,0,0.480795
-170,0,0.480795
-168,0,0.480795
-166,0,0.480795
-164,0,0.480795
-162,0,0.480795
-160,0,0.480795
-158,0,0.480795
-156,0,0.480795
-154,0,0.480795
-152,0,0.480795
-150,0,0.480795
-148,0,0.480795
-146,0,0.480795
-144,0,0.480795
-142,0,0.480795
-140,0,0.480795
-138,0,0.480795
-136,0,0.480795
-134,0,0.480795
-132,0,0.480795
-130,0,0.480795
-128,0,0.480795
-126,0,0.480795
-124,0,0.480795
-122,0,0.480795
-120,0,0.480795
-118,0,0.480795
-116,0,0.480795
-114,0,0.480795
-112,0,0.480795
-110,0,0.480795
-108,0,0.480795
-106,0,0.480795
-104,0,0.480795
-102,0,0.480795
-100,0,0.480795
-98,0,0.480795
-96,0,0.480795
-94,0,0.480795
-92,0,0.480795
-90,0,0.480795
-88,0,0.480795
-86,0,0.480795
-84,0,0.480795
-82,0,0.480795
-80,0,0.480795
-78,0,0.480795
-76,0,0.480795
-74,0,0.480795
-72,0,0.480795
-70,0,0.480795
-68,0,0.480795
-66,0,0.480795
-64,0,0.480795
-62,0,0.480795
-60,0,0.480795
-58,0,0.480795
-56,0,0.480795
-54,0,0.480795
-52,0,0.480795
-50,0,0.480795
-48,0,0.480795
-46,0,0.480795
-44,0,0.480795
-42,0,0.480795
-40,0,0.480795
-38,0,0.480795
-36,0,0.480795
-34,0,0.480795
-32,0,0.480795
-30,0,0.480795
-28,0,0.480795
-26,0,0.480795
-24,0,0.480795
-22,0,0.480795
-20,0,0.480795
-18,0,0.480795
-16,0,0.480795
-14,0,0.480795
-12,0,0.480795
-10,0,0.480795
-8,0,0.480795
-6,0,0.480795
-4,0,0.480795
-2,0,0.480795
0,0,0.480795
2,0,0.480795
4,0,0.480795
6,0,0.480795
8,0,0.480795
10,0,0.480795
12,0,0.480795
14,0,0.480795
16,0,0.480795
18,0,0.480795
20,0,0.480795
22,0,0.480795
24,0,0.480795
26,0,0.480795
28,0,0.480795
30,0,0.480795
32,0,0.480795
34,0,0.480795
36,0,0.480795
38,0,0.480795
40,0,0.480795
42,0,0.480795
44,0,0.480795
46,0,0.480795
48,0,0.480795
50,0,0.480795
52,0,0.480795
54,0,0.480795
56,0,0.480795
58,0,0.480795
60,0,0.480795
62,0,0.480795
64,0,0.480795
66,0,0.480795
68,0,0.480795
70,0,0.480795
72,0,0.480795
74,0,0.480795
76,0,0.480795
78,0,0.480795
80,0,0.480795
82,0,0.480795
84,0,0.480795
86,0,0.480795
88,0,0.480795
90,0,0.480795
92,0,0.480795
94,0,0.480795
96,0,0.480795
98,0,0.480795
100,0,0.480795
102,0,0.480795
104,0,0.480795
106,0,0.480795
108,0,0.480795
110,0,0.480795
112,0,0.480795
114,0,0.480795
116,0,0.480795
118,0,0.480795
120,0,0.480795
122,0,0.480795
124,0,0.480795
126,0,0.480795
128,0,0.480795
130,0,0.480795
132,0,0.480795
134,0,0.480795
136,0,0.480795
138,0,0.480795
140,0,0.480795
142,0,0.480795
144,0,0.480795
146,0,0.480795
148,0,0.480795
150,0,0.480795
152,0,0.480795
154,0,0.480795
156,0,0.480795
158,0,0.480795
160,0,0.480795
162,0,0.480795
164,0,0.480795
166,0,0.480795
168,0,0.480795
170,0,0.480795
172,0,0.480795
174,0,0.480795
176,0,0.480795
178,0,0.480795
180,0,0.480795
-180,2,0.479834
-178,2,0.479643
-176,2,0.479449
-174,2,0.479252
-172,2,0.479053
-170,2,0.478853
-168,2,0.478651
-166,2,0.47845
-164,2,0.47825
-162,2,0.478051
-160,2,0.477854
-158,2,0.47766
-156,2,0.47747
-154,2,0.477284
-152,2,0.477102
-150,2,0.476927
-148,2,0.476758
-146,2,0.476595
-144,2,0.47644
-142,2,0.476294
-140,2,0.476156
-138,2,0.476027
-136,2,0.475908
-134,2,0.475799
-132,2,0.475701
-130,2,0.475613
-128,2,0.475537
-126,2,0.475473
-124,2,0.47542
-122,2,0.475379
-120,2,0.475351
-118,2,0.475335
-116,2,0.475331
-114,2,0.47534
-112,2,0.475361
-110,2,0.475394
-108,2,0.47544
-106,2,0.475498
-104,2,0.475567
-102,2,0.475648
-100,2,0.47574
-98,2,0.475843
-96,2,0.475956
-94,2,0.47608
-92,2,0.476213
-90,2,0.476355
-88,2,0.476505
-86,2,0.476664
-84,2,0.47683
-82,2,0.477002
-80,2,0.477181
-78,2,0.477365
-76,2,0.477554
-74,2,0.477747
-72,2,0.477943
-70,2,0.478142
-68,2,0.478343
-66,2,0.478545
-64,2,0.478748
-62,2,0.47895
-60,2,0.479151
-58,2,0.479351
-56,2,0.479549
-54,2,0.479743
-52,2,0.479935
-50,2,0.480122
-48,2,0.480304
-46,2,0.480481
-44,2,0.480652
-42,2,0.480816
-40,2,0.480974
-38,2,0.481125
-36,2,0.481268
-34,2,0.481403
-32,2,0.48153
-30,2,0.481648
-28,2,0.481758
-26,2,0.481859
-24,2,0.48195
-22,2,0.482033
-20,2,0.482106
-18,2,0.48217
-16,2,0.482225
-14,2,0.482271
-12,2,0.482308
-10,2,0.482336
-8,2,0.482356
-6,2,0.482367
-4,2,0.482371
-2,2,0.482366
0,2,0.482355
2,2,0.482336
4,2,0.482311
6,2,0.482279
8,2,0.482242
10,2,0.4822
12,2,0.482153
14,2,0.482102
16,2,0.482047
18,2,0.481989
20,2,0.481928
22,2,0.481865
24,2,0.481801
26,2,0.481736
28,2,0.48167
30,2,0.481605
32,2,0.48154
34,2,0.481476
36,2,0.481414
38,2,0.481354
40,2,0.481296
42,2,0.481242
44,2,0.48119
46,2,0.481143
48,2,0.481099
50,2,0.48106
52,2,0.481025
54,2,0.480995
56,2,0.480971
58,2,0.480951
60,2,0.480937
62,2,0.480929
64,2,0.480925
66,2,0.480928
68,2,0.480936
70,2,0.480949
72,2,0.480968
74,2,0.480992
76,2,0.481021
78,2,0.481055
80,2,0.481093
82,2,0.481136
84,2,0.481183
86,2,0.481233
88,2,0.481286
90,2,0.481343
92,2,0.481402
94,2,0.481462
96,2,0.481525
98,2,0.481588
100,2,0.481652
102,2,0.481716
104,2,0.481779
106,2,0.481841
108,2,0.481901
110,2,0.48196
112,2,0.482016
114,2,0.482068
116,2,0.482117
118,2,0.482161
120,2,0.482201
122,2,0.482235
124,2,0.482264
126,2,0.482287
128,2,0.482303
130,2,0.482312
132,2,0.482313
134,2,0.482307
136,2,0.482293
138,2,0.482271
140,2,0.48224
142,2,0.4822
144,2,0.482152
146,2,0.482094
148,2,0.482027
150,2,0.481952
152,2,0.481867
154,2,0.481773
156,2,0.48167
158,2,0.481559
160,2,0.481439
162,2,0.48131
164,2,0.481174
166,2,0.481029
168,2,0.480877
170,2,0.480718
172,2,0.480553
174,2,0.480381
176,2,0.480204
178,2,0.480021
180,2,0.479834
-180,4,0.47948
-178,4,0.478892
-176,4,0.478288
-174,4,0.47767
-172,4,0.477039
-170,4,0.4764
-168,4,0.475753
-166,4,0.475103
-164,4,0.47445
-162,4,0.473799
-160,4,0.473152
-158,4,0.472511
-156,4,0.47188
-154,4,0.47126
-152,4,0.470654
-150,4,0.470066
-148,4,0.469497
-146,4,0.46895
-144,4,0.468427
-142,4,0.46793
-140,4,0.467462
-138,4,0.467024
-136,4,0.466619
-134,4,0.466247
-132,4,0.465912
-130,4,0.465613
-128,4,0.465353
-126,4,0.465132
-124,4,0.464952
-122,4,0.464813
-120,4,0.464716
-118,4,0.464661
-116,4,0.464648
-114,4,0.464678
-112,4,0.464751
-110,4,0.464866
-108,4,0.465022
-106,4,0.465219
-104,4,0.465457
-102,4,0.465733
-100,4,0.466048
-98,4,0.466399
-96,4,0.466785
-94,4,0.467205
-92,4,0.467657
-90,4,0.468138
-88,4,0.468648
-86,4,0.469183
-84,4,0.469741
-82,4,0.470321
-80,4,0.470919
-78,4,0.471533
-76,4,0.472161
-74,4,0.4728
-72,4,0.473447
-70,4,0.474101
-68,4,0.474757
-66,4,0.475413
-64,4,0.476067
-62,4,0.476717
-60,4,0.477358
-58,4,0.47799
-56,4,0.478609
-54,4,0.479213
-52,4,0.4798
-50,4,0.480367
-48,4,0.480912
-46,4,0.481434
-44,4,0.48193
-42,4,0.482399
-40,4,0.482839
-38,4,0.483249
-36,4,0.483626
-34,4,0.483971
-32,4,0.484282
-30,4,0.484558
-28,4,0.484799
-26,4,0.485005
-24,4,0.485174
-22,4,0.485307
-20,4,0.485404
-18,4,0.485465
-16,4,0.485491
-14,4,0.485482
-12,4,0.485438
-10,4,0.485362
-8,4,0.485253
-6,4,0.485114
-4,4,0.484945
-2,4,0.484749
0,4,0.484525
2,4,0.484278
4,4,0.484007
6,4,0.483716
8,4,0.483406
10,4,0.483079
12,4,0.482738
14,4,0.482384
16,4,0.482021
18,4,0.48165
20,4,0.481273
22,4,0.480894
24,4,0.480514
26,4,0.480135
28,4,0.47976
30,4,0.479391
32,4,0.479031
34,4,0.47868
36,4,0.478342
38,4,0.478019
40,4,0.477711
42,4,0.477422
44,4,0.477152
46,4,0.476903
48,4,0.476677
50,4,0.476474
52,4,0.476297
54,4,0.476145
56,4,0.47602
58,4,0.475922
60,4,0.475852
62,4,0.47581
64,4,0.475797
66,4,0.475813
68,4,0.475856
70,4,0.475928
72,4,0.476028
74,4,0.476155
76,4,0.476308
78,4,0.476487
80,4,0.47669
82,4,0.476917
84,4,0.477165
86,4,0.477434
88,4,0.477722
90,4,0.478028
92,4,0.478349
94,4,0.478684
96,4,0.47903
98,4,0.479387
100,4,0.479751
102,4,0.48012
104,4,0.480493
106,4,0.480866
108,4,0.481239
110,4,0.481608
112,4,0.481971
114,4,0.482326
116,4,0.48267
118,4,0.483002
120,4,0.483319
122,4,0.48362
124,4,0.483901
126,4,0.484161
128,4,0.484398
130,4,0.484611
132,4,0.484797
134,4,0.484955
136,4,0.485084
138,4,0.485182
140,4,0.485248
142,4,0.485281
144,4,0.485281
146,4,0.485245
148,4,0.485175
150,4,0.485069
152,4,0.484927
154,4,0.484749
156,4,0.484536
158,4,0.484288
160,4,0.484004
162,4,0.483687
164,4,0.483336
166,4,0.482952
168,4,0.482538
170,4,0.482093
172,4,0.48162
174,4,0.481121
176,4,0.480596
178,4,0.480049
180,4,0.47948
-180,6,0.479762
-178,6,0.47858
-176,6,0.477358
-174,6,0.476101
-172,6,0.474815
-170,6,0.473506
-168,6,0.472178
-166,6,0.470838
-164,6,0.469492
-162,6,0.468145
-160,6,0.466803
-158,6,0.465473
-156,6,0.464159
-154,6,0.462869
-152,6,0.461606
-150,6,0.460378
-148,6,0.45919
-146,6,0.458046
-144,6,0.456952
-142,6,0.455912
-140,6,0.454932
-138,6,0.454015
-136,6,0.453166
-134,6,0.452389
-132,6,0.451686
-130,6,0.451061
-128,6,0.450516
-126,6,0.450055
-124,6,0.449679
-122,6,0.449389
-120,6,0.449187
-118,6,0.449075
-116,6,0.449051
-114,6,0.449118
-112,6,0.449273
-110,6,0.449517
-108,6,0.449848
-106,6,0.450266
-104,6,0.450767
-102,6,0.451351
-100,6,0.452014
-98,6,0.452753
-96,6,0.453566
-94,6,0.454449
-92,6,0.455397
-90,6,0.456408
-88,6,0.457476
-86,6,0.458596
-84,6,0.459765
-82,6,0.460976
-80,6,0.462225
-78,6,0.463506
-76,6,0.464814
-74,6,0.466143
-72,6,0.467487
-70,6,0.46884
-68,6,0.470196
-66,6,0.471551
-64,6,0.472897
-62,6,0.474229
-60,6,0.475542
-58,6,0.476829
-56,6,0.478086
-54,6,0.479307
-52,6,0.480487
-50,6,0.481622
-48,6,0.482706
-46,6,0.483735
-44,6,0.484705
-42,6,0.485613
-40,6,0.486454
-38,6,0.487226
-36,6,0.487926
-34,6,0.488551
-32,6,0.4891
-30,6,0.489571
-28,6,0.489962
-26,6,0.490273
-24,6,0.490504
-22,6,0.490653
-20,6,0.490722
-18,6,0.490712
