Phi[deg],Theta[deg],GainRHCP
-180,0,1.25989
-178,0,1.25989
-176,0,1.25989
-174,0,1.25989
-172,0,1.25989
-170,0,1.25989
-168,0,1.25989
-166,0,1.25989
-164,0,1.25989
-162,0,1.25989
-160,0,1.25989
-158,0,1.25989
-156,0,1.25989
-154,0,1.25989
-152,0,1.25989
-150,0,1.25989
-148,0,1.25989
-146,0,1.25989
-144,0,1.25989
-142,0,1.25989
-140,0,1.25989
-138,0,1.25989
-136,0,1.25989
-134,0,1.25989
-132,0,1.25989
-130,0,1.25989
-128,0,1.25989
-126,0,1.25989
-124,0,1.25989
-122,0,1.25989
-120,0,1.25989
-118,0,1.25989
-116,0,1.25989
-114,0,1.25989
-112,0,1.25989
-110,0,1.25989
-108,0,1.25989
-106,0,1.25989
-104,0,1.25989
-102,0,1.25989
-100,0,1.25989
-98,0,1.25989
-96,0,1.25989
-94,0,1.25989
-92,0,1.25989
-90,0,1.25989
-88,0,1.25989
-86,0,1.25989
-84,0,1.25989
-82,0,1.25989
-80,0,1.25989
-78,0,1.25989
-76,0,1.25989
-74,0,1.25989
-72,0,1.25989
-70,0,1.25989
-68,0,1.25989
-66,0,1.25989
-64,0,1.25989
-62,0,1.25989
-60,0,1.25989
-58,0,1.25989
-56,0,1.25989
-54,0,1.25989
-52,0,1.25989
-50,0,1.25989
-48,0,1.25989
-46,0,1.25989
-44,0,1.25989
-42,0,1.25989
-40,0,1.25989
-38,0,1.25989
-36,0,1.25989
-34,0,1.25989
-32,0,1.25989
-30,0,1.25989
-28,0,1.25989
-26,0,1.25989
-24,0,1.25989
-22,0,1.25989
-20,0,1.25989
-18,0,1.25989
-16,0,1.25989
-14,0,1.25989
-12,0,1.25989
-10,0,1.25989
-8,0,1.25989
-6,0,1.25989
-4,0,1.25989
-2,0,1.25989
0,0,1.25989
2,0,1.25989
4,0,1.25989
6,0,1.25989
8,0,1.25989
10,0,1.25989
12,0,1.25989
14,0,1.25989
16,0,1.25989
18,0,1.25989
20,0,1.25989
22,0,1.25989
24,0,1.25989
26,0,1.25989
28,0,1.25989
30,0,1.25989
32,0,1.25989
34,0,1.25989
36,0,1.25989
38,0,1.25989
40,0,1.25989
42,0,1.25989
44,0,1.25989
46,0,1.25989
48,0,1.25989
50,0,1.25989
52,0,1.25989
54,0,1.25989
56,0,1.25989
58,0,1.25989
60,0,1.25989
62,0,1.25989
64,0,1.25989
66,0,1.25989
68,0,1.25989
70,0,1.25989
72,0,1.25989
74,0,1.25989
76,0,1.25989
78,0,1.25989
80,0,1.25989
82,0,1.25989
84,0,1.25989
86,0,1.25989
88,0,1.25989
90,0,1.25989
92,0,1.25989
94,0,1.25989
96,0,1.25989
98,0,1.25989
100,0,1.25989
102,0,1.25989
104,0,1.25989
106,0,1.25989
108,0,1.25989
110,0,1.25989
112,0,1.25989
114,0,1.25989
116,0,1.25989
118,0,1.25989
120,0,1.25989
122,0,1.25989
124,0,1.25989
126,0,1.25989
128,0,1.25989
130,0,1.25989
132,0,1.25989
134,0,1.25989
136,0,1.25989
138,0,1.25989
140,0,1.25989
142,0,1.25989
144,0,1.25989
