Phi[deg],Theta[deg],GainRHCP
-180,0,0.0419202
-178,0,0.0419202
-176,0,0.0419202
-174,0,0.0419202
-172,0,0.0419202
-170,0,0.0419202
-168,0,0.0419202
-166,0,0.0419202
-164,0,0.0419202
-162,0,0.0419202
-160,0,0.0419202
-158,0,0.0419202
-156,0,0.0419202
-154,0,0.0419202
-152,0,0.0419202
-150,0,0.0419202
-148,0,0.0419202
-146,0,0.0419202
-144,0,0.0419202
-142,0,0.0419202
-140,0,0.0419202
-138,0,0.0419202
-136,0,0.0419202
-134,0,0.0419202
-132,0,0.0419202
-130,0,0.0419202
-128,0,0.0419202
-126,0,0.0419202
-124,0,0.0419202
-122,0,0.0419202
-120,0,0.0419202
-118,0,0.0419202
-116,0,0.0419202
-114,0,0.0419202
-112,0,0.0419202
-110,0,0.0419202
-108,0,0.0419202
-106,0,0.0419202
-104,0,0.0419202
-102,0,0.0419202
-100,0,0.0419202
-98,0,0.0419202
-96,0,0.0419202
-94,0,0.0419202
-92,0,0.0419202
-90,0,0.0419202
-88,0,0.0419202
-86,0,0.0419202
-84,0,0.0419202
-82,0,0.0419202
-80,0,0.0419202
-78,0,0.0419202
-76,0,0.0419202
-74,0,0.0419202
-72,0,0.0419202
-70,0,0.0419202
-68,0,0.0419202
-66,0,0.0419202
-64,0,0.0419202
-62,0,0.0419202
-60,0,0.0419202
-58,0,0.0419202
-56,0,0.0419202
-54,0,0.0419202
-52,0,0.0419202
-50,0,0.0419202
-48,0,0.0419202
-46,0,0.0419202
-44,0,0.0419202
-42,0,0.0419202
-40,0,0.0419202
-38,0,0.0419202
-36,0,0.0419202
-34,0,0.0419202
-32,0,0.0419202
-30,0,0.0419202
-28,0,0.0419202
-26,0,0.0419202
-24,0,0.0419202
-22,0,0.0419202
-20,0,0.0419202
-18,0,0.0419202
-16,0,0.0419202
-14,0,0.0419202
-12,0,0.0419202
-10,0,0.0419202
-8,0,0.0419202
-6,0,0.0419202
-4,0,0.0419202
-2,0,0.0419202
0,0,0.0419202
2,0,0.0419202
4,0,0.0419202
6,0,0.0419202
8,0,0.0419202
10,0,0.0419202
12,0,0.0419202
14,0,0.0419202
16,0,0.0419202
18,0,0.0419202
20,0,0.0419202
22,0,0.0419202
24,0,0.0419202
26,0,0.0419202
28,0,0.0419202
30,0,0.0419202
32,0,0.0419202
34,0,0.0419202
36,0,0.0419202
38,0,0.0419202
40,0,0.0419202
42,0,0.0419202
44,0,0.0419202
46,0,0.0419202
48,0,0.0419202
50,0,0.0419202
52,0,0.0419202
54,0,0.0419202
56,0,0.0419202
58,0,0.0419202
60,0,0.0419202
62,0,0.0419202
64,0,0.0419202
66,0,0.0419202
68,0,0.0419202
70,0,0.0419202
72,0,0.0419202
74,0,0.0419202
76,0,0.0419202
78,0,0.0419202
80,0,0.0419202
82,0,0.0419202
84,0,0.0419202
86,0,0.0419202
88,0,0.0419202
90,0,0.0419202
92,0,0.0419202
94,0,0.0419202
96,0,0.0419202
98,0,0.0419202
100,0,0.0419202
102,0,0.0419202
104,0,0.0419202
106,0,0.0419202
108,0,0.0419202
110,0,0.0419202
112,0,0.0419202
114,0,0.0419202
116,0,0.0419202
118,0,0.0419202
120,0,0.0419202
122,0,0.0419202
124,0,0.0419202
126,0,0.0419202
128,0,0.0419202
130,0,0.0419202
132,0,0.0419202
134,0,0.0419202
136,0,0.0419202
138,0,0.0419202
140,0,0.0419202
142,0,0.0419202
144,0,0.0419202
146,0,0.0419202
148,0,0.0419202
150,0,0.0419202
152,0,0.0419202
154,0,0.0419202
156,0,0.0419202
158,0,0.0419202
160,0,0.0419202
162,0,0.0419202
164,0,0.0419202
166,0,0.0419202
168,0,0.0419202
170,0,0.0419202
172,0,0.0419202
174,0,0.0419202
176,0,0.0419202
178,0,0.0419202
180,0,0.0419202
-180,2,0.0366299
-178,2,0.0367155
-176,2,0.0368066
-174,2,0.0369028
-172,2,0.0370038
-170,2,0.0371094
-168,2,0.0372191
-166,2,0.0373326
-164,2,0.0374496
