Phi[deg],Theta[deg],GainRHCP
-180,0,0.609907
-178,0,0.609907
-176,0,0.609907
-174,0,0.609907
-172,0,0.609907
-170,0,0.609907
-168,0,0.609907
-166,0,0.609907
-164,0,0.609907
-162,0,0.609907
-160,0,0.609907
-158,0,0.609907
-156,0,0.609907
-154,0,0.609907
-152,0,0.609907
-150,0,0.609907
-148,0,0.609907
-146,0,0.609907
-144,0,0.609907
-142,0,0.609907
-140,0,0.609907
-138,0,0.609907
-136,0,0.609907
-134,0,0.609907
-132,0,0.609907
-130,0,0.609907
-128,0,0.609907
-126,0,0.609907
-124,0,0.609907
-122,0,0.609907
-120,0,0.609907
-118,0,0.609907
-116,0,0.609907
-114,0,0.609907
-112,0,0.609907
-110,0,0.609907
-108,0,0.609907
-106,0,0.609907
-104,0,0.609907
-102,0,0.609907
-100,0,0.609907
-98,0,0.609907
-96,0,0.609907
-94,0,0.609907
-92,0,0.609907
-90,0,0.609907
-88,0,0.609907
-86,0,0.609907
-84,0,0.609907
-82,0,0.609907
-80,0,0.609907
-78,0,0.609907
-76,0,0.609907
-74,0,0.609907
-72,0,0.609907
-70,0,0.609907
-68,0,0.609907
-66,0,0.609907
-64,0,0.609907
-62,0,0.609907
-60,0,0.609907
-58,0,0.609907
-56,0,0.609907
-54,0,0.609907
-52,0,0.609907
-50,0,0.609907
-48,0,0.609907
-46,0,0.609907
-44,0,0.609907
-42,0,0.609907
-40,0,0.609907
-38,0,0.609907
-36,0,0.609907
-34,0,0.609907
-32,0,0.609907
-30,0,0.609907
-28,0,0.609907
-26,0,0.609907
-24,0,0.609907
-22,0,0.609907
-20,0,0.609907
-18,0,0.609907
-16,0,0.609907
-14,0,0.609907
-12,0,0.609907
-10,0,0.609907
-8,0,0.609907
-6,0,0.609907
-4,0,0.609907
-2,0,0.609907
0,0,0.609907
2,0,0.609907
4,0,0.609907
6,0,0.609907
8,0,0.609907
10,0,0.609907
12,0,0.609907
14,0,0.609907
16,0,0.609907
18,0,0.609907
20,0,0.609907
22,0,0.609907
24,0,0.609907
26,0,0.609907
28,0,0.609907
30,0,0.609907
32,0,0.609907
34,0,0.609907
36,0,0.609907
38,0,0.609907
40,0,0.609907
42,0,0.609907
44,0,0.609907
46,0,0.609907
48,0,0.609907
50,0,0.609907
52,0,0.609907
54,0,0.609907
56,0,0.609907
58,0,0.609907
60,0,0.609907
62,0,0.609907
64,0,0.609907
66,0,0.609907
68,0,0.609907
70,0,0.609907
72,0,0.609907
74,0,0.609907
76,0,0.609907
78,0,0.609907
80,0,0.609907
82,0,0.609907
84,0,0.609907
86,0,0.609907
88,0,0.609907
90,0,0.609907
92,0,0.609907
94,0,0.609907
96,0,0.609907
98,0,0.609907
100,0,0.609907
102,0,0.609907
104,0,0.609907
106,0,0.609907
108,0,0.609907
110,0,0.609907
112,0,0.609907
114,0,0.609907
116,0,0.609907
118,0,0.609907
120,0,0.609907
122,0,0.609907
124,0,0.609907
126,0,0.609907
128,0,0.609907
130,0,0.609907
132,0,0.609907
