Phi[deg],Theta[deg],GainLHCP
-180,0,4.37703
-178,0,4.37703
-176,0,4.37703
-174,0,4.37703
-172,0,4.37703
-170,0,4.37703
-168,0,4.37703
-166,0,4.37703
-164,0,4.37703
-162,0,4.37703
-160,0,4.37703
-158,0,4.37703
-156,0,4.37703
-154,0,4.37703
-152,0,4.37703
-150,0,4.37703
-148,0,4.37703
-146,0,4.37703
-144,0,4.37703
-142,0,4.37703
-140,0,4.37703
-138,0,4.37703
-136,0,4.37703
-134,0,4.37703
-132,0,4.37703
-130,0,4.37703
-128,0,4.37703
-126,0,4.37703
-124,0,4.37703
-122,0,4.37703
-120,0,4.37703
-118,0,4.37703
-116,0,4.37703
-114,0,4.37703
-112,0,4.37703
-110,0,4.37703
-108,0,4.37703
-106,0,4.37703
-104,0,4.37703
-102,0,4.37703
-100,0,4.37703
-98,0,4.37703
-96,0,4.37703
-94,0,4.37703
-92,0,4.37703
-90,0,4.37703
-88,0,4.37703
-86,0,4.37703
-84,0,4.37703
-82,0,4.37703
-80,0,4.37703
-78,0,4.37703
-76,0,4.37703
-74,0,4.37703
-72,0,4.37703
-70,0,4.37703
-68,0,4.37703
-66,0,4.37703
-64,0,4.37703
-62,0,4.37703
-60,0,4.37703
-58,0,4.37703
-56,0,4.37703
-54,0,4.37703
-52,0,4.37703
-50,0,4.37703
-48,0,4.37703
-46,0,4.37703
-44,0,4.37703
-42,0,4.37703
-40,0,4.37703
-38,0,4.37703
-36,0,4.37703
-34,0,4.37703
-32,0,4.37703
-30,0,4.37703
-28,0,4.37703
-26,0,4.37703
-24,0,4.37703
-22,0,4.37703
-20,0,4.37703
-18,0,4.37703
-16,0,4.37703
-14,0,4.37703
-12,0,4.37703
-10,0,4.37703
-8,0,4.37703
-6,0,4.37703
-4,0,4.37703
-2,0,4.37703
0,0,4.37703
2,0,4.37703
4,0,4.37703
6,0,4.37703
8,0,4.37703
10,0,4.37703
12,0,4.37703
14,0,4.37703
16,0,4.37703
18,0,4.37703
20,0,4.37703
22,0,4.37703
24,0,4.37703
26,0,4.37703
28,0,4.37703
30,0,4.37703
32,0,4.37703
34,0,4.37703
36,0,4.37703
38,0,4.37703
40,0,4.37703
42,0,4.37703
44,0,4.37703
46,0,4.37703
48,0,4.37703
50,0,4.37703
52,0,4.37703
54,0,4.37703
56,0,4.37703
58,0,4.37703
60,0,4.37703
62,0,4.37703
64,0,4.37703
66,0,4.37703
68,0,4.37703
70,0,4.37703
72,0,4.37703
74,0,4.37703
76,0,4.37703
78,0,4.37703
80,0,4.37703
82,0,4.37703
84,0,4.37703
86,0,4.37703
88,0,4.37703
90,0,4.37703
92,0,4.37703
94,0,4.37703
96,0,4.37703
98,0,4.37703
100,0,4.37703
102,0,4.37703
104,0,4.37703
106,0,4.37703
108,0,4.37703
110,0,4.37703
112,0,4.37703
114,0,4.37703
116,0,4.37703
118,0,4.37703
120,0,4.37703
122,0,4.37703
124,0,4.37703
126,0,4.37703
128,0,4.37703
130,0,4.37703
132,0,4.37703
134,0,4.37703
136,0,4.37703
138,0,4.37703
140,0,4.37703
142,0,4.37703
144,0,4.37703
146,0,4.37703
148,0,4.37703
150,0,4.37703
152,0,4.37703
154,0,4.37703
156,0,4.37703
158,0,4.37703
160,0,4.37703
162,0,4.37703
164,0,4.37703
166,0,4.37703
168,0,4.37703
170,0,4.37703
172,0,4.37703
174,0,4.37703
176,0,4.37703
178,0,4.37703
180,0,4.37703
-180,2,4.29857
-178,2,4.29725
-176,2,4.29601
-174,2,4.29486
-172,2,4.2938
-170,2,4.29283
-168,2,4.29195
-166,2,4.29116
-164,2,4.29046
-162,2,4.28986
-160,2,4.28936
-158,2,4.28895
-156,2,4.28864
-154,2,4.28843
-152,2,4.28833
-150,2,4.28832
-148,2,4.28841
-146,2,4.2886
-144,2,4.2889
-142,2,4.28929
-140,2,4.28979
-138,2,4.29039
-136,2,4.29109
-134,2,4.29188
-132,2,4.29278
-130,2,4.29377
-128,2,4.29487
-126,2,4.29605
-124,2,4.29733
-122,2,4.29871
-120,2,4.30017
-118,2,4.30172
-116,2,4.30337
-114,2,4.30509
-112,2,4.3069
-110,2,4.30879
-108,2,4.31076
-106,2,4.3128
-104,2,4.31492
-102,2,4.3171
-100,2,4.31936
-98,2,4.32167
-96,2,4.32405
-94,2,4.32649
-92,2,4.32898
-90,2,4.33152
-88,2,4.3341
-86,2,4.33674
-84,2,4.33941
-82,2,4.34212
-80,2,4.34486
-78,2,4.34763
-76,2,4.35042
-74,2,4.35324
-72,2,4.35607
-70,2,4.35892
-68,2,4.36178
-66,2,4.36464
-64,2,4.3675
-62,2,4.37037
-60,2,4.37322
-58,2,4.37607
-56,2,4.3789
-54,2,4.38172
-52,2,4.38451
-50,2,4.38729
-48,2,4.39003
-46,2,4.39274
-44,2,4.39541
-42,2,4.39805
-40,2,4.40064
-38,2,4.40319
-36,2,4.40569
-34,2,4.40813
-32,2,4.41053
-30,2,4.41286
-28,2,4.41513
-26,2,4.41734
-24,2,4.41949
-22,2,4.42156
-20,2,4.42357
-18,2,4.4255
-16,2,4.42736
-14,2,4.42914
-12,2,4.43083
-10,2,4.43245
-8,2,4.43399
-6,2,4.43544
-4,2,4.4368
-2,2,4.43808
0,2,4.43927
2,2,4.44037
4,2,4.44138
6,2,4.44229
8,2,4.44312
10,2,4.44385
12,2,4.44449
14,2,4.44504
16,2,4.44549
18,2,4.44585
20,2,4.44611
22,2,4.44629
24,2,4.44636
26,2,4.44635
28,2,4.44624
30,2,4.44604
32,2,4.44574
34,2,4.44536
36,2,4.44489
38,2,4.44432
40,2,4.44367
42,2,4.44293
44,2,4.44211
46,2,4.4412
48,2,4.44021
50,2,4.43913
52,2,4.43798
54,2,4.43674
56,2,4.43543
58,2,4.43404
60,2,4.43258
62,2,4.43104
64,2,4.42944
66,2,4.42777
68,2,4.42603
70,2,4.42422
72,2,4.42236
74,2,4.42043
76,2,4.41845
78,2,4.4164
80,2,4.41431
82,2,4.41216
84,2,4.40997
86,2,4.40773
88,2,4.40544
90,2,4.40311
92,2,4.40074
94,2,4.39834
96,2,4.3959
98,2,4.39343
100,2,4.39093
102,2,4.3884
104,2,4.38585
106,2,4.38328
108,2,4.38069
110,2,4.37808
112,2,4.37546
114,2,4.37282
116,2,4.37018
118,2,4.36754
120,2,4.36489
122,2,4.36225
124,2,4.3596
126,2,4.35697
128,2,4.35434
130,2,4.35172
132,2,4.34912
134,2,4.34654
136,2,4.34398
138,2,4.34144
140,2,4.33892
142,2,4.33644
144,2,4.33399
146,2,4.33157
148,2,4.3292
150,2,4.32686
152,2,4.32456
154,2,4.32232
156,2,4.32012
158,2,4.31798
160,2,4.31588
162,2,4.31385
164,2,4.31188
166,2,4.30997
168,2,4.30812
170,2,4.30635
172,2,4.30464
174,2,4.30301
176,2,4.30145
178,2,4.29997
180,2,4.29857
-180,4,4.20518
-178,4,4.20233
-176,4,4.19963
-174,4,4.1971
-172,4,4.19474
-170,4,4.19255
-168,4,4.19055
-166,4,4.18872
-164,4,4.18708
-162,4,4.18563
-160,4,4.18438
-158,4,4.18333
-156,4,4.18247
-154,4,4.18182
-152,4,4.18138
-150,4,4.18115
-148,4,4.18112
-146,4,4.18131
-144,4,4.18171
-142,4,4.18233
-140,4,4.18316
-138,4,4.1842
-136,4,4.18546
-134,4,4.18693
-132,4,4.18862
-130,4,4.19051
-128,4,4.19262
-126,4,4.19493
-124,4,4.19744
-122,4,4.20016
-120,4,4.20308
-118,4,4.20619
-116,4,4.20949
-114,4,4.21298
-112,4,4.21665
-110,4,4.22049
-108,4,4.2245
-106,4,4.22868
-104,4,4.23302
-102,4,4.23751
-100,4,4.24215
-98,4,4.24692
-96,4,4.25183
-94,4,4.25686
-92,4,4.262
-90,4,4.26726
-88,4,4.27262
-86,4,4.27807
-84,4,4.2836
-82,4,4.28921
-80,4,4.29488
-78,4,4.30062
-76,4,4.3064
-74,4,4.31223
-72,4,4.31808
-70,4,4.32396
-68,4,4.32986
-66,4,4.33576
-64,4,4.34166
-62,4,4.34754
-60,4,4.35341
-58,4,4.35925
-56,4,4.36505
-54,4,4.3708
-52,4,4.37651
-50,4,4.38215
-48,4,4.38772
-46,4,4.39321
-44,4,4.39862
-42,4,4.40394
-40,4,4.40915
-38,4,4.41427
-36,4,4.41927
-34,4,4.42415
-32,4,4.42891
-30,4,4.43354
-28,4,4.43803
-26,4,4.44238
-24,4,4.44658
-22,4,4.45064
-20,4,4.45454
-18,4,4.45828
-16,4,4.46185
-14,4,4.46526
-12,4,4.4685
-10,4,4.47157
-8,4,4.47446
-6,4,4.47717
-4,4,4.4797
-2,4,4.48205
0,4,4.48422
2,4,4.4862
4,4,4.488
6,4,4.4896
8,4,4.49103
10,4,4.49226
12,4,4.49331
14,4,4.49417
16,4,4.49484
18,4,4.49533
20,4,4.49563
22,4,4.49576
24,4,4.49569
26,4,4.49545
28,4,4.49503
30,4,4.49443
32,4,4.49366
34,4,4.49272
36,4,4.49161
38,4,4.49033
40,4,4.48888
42,4,4.48728
44,4,4.48551
46,4,4.4836
48,4,4.48153
50,4,4.47931
52,4,4.47694
54,4,4.47444
56,4,4.4718
58,4,4.46902
60,4,4.46611
62,4,4.46308
64,4,4.45992
66,4,4.45664
68,4,4.45325
70,4,4.44974
72,4,4.44613
74,4,4.44241
76,4,4.4386
78,4,4.43468
80,4,4.43068
82,4,4.42658
84,4,4.4224
86,4,4.41814
88,4,4.4138
90,4,4.40939
92,4,4.40491
94,4,4.40036
96,4,4.39575
98,4,4.39109
100,4,4.38637
102,4,4.3816
104,4,4.37678
106,4,4.37193
108,4,4.36703
110,4,4.36211
112,4,4.35715
114,4,4.35217
116,4,4.34716
118,4,4.34214
120,4,4.33711
122,4,4.33207
124,4,4.32703
126,4,4.32198
128,4,4.31695
130,4,4.31192
132,4,4.30691
134,4,4.30192
136,4,4.29695
138,4,4.29202
140,4,4.28712
142,4,4.28226
144,4,4.27745
146,4,4.27269
148,4,4.26799
150,4,4.26335
152,4,4.25877
154,4,4.25428
156,4,4.24986
158,4,4.24553
160,4,4.24129
162,4,4.23714
164,4,4.2331
166,4,4.22917
168,4,4.22535
170,4,4.22166
172,4,4.21809
174,4,4.21465
176,4,4.21135
178,4,4.20819
180,4,4.20518
-180,6,4.09832
-178,6,4.09372
-176,6,4.08936
-174,6,4.08522
-172,6,4.08133
-170,6,4.0777
-168,6,4.07432
-166,6,4.07122
-164,6,4.06839
-162,6,4.06586
-160,6,4.06361
-158,6,4.06167
-156,6,4.06003
-154,6,4.05871
-152,6,4.05771
-150,6,4.05703
-148,6,4.05667
-146,6,4.05666
-144,6,4.05697
-142,6,4.05762
-140,6,4.05862
-138,6,4.05995
-136,6,4.06162
-134,6,4.06364
-132,6,4.066
-130,6,4.06869
-128,6,4.07172
-126,6,4.07508
-124,6,4.07878
-122,6,4.0828
-120,6,4.08713
-118,6,4.09179
-116,6,4.09675
-114,6,4.10201
-112,6,4.10756
-110,6,4.1134
-108,6,4.11952
-106,6,4.1259
-104,6,4.13253
-102,6,4.13942
-100,6,4.14653
-98,6,4.15387
-96,6,4.16142
-94,6,4.16916
-92,6,4.1771
-90,6,4.1852
-88,6,4.19346
-86,6,4.20187
-84,6,4.2104
-82,6,4.21905
-80,6,4.22781
-78,6,4.23665
-76,6,4.24556
-74,6,4.25453
-72,6,4.26355
-70,6,4.27259
-68,6,4.28165
-66,6,4.2907
-64,6,4.29975
-62,6,4.30876
-60,6,4.31773
-58,6,4.32664
-56,6,4.33548
-54,6,4.34424
-52,6,4.3529
-50,6,4.36145
-48,6,4.36988
-46,6,4.37818
-44,6,4.38632
-42,6,4.39432
-40,6,4.40214
-38,6,4.40979
-36,6,4.41725
-34,6,4.42451
-32,6,4.43157
-30,6,4.43841
-28,6,4.44503
-26,6,4.45142
-24,6,4.45758
-22,6,4.46349
-20,6,4.46915
-18,6,4.47455
-16,6,4.47969
-14,6,4.48457
-12,6,4.48918
-10,6,4.49352
-8,6,4.49758
-6,6,4.50137
-4,6,4.50487
-2,6,4.50809
0,6,4.51103
2,6,4.51369
4,6,4.51606
6,6,4.51815
8,6,4.51995
10,6,4.52147
12,6,4.52271
14,6,4.52368
16,6,4.52436
18,6,4.52477
20,6,4.52491
22,6,4.52478
24,6,4.52438
26,6,4.52372
28,6,4.52281
30,6,4.52164
32,6,4.52022
34,6,4.51856
36,6,4.51666
38,6,4.51453
40,6,4.51217
42,6,4.50959
44,6,4.50679
46,6,4.50378
48,6,4.50056
50,6,4.49714
52,6,4.49353
54,6,4.48973
56,6,4.48575
58,6,4.4816
60,6,4.47727
62,6,4.47278
64,6,4.46813
66,6,4.46333
68,6,4.45838
70,6,4.45329
72,6,4.44807
74,6,4.44271
76,6,4.43723
78,6,4.43163
80,6,4.42591
82,6,4.42008
84,6,4.41415
86,6,4.40812
88,6,4.40198
90,6,4.39576
92,6,4.38945
94,6,4.38306
96,6,4.37658
98,6,4.37003
100,6,4.36341
102,6,4.35672
104,6,4.34997
106,6,4.34316
108,6,4.33629
110,6,4.32938
112,6,4.32241
114,6,4.3154
116,6,4.30836
118,6,4.30128
120,6,4.29417
122,6,4.28703
124,6,4.27987
126,6,4.2727
128,6,4.26552
130,6,4.25833
132,6,4.25115
134,6,4.24397
136,6,4.23681
138,6,4.22966
140,6,4.22255
142,6,4.21546
144,6,4.20842
146,6,4.20142
148,6,4.19449
150,6,4.18761
152,6,4.18081
154,6,4.17409
156,6,4.16746
158,6,4.16092
160,6,4.1545
162,6,4.14819
164,6,4.14201
166,6,4.13597
168,6,4.13007
170,6,4.12433
172,6,4.11876
174,6,4.11336
176,6,4.10814
178,6,4.10313
180,6,4.09832
-180,8,3.97955
-178,8,3.97303
-176,8,3.96679
-174,8,3.96085
-172,8,3.95522
-170,8,3.94991
-168,8,3.94494
-166,8,3.94033
-164,8,3.93609
-162,8,3.93223
-160,8,3.92876
-158,8,3.9257
-156,8,3.92305
-154,8,3.92083
-152,8,3.91905
-150,8,3.91771
-148,8,3.91683
-146,8,3.9164
-144,8,3.91644
-142,8,3.91695
-140,8,3.91793
-138,8,3.9194
-136,8,3.92134
-134,8,3.92376
-132,8,3.92667
-130,8,3.93005
-128,8,3.9339
-126,8,3.93823
-124,8,3.94303
-122,8,3.94829
-120,8,3.95401
-118,8,3.96017
-116,8,3.96677
-114,8,3.97379
-112,8,3.98124
-110,8,3.98909
-108,8,3.99733
-106,8,4.00594
-104,8,4.01492
-102,8,4.02425
-100,8,4.0339
-98,8,4.04387
