Phi[deg],Theta[deg],GainLHCP
-180,0,4.64909
-178,0,4.64909
-176,0,4.64909
-174,0,4.64909
-172,0,4.64909
-170,0,4.64909
-168,0,4.64909
-166,0,4.64909
-164,0,4.64909
-162,0,4.64909
-160,0,4.64909
-158,0,4.64909
-156,0,4.64909
-154,0,4.64909
-152,0,4.64909
-150,0,4.64909
-148,0,4.64909
-146,0,4.64909
-144,0,4.64909
-142,0,4.64909
-140,0,4.64909
-138,0,4.64909
-136,0,4.64909
-134,0,4.64909
-132,0,4.64909
-130,0,4.64909
-128,0,4.64909
-126,0,4.64909
-124,0,4.64909
-122,0,4.64909
-120,0,4.64909
-118,0,4.64909
-116,0,4.64909
-114,0,4.64909
-112,0,4.64909
-110,0,4.64909
-108,0,4.64909
-106,0,4.64909
-104,0,4.64909
-102,0,4.64909
-100,0,4.64909
-98,0,4.64909
-96,0,4.64909
-94,0,4.64909
-92,0,4.64909
-90,0,4.64909
-88,0,4.64909
-86,0,4.64909
-84,0,4.64909
-82,0,4.64909
-80,0,4.64909
-78,0,4.64909
-76,0,4.64909
-74,0,4.64909
-72,0,4.64909
-70,0,4.64909
-68,0,4.64909
-66,0,4.64909
-64,0,4.64909
-62,0,4.64909
-60,0,4.64909
-58,0,4.64909
-56,0,4.64909
-54,0,4.64909
-52,0,4.64909
-50,0,4.64909
-48,0,4.64909
-46,0,4.64909
-44,0,4.64909
-42,0,4.64909
-40,0,4.64909
-38,0,4.64909
-36,0,4.64909
-34,0,4.64909
-32,0,4.64909
-30,0,4.64909
-28,0,4.64909
-26,0,4.64909
-24,0,4.64909
-22,0,4.64909
-20,0,4.64909
-18,0,4.64909
-16,0,4.64909
-14,0,4.64909
-12,0,4.64909
-10,0,4.64909
-8,0,4.64909
-6,0,4.64909
-4,0,4.64909
-2,0,4.64909
0,0,4.64909
2,0,4.64909
4,0,4.64909
6,0,4.64909
8,0,4.64909
10,0,4.64909
12,0,4.64909
14,0,4.64909
16,0,4.64909
18,0,4.64909
20,0,4.64909
22,0,4.64909
24,0,4.64909
26,0,4.64909
28,0,4.64909
30,0,4.64909
32,0,4.64909
34,0,4.64909
36,0,4.64909
38,0,4.64909
40,0,4.64909
42,0,4.64909
44,0,4.64909
46,0,4.64909
48,0,4.64909
50,0,4.64909
52,0,4.64909
54,0,4.64909
56,0,4.64909
58,0,4.64909
60,0,4.64909
62,0,4.64909
64,0,4.64909
66,0,4.64909
68,0,4.64909
70,0,4.64909
72,0,4.64909
74,0,4.64909
76,0,4.64909
78,0,4.64909
80,0,4.64909
82,0,4.64909
84,0,4.64909
86,0,4.64909
88,0,4.64909
90,0,4.64909
92,0,4.64909
94,0,4.64909
96,0,4.64909
98,0,4.64909
100,0,4.64909
102,0,4.64909
104,0,4.64909
106,0,4.64909
108,0,4.64909
110,0,4.64909
112,0,4.64909
114,0,4.64909
116,0,4.64909
118,0,4.64909
120,0,4.64909
122,0,4.64909
124,0,4.64909
126,0,4.64909
128,0,4.64909
130,0,4.64909
132,0,4.64909
134,0,4.64909
136,0,4.64909
138,0,4.64909
140,0,4.64909
142,0,4.64909
144,0,4.64909
146,0,4.64909
148,0,4.64909
150,0,4.64909
152,0,4.64909
154,0,4.64909
156,0,4.64909
158,0,4.64909
160,0,4.64909
162,0,4.64909
164,0,4.64909
166,0,4.64909
168,0,4.64909
170,0,4.64909
172,0,4.64909
174,0,4.64909
176,0,4.64909
178,0,4.64909
180,0,4.64909
-180,2,4.63499
-178,2,4.63521
-176,2,4.63544
-174,2,4.63568
-172,2,4.63593
-170,2,4.63618
-168,2,4.63644
-166,2,4.63671
-164,2,4.63698
-162,2,4.63726
-160,2,4.63755
-158,2,4.63784
-156,2,4.63813
-154,2,4.63842
-152,2,4.63872
-150,2,4.63902
-148,2,4.63932
-146,2,4.63962
-144,2,4.63993
-142,2,4.64023
-140,2,4.64053
-138,2,4.64082
-136,2,4.64112
-134,2,4.64141
-132,2,4.6417
-130,2,4.64198
-128,2,4.64226
-126,2,4.64254
-124,2,4.6428
-122,2,4.64307
-120,2,4.64332
-118,2,4.64357
-116,2,4.64381
-114,2,4.64404
-112,2,4.64426
-110,2,4.64448
-108,2,4.64469
-106,2,4.64488
-104,2,4.64507
-102,2,4.64525
-100,2,4.64541
-98,2,4.64557
-96,2,4.64571
-94,2,4.64585
-92,2,4.64598
-90,2,4.64609
-88,2,4.64619
-86,2,4.64629
-84,2,4.64637
-82,2,4.64644
-80,2,4.6465
-78,2,4.64656
-76,2,4.6466
-74,2,4.64663
-72,2,4.64665
-70,2,4.64666
-68,2,4.64666
-66,2,4.64666
-64,2,4.64664
-62,2,4.64662
-60,2,4.64658
-58,2,4.64654
-56,2,4.64649
-54,2,4.64644
-52,2,4.64638
-50,2,4.64631
-48,2,4.64623
-46,2,4.64615
-44,2,4.64606
-42,2,4.64597
-40,2,4.64587
-38,2,4.64576
-36,2,4.64566
-34,2,4.64554
-32,2,4.64543
-30,2,4.64531
-28,2,4.64519
-26,2,4.64506
-24,2,4.64493
-22,2,4.6448
-20,2,4.64467
-18,2,4.64453
-16,2,4.6444
-14,2,4.64426
-12,2,4.64412
-10,2,4.64398
-8,2,4.64384
-6,2,4.6437
-4,2,4.64355
-2,2,4.64341
0,2,4.64326
2,2,4.64312
4,2,4.64297
6,2,4.64282
8,2,4.64267
10,2,4.64253
12,2,4.64238
14,2,4.64223
16,2,4.64208
18,2,4.64192
20,2,4.64177
22,2,4.64162
24,2,4.64147
26,2,4.64131
28,2,4.64116
30,2,4.641
32,2,4.64084
34,2,4.64068
36,2,4.64052
38,2,4.64036
40,2,4.6402
42,2,4.64003
44,2,4.63986
46,2,4.6397
48,2,4.63953
50,2,4.63936
52,2,4.63918
54,2,4.63901
56,2,4.63883
58,2,4.63865
60,2,4.63847
62,2,4.63829
64,2,4.63811
66,2,4.63793
68,2,4.63775
70,2,4.63756
72,2,4.63737
74,2,4.63719
76,2,4.637
78,2,4.63681
80,2,4.63663
82,2,4.63644
84,2,4.63626
86,2,4.63607
88,2,4.63589
90,2,4.63571
92,2,4.63553
94,2,4.63535
96,2,4.63518
98,2,4.635
100,2,4.63484
102,2,4.63467
104,2,4.63451
106,2,4.63436
108,2,4.63421
110,2,4.63406
112,2,4.63393
114,2,4.63379
116,2,4.63367
118,2,4.63355
120,2,4.63344
122,2,4.63334
124,2,4.63325
126,2,4.63316
128,2,4.63309
130,2,4.63302
132,2,4.63296
134,2,4.63292
136,2,4.63288
138,2,4.63286
140,2,4.63284
142,2,4.63284
144,2,4.63285
146,2,4.63287
148,2,4.6329
150,2,4.63294
152,2,4.633
154,2,4.63306
156,2,4.63314
158,2,4.63323
160,2,4.63334
162,2,4.63345
164,2,4.63358
166,2,4.63372
168,2,4.63386
170,2,4.63403
172,2,4.6342
174,2,4.63438
176,2,4.63457
178,2,4.63477
180,2,4.63499
-180,4,4.60116
-178,4,4.60168
-176,4,4.60223
-174,4,4.60279
-172,4,4.60338
-170,4,4.604
-168,4,4.60463
-166,4,4.60528
-164,4,4.60595
-162,4,4.60663
-160,4,4.60733
-158,4,4.60804
-156,4,4.60875
-154,4,4.60948
-152,4,4.61021
-150,4,4.61095
-148,4,4.61169
-146,4,4.61243
-144,4,4.61316
-142,4,4.6139
-140,4,4.61463
-138,4,4.61535
-136,4,4.61606
-134,4,4.61676
-132,4,4.61745
-130,4,4.61812
-128,4,4.61878
-126,4,4.61943
-124,4,4.62005
-122,4,4.62065
-120,4,4.62123
-118,4,4.62179
-116,4,4.62233
-114,4,4.62284
-112,4,4.62332
-110,4,4.62378
-108,4,4.62421
-106,4,4.62461
-104,4,4.62498
-102,4,4.62532
-100,4,4.62564
-98,4,4.62592
-96,4,4.62618
-94,4,4.6264
-92,4,4.62659
-90,4,4.62676
-88,4,4.62689
-86,4,4.62699
-84,4,4.62707
-82,4,4.62712
-80,4,4.62714
-78,4,4.62713
-76,4,4.6271
-74,4,4.62704
-72,4,4.62696
-70,4,4.62685
-68,4,4.62672
-66,4,4.62657
-64,4,4.6264
-62,4,4.62621
-60,4,4.62601
-58,4,4.62579
-56,4,4.62555
-54,4,4.6253
-52,4,4.62503
-50,4,4.62476
-48,4,4.62448
-46,4,4.62418
-44,4,4.62388
-42,4,4.62358
-40,4,4.62327
-38,4,4.62296
-36,4,4.62264
-34,4,4.62233
-32,4,4.62201
-30,4,4.6217
-28,4,4.62138
-26,4,4.62107
-24,4,4.62077
-22,4,4.62047
-20,4,4.62017
-18,4,4.61988
-16,4,4.6196
-14,4,4.61932
-12,4,4.61905
-10,4,4.61879
-8,4,4.61853
-6,4,4.61829
-4,4,4.61805
-2,4,4.61782
0,4,4.61759
2,4,4.61738
4,4,4.61717
6,4,4.61697
8,4,4.61677
10,4,4.61658
12,4,4.6164
14,4,4.61622
16,4,4.61604
18,4,4.61587
20,4,4.6157
22,4,4.61554
24,4,4.61537
26,4,4.6152
28,4,4.61504
30,4,4.61487
32,4,4.6147
34,4,4.61453
36,4,4.61435
38,4,4.61417
40,4,4.61398
42,4,4.61378
44,4,4.61358
46,4,4.61337
48,4,4.61315
50,4,4.61293
52,4,4.61269
54,4,4.61244
56,4,4.61218
58,4,4.61191
60,4,4.61163
62,4,4.61134
64,4,4.61104
66,4,4.61072
68,4,4.61039
70,4,4.61006
72,4,4.6097
74,4,4.60934
76,4,4.60897
78,4,4.60859
80,4,4.6082
82,4,4.60779
84,4,4.60738
86,4,4.60697
88,4,4.60654
90,4,4.60611
92,4,4.60568
94,4,4.60524
96,4,4.6048
98,4,4.60436
100,4,4.60392
102,4,4.60347
104,4,4.60304
106,4,4.6026
108,4,4.60218
110,4,4.60176
112,4,4.60134
114,4,4.60094
116,4,4.60055
118,4,4.60018
120,4,4.59981
122,4,4.59947
124,4,4.59914
126,4,4.59883
128,4,4.59854
130,4,4.59828
132,4,4.59803
134,4,4.59781
136,4,4.59762
138,4,4.59745
140,4,4.59731
142,4,4.5972
144,4,4.59712
146,4,4.59707
148,4,4.59705
150,4,4.59707
152,4,4.59711
154,4,4.59719
156,4,4.5973
158,4,4.59744
160,4,4.59762
162,4,4.59783
164,4,4.59808
166,4,4.59835
168,4,4.59866
170,4,4.599
172,4,4.59938
174,4,4.59978
176,4,4.60021
178,4,4.60067
180,4,4.60116
-180,6,4.54809
-178,6,4.54898
-176,6,4.54991
-174,6,4.55089
-172,6,4.55192
-170,6,4.55299
-168,6,4.55409
-166,6,4.55524
-164,6,4.55641
-162,6,4.55762
-160,6,4.55884
-158,6,4.5601
-156,6,4.56136
-154,6,4.56265
-152,6,4.56394
-150,6,4.56524
-148,6,4.56655
-146,6,4.56785
-144,6,4.56915
-142,6,4.57044
-140,6,4.57172
-138,6,4.57298
-136,6,4.57422
-134,6,4.57544
-132,6,4.57663
-130,6,4.5778
-128,6,4.57893
-126,6,4.58003
-124,6,4.58108
-122,6,4.5821
-120,6,4.58307
-118,6,4.584
-116,6,4.58488
-114,6,4.58571
-112,6,4.58649
-110,6,4.58721
-108,6,4.58788
-106,6,4.58849
-104,6,4.58905
-102,6,4.58954
-100,6,4.58998
-98,6,4.59037
-96,6,4.59069
-94,6,4.59096
-92,6,4.59116
-90,6,4.59131
-88,6,4.59141
-86,6,4.59144
-84,6,4.59143
-82,6,4.59136
-80,6,4.59124
-78,6,4.59107
-76,6,4.59085
-74,6,4.59059
-72,6,4.59028
-70,6,4.58993
-68,6,4.58955
-66,6,4.58912
-64,6,4.58867
-62,6,4.58818
-60,6,4.58767
-58,6,4.58713
-56,6,4.58657
-54,6,4.58599
-52,6,4.58539
-50,6,4.58478
-48,6,4.58416
-46,6,4.58354
-44,6,4.58291
-42,6,4.58228
-40,6,4.58165
-38,6,4.58102
-36,6,4.5804
-34,6,4.57979
-32,6,4.57919
-30,6,4.5786
-28,6,4.57803
-26,6,4.57748
-24,6,4.57695
-22,6,4.57644
-20,6,4.57595
-18,6,4.57548
-16,6,4.57504
-14,6,4.57462
-12,6,4.57423
-10,6,4.57386
-8,6,4.57353
-6,6,4.57321
-4,6,4.57293
-2,6,4.57267
0,6,4.57243
2,6,4.57222
4,6,4.57204
6,6,4.57187
8,6,4.57173
10,6,4.57161
12,6,4.5715
14,6,4.57141
16,6,4.57134
18,6,4.57128
20,6,4.57123
22,6,4.57118
24,6,4.57114
26,6,4.57111
28,6,4.57108
30,6,4.57104
32,6,4.57101
34,6,4.57097
36,6,4.57091
38,6,4.57085
40,6,4.57078
42,6,4.57069
44,6,4.57058
46,6,4.57046
48,6,4.57031
50,6,4.57014
52,6,4.56995
54,6,4.56973
56,6,4.56948
58,6,4.56921
60,6,4.5689
62,6,4.56857
64,6,4.5682
66,6,4.5678
68,6,4.56737
70,6,4.56691
72,6,4.56642
74,6,4.56589
76,6,4.56533
78,6,4.56475
80,6,4.56413
82,6,4.56348
84,6,4.56281
86,6,4.56211
88,6,4.56139
90,6,4.56065
92,6,4.55988
94,6,4.5591
96,6,4.55831
98,6,4.5575
100,6,4.55668
102,6,4.55585
104,6,4.55502
106,6,4.55419
108,6,4.55336
110,6,4.55254
112,6,4.55172
114,6,4.55092
116,6,4.55013
118,6,4.54935
120,6,4.5486
122,6,4.54788
124,6,4.54718
126,6,4.54651
128,6,4.54588
130,6,4.54528
132,6,4.54472
134,6,4.54421
136,6,4.54374
138,6,4.54332
140,6,4.54295
142,6,4.54263
144,6,4.54237
146,6,4.54216
148,6,4.54201
150,6,4.54193
152,6,4.5419
154,6,4.54193
156,6,4.54203
158,6,4.54219
160,6,4.54242
162,6,4.54271
164,6,4.54306
166,6,4.54348
168,6,4.54396
170,6,4.5445
172,6,4.5451
174,6,4.54576
176,6,4.54649
178,6,4.54726
180,6,4.54809
-180,8,4.47651
-178,8,4.47783
-176,8,4.47923
-174,8,4.4807
-172,8,4.48225
-170,8,4.48386
-168,8,4.48554
-166,8,4.48728
-164,8,4.48906
-162,8,4.4909
-160,8,4.49277
-158,8,4.49467
-156,8,4.49661
-154,8,4.49857
-152,8,4.50054
-150,8,4.50252
-148,8,4.5045
-146,8,4.50649
-144,8,4.50846
-142,8,4.51041
-140,8,4.51235
-138,8,4.51426
-136,8,4.51613
-134,8,4.51797
-132,8,4.51976
-130,8,4.5215
-128,8,4.52318
-126,8,4.52481
-124,8,4.52637
-122,8,4.52786
-120,8,4.52929
-118,8,4.53063
-116,8,4.53189
-114,8,4.53308
-112,8,4.53417
-110,8,4.53518
-108,8,4.5361
-106,8,4.53693
-104,8,4.53767
-102,8,4.53831
-100,8,4.53885
-98,8,4.53931
-96,8,4.53966
-94,8,4.53993
-92,8,4.5401
-90,8,4.54018
-88,8,4.54016
-86,8,4.54006
-84,8,4.53988
-82,8,4.53961
-80,8,4.53926
-78,8,4.53883
-76,8,4.53832
-74,8,4.53775
-72,8,4.53711
-70,8,4.5364
-68,8,4.53564
-66,8,4.53482
-64,8,4.53396
-62,8,4.53305
-60,8,4.5321
-58,8,4.53112
-56,8,4.53011
-54,8,4.52907
-52,8,4.52802
-50,8,4.52695
-48,8,4.52588
-46,8,4.5248
-44,8,4.52372
-42,8,4.52265
-40,8,4.5216
-38,8,4.52056
-36,8,4.51954
-34,8,4.51855
-32,8,4.51759
-30,8,4.51666
-28,8,4.51576
-26,8,4.51491
-24,8,4.5141
-22,8,4.51334
-20,8,4.51263
-18,8,4.51196
-16,8,4.51135
-14,8,4.51079
-12,8,4.51029
-10,8,4.50984
-8,8,4.50945
-6,8,4.50911
-4,8,4.50882
-2,8,4.50859
0,8,4.50841
2,8,4.50828
4,8,4.5082
6,8,4.50816
8,8,4.50817
