Phi[deg],Theta[deg],GainLHCP
-180,0,0.0684014
-178,0,0.0684014
-176,0,0.0684014
-174,0,0.0684014
-172,0,0.0684014
-170,0,0.0684014
-168,0,0.0684014
-166,0,0.0684014
-164,0,0.0684014
-162,0,0.0684014
-160,0,0.0684014
-158,0,0.0684014
-156,0,0.0684014
-154,0,0.0684014
-152,0,0.0684014
-150,0,0.0684014
-148,0,0.0684014
-146,0,0.0684014
-144,0,0.0684014
-142,0,0.0684014
-140,0,0.0684014
-138,0,0.0684014
-136,0,0.0684014
-134,0,0.0684014
-132,0,0.0684014
-130,0,0.0684014
-128,0,0.0684014
-126,0,0.0684014
-124,0,0.0684014
-122,0,0.0684014
-120,0,0.0684014
-118,0,0.0684014
-116,0,0.0684014
-114,0,0.0684014
-112,0,0.0684014
-110,0,0.0684014
-108,0,0.0684014
-106,0,0.0684014
-104,0,0.0684014
-102,0,0.0684014
-100,0,0.0684014
-98,0,0.0684014
-96,0,0.0684014
-94,0,0.0684014
-92,0,0.0684014
-90,0,0.0684014
-88,0,0.0684014
-86,0,0.0684014
-84,0,0.0684014
-82,0,0.0684014
-80,0,0.0684014
-78,0,0.0684014
-76,0,0.0684014
-74,0,0.0684014
-72,0,0.0684014
-70,0,0.0684014
-68,0,0.0684014
-66,0,0.0684014
-64,0,0.0684014
-62,0,0.0684014
-60,0,0.0684014
-58,0,0.0684014
-56,0,0.0684014
-54,0,0.0684014
-52,0,0.0684014
-50,0,0.0684014
-48,0,0.0684014
-46,0,0.0684014
-44,0,0.0684014
-42,0,0.0684014
-40,0,0.0684014
-38,0,0.0684014
-36,0,0.0684014
-34,0,0.0684014
-32,0,0.0684014
-30,0,0.0684014
-28,0,0.0684014
-26,0,0.0684014
-24,0,0.0684014
-22,0,0.0684014
-20,0,0.0684014
-18,0,0.0684014
-16,0,0.0684014
-14,0,0.0684014
-12,0,0.0684014
-10,0,0.0684014
-8,0,0.0684014
-6,0,0.0684014
-4,0,0.0684014
-2,0,0.0684014
0,0,0.0684014
2,0,0.0684014
4,0,0.0684014
6,0,0.0684014
8,0,0.0684014
10,0,0.0684014
12,0,0.0684014
14,0,0.0684014
16,0,0.0684014
18,0,0.0684014
20,0,0.0684014
22,0,0.0684014
24,0,0.0684014
26,0,0.0684014
28,0,0.0684014
30,0,0.0684014
32,0,0.0684014
34,0,0.0684014
36,0,0.0684014
38,0,0.0684014
40,0,0.0684014
42,0,0.0684014
44,0,0.0684014
46,0,0.0684014
48,0,0.0684014
50,0,0.0684014
52,0,0.0684014
54,0,0.0684014
56,0,0.0684014
58,0,0.0684014
60,0,0.0684014
62,0,0.0684014
64,0,0.0684014
66,0,0.0684014
68,0,0.0684014
70,0,0.0684014
72,0,0.0684014
74,0,0.0684014
76,0,0.0684014
78,0,0.0684014
80,0,0.0684014
82,0,0.0684014
84,0,0.0684014
86,0,0.0684014
88,0,0.0684014
90,0,0.0684014
92,0,0.0684014
94,0,0.0684014
96,0,0.0684014
98,0,0.0684014
100,0,0.0684014
102,0,0.0684014
104,0,0.0684014
106,0,0.0684014
108,0,0.0684014
110,0,0.0684014
112,0,0.0684014
114,0,0.0684014
116,0,0.0684014
118,0,0.0684014
120,0,0.0684014
122,0,0.0684014
124,0,0.0684014
126,0,0.0684014
128,0,0.0684014
130,0,0.0684014
132,0,0.0684014
134,0,0.0684014
136,0,0.0684014
138,0,0.0684014
140,0,0.0684014
142,0,0.0684014
144,0,0.0684014
146,0,0.0684014
148,0,0.0684014
150,0,0.0684014
152,0,0.0684014
154,0,0.0684014
156,0,0.0684014
158,0,0.0684014
160,0,0.0684014
162,0,0.0684014
164,0,0.0684014
166,0,0.0684014
168,0,0.0684014
170,0,0.0684014
172,0,0.0684014
174,0,0.0684014
176,0,0.0684014
178,0,0.0684014
180,0,0.0684014
-180,2,0.0656638
-178,2,0.0657737
