Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,2959.93
-178,0,3034.15
-176,0,3104.68
-174,0,3171.42
-172,0,3234.3
-170,0,3293.23
-168,0,3348.16
-166,0,3399.01
-164,0,3445.71
-162,0,3488.22
-160,0,3526.48
-158,0,3560.44
-156,0,3590.06
-154,0,3615.31
-152,0,3636.15
-150,0,3652.57
-148,0,3664.53
-146,0,3672.03
-144,0,3675.06
-142,0,3673.6
-140,0,3667.68
-138,0,3657.28
-136,0,3642.43
-134,0,3623.14
-132,0,3599.44
-130,0,3571.35
-128,0,3538.91
-126,0,3502.15
-124,0,3461.14
-122,0,3415.9
-120,0,3366.5
-118,0,3313
-116,0,3255.47
-114,0,3193.97
-112,0,3128.57
-110,0,3059.37
-108,0,2986.44
-106,0,2909.87
-104,0,2829.75
-102,0,2746.19
-100,0,2659.28
-98,0,2569.13
-96,0,2475.85
-94,0,2379.55
-92,0,2280.36
-90,0,2178.39
-88,0,2073.76
-86,0,1966.61
-84,0,1857.06
-82,0,1745.24
-80,0,1631.31
-78,0,1515.38
-76,0,1397.61
-74,0,1278.13
-72,0,1157.1
-70,0,1034.66
-68,0,910.956
-66,0,786.143
-64,0,660.373
-62,0,533.798
-60,0,406.573
-58,0,278.853
-56,0,150.793
-54,0,22.5487
-52,0,-105.723
-50,0,-233.865
-48,0,-361.723
-46,0,-489.14
-44,0,-615.961
-42,0,-742.031
-40,0,-867.198
-38,0,-991.308
-36,0,-1114.21
-34,0,-1235.75
-32,0,-1355.79
-30,0,-1474.18
-28,0,-1590.77
-26,0,-1705.43
-24,0,-1818
-22,0,-1928.36
-20,0,-2036.37
-18,0,-2141.9
-16,0,-2244.82
-14,0,-2345.01
-12,0,-2442.34
-10,0,-2536.69
-8,0,-2627.95
-6,0,-2716.01
-4,0,-2800.76
-2,0,-2882.1
0,0,-2959.93
2,0,-3034.15
4,0,-3104.68
6,0,-3171.42
8,0,-3234.3
10,0,-3293.23
12,0,-3348.16
14,0,-3399.01
16,0,-3445.71
18,0,-3488.22
20,0,-3526.48
22,0,-3560.44
24,0,-3590.06
26,0,-3615.31
28,0,-3636.15
30,0,-3652.57
32,0,-3664.53
34,0,-3672.03
36,0,-3675.06
38,0,-3673.6
40,0,-3667.68
42,0,-3657.28
44,0,-3642.43
46,0,-3623.14
48,0,-3599.44
50,0,-3571.35
52,0,-3538.91
54,0,-3502.15
56,0,-3461.14
58,0,-3415.9
60,0,-3366.5
62,0,-3313
64,0,-3255.47
66,0,-3193.97
68,0,-3128.57
70,0,-3059.37
72,0,-2986.44
74,0,-2909.87
76,0,-2829.75
78,0,-2746.19
80,0,-2659.28
82,0,-2569.13
84,0,-2475.85
86,0,-2379.55
88,0,-2280.36
90,0,-2178.39
92,0,-2073.76
94,0,-1966.61
96,0,-1857.06
98,0,-1745.24
100,0,-1631.31
102,0,-1515.38
104,0,-1397.61
106,0,-1278.13
108,0,-1157.1
110,0,-1034.66
112,0,-910.956
114,0,-786.143
116,0,-660.373
118,0,-533.798
120,0,-406.573
122,0,-278.853
124,0,-150.793
126,0,-22.5487
128,0,105.723
130,0,233.865
132,0,361.723
134,0,489.14
136,0,615.961
138,0,742.031
140,0,867.198
142,0,991.308
144,0,1114.21
146,0,1235.75
148,0,1355.79
150,0,1474.18
152,0,1590.77
154,0,1705.43
156,0,1818
158,0,1928.36
160,0,2036.37
162,0,2141.9
164,0,2244.82
166,0,2345.01
168,0,2442.34
170,0,2536.69
172,0,2627.95
174,0,2716.01
176,0,2800.76
178,0,2882.1
180,0,2959.93
-180,2,2962.9
-178,2,3043.23
-176,2,3119.87
-174,2,3192.71
-172,2,3261.66
-170,2,3326.61
-168,2,3387.46
-166,2,3444.13
-164,2,3496.53
-162,2,3544.57
-160,2,3588.19
-158,2,3627.32
-156,2,3661.89
-154,2,3691.84
-152,2,3717.13
-150,2,3737.71
-148,2,3753.54
-146,2,3764.58
-144,2,3770.83
-142,2,3772.25
-140,2,3768.83
-138,2,3760.58
-136,2,3747.49
-134,2,3729.58
-132,2,3706.87
-130,2,3679.37
-128,2,3647.13
-126,2,3610.18
-124,2,3568.57
-122,2,3522.36
-120,2,3471.6
-118,2,3416.37
-116,2,3356.74
-114,2,3292.81
-112,2,3224.64
-110,2,3152.35
-108,2,3076.04
-106,2,2995.82
-104,2,2911.8
-102,2,2824.1
-100,2,2732.86
-98,2,2638.2
-96,2,2540.26
-94,2,2439.18
-92,2,2335.12
-90,2,2228.22
-88,2,2118.63
-86,2,2006.51
-84,2,1892.03
-82,2,1775.34
-80,2,1656.62
-78,2,1536.03
-76,2,1413.73
-74,2,1289.91
-72,2,1164.73
-70,2,1038.37
-68,2,910.985
-66,2,782.763
-64,2,653.871
-62,2,524.479
-60,2,394.757
-58,2,264.873
-56,2,134.994
-54,2,5.28531
-52,2,-124.091
-50,2,-252.975
-48,2,-381.209
-46,2,-508.638
-44,2,-635.11
-42,2,-760.477
-40,2,-884.593
-38,2,-1007.32
-36,2,-1128.51
-34,2,-1248.03
-32,2,-1365.76
-30,2,-1481.56
-28,2,-1595.31
-26,2,-1706.9
-24,2,-1816.19
-22,2,-1923.09
-20,2,-2027.48
-18,2,-2129.26
-16,2,-2228.33
-14,2,-2324.59
-12,2,-2417.94
-10,2,-2508.3
-8,2,-2595.57
-6,2,-2679.69
-4,2,-2760.56
-2,2,-2838.11
0,2,-2912.27
2,2,-2982.97
4,2,-3050.14
6,2,-3113.72
8,2,-3173.66
10,2,-3229.88
12,2,-3282.36
14,2,-3331.02
16,2,-3375.83
18,2,-3416.75
20,2,-3453.72
22,2,-3486.73
24,2,-3515.72
26,2,-3540.69
28,2,-3561.58
30,2,-3578.39
32,2,-3591.1
34,2,-3599.68
36,2,-3604.12
38,2,-3604.42
40,2,-3600.57
42,2,-3592.57
44,2,-3580.42
46,2,-3564.12
48,2,-3543.69
50,2,-3519.15
52,2,-3490.5
54,2,-3457.77
56,2,-3420.99
58,2,-3380.2
60,2,-3335.42
62,2,-3286.69
64,2,-3234.07
66,2,-3177.6
68,2,-3117.33
70,2,-3053.33
72,2,-2985.65
74,2,-2914.36
76,2,-2839.55
78,2,-2761.27
