Phi[deg],Theta[deg],RealizedGainTheta
34,2,3.28586
36,2,3.37874
38,2,3.46735
40,2,3.55126
42,2,3.63005
44,2,3.70333
46,2,3.77072
48,2,3.83189
50,2,3.88652
52,2,3.93433
54,2,3.97505
56,2,4.00848
58,2,4.03443
60,2,4.05275
62,2,4.06332
64,2,4.06607
66,2,4.06097
68,2,4.04801
70,2,4.02724
72,2,3.99873
74,2,3.96259
76,2,3.919
78,2,3.86813
80,2,3.81023
82,2,3.74554
84,2,3.67439
86,2,3.5971
88,2,3.51403
90,2,3.42559
92,2,3.3322
94,2,3.23432
96,2,3.13241
98,2,3.02699
100,2,2.91856
102,2,2.80766
104,2,2.69483
106,2,2.58065
108,2,2.46568
110,2,2.35049
112,2,2.23566
114,2,2.12176
116,2,2.00938
118,2,1.89907
120,2,1.7914
122,2,1.6869
124,2,1.58611
126,2,1.48955
128,2,1.39769
130,2,1.31102
132,2,1.22996
134,2,1.15495
136,2,1.08634
138,2,1.02451
140,2,0.969763
142,2,0.922378
144,2,0.882599
146,2,0.850629
148,2,0.826632
150,2,0.810729
152,2,0.803001
154,2,0.803487
156,2,0.812184
158,2,0.829045
160,2,0.853984
162,2,0.88687
164,2,0.927536
166,2,0.97577
168,2,1.03133
170,2,1.09392
172,2,1.16323
174,2,1.2389
176,2,1.32054
178,2,1.40774
180,2,1.50005
-180,4,1.4748
-178,4,1.57434
-176,4,1.678
-174,4,1.78523
-172,4,1.89548
-170,4,2.00818
-168,4,2.12273
-166,4,2.23855
-164,4,2.35504
-162,4,2.4716
-160,4,2.58764
-158,4,2.70258
-156,4,2.81583
-154,4,2.92682
-152,4,3.03501
-150,4,3.13985
-148,4,3.24083
-146,4,3.33746
-144,4,3.42928
-142,4,3.51583
-140,4,3.59672
-138,4,3.67156
-136,4,3.74001
-134,4,3.80176
-132,4,3.85653
-130,4,3.90409
-128,4,3.94423
-126,4,3.97679
-124,4,4.00166
-122,4,4.01875
-120,4,4.02802
-118,4,4.02945
-116,4,4.0231
-114,4,4.00902
-112,4,3.98734
-110,4,3.9582
-108,4,3.92177
-106,4,3.87828
-104,4,3.82798
-102,4,3.77115
-100,4,3.7081
-98,4,3.63916
-96,4,3.5647
-94,4,3.48511
-92,4,3.4008
-90,4,3.31218
-88,4,3.21972
-86,4,3.12386
-84,4,3.02508
-82,4,2.92387
-80,4,2.8207
-78,4,2.71608
-76,4,2.61051
-74,4,2.50448
-72,4,2.39849
-70,4,2.29304
-68,4,2.18861
-66,4,2.08568
-64,4,1.98472
-62,4,1.88619
-60,4,1.79054
-58,4,1.69818
-56,4,1.60953
-54,4,1.52498
-52,4,1.44491
-50,4,1.36966
-48,4,1.29955
-46,4,1.2349
-44,4,1.17598
-42,4,1.12304
-40,4,1.07631
-38,4,1.03598
-36,4,1.00222
-34,4,0.975173
-32,4,0.954951
-30,4,0.941636
-28,4,0.935281
-26,4,0.93591
-24,4,0.943515
-22,4,0.958062
-20,4,0.979487
-18,4,1.00769
-16,4,1.04256
-14,4,1.08394
-12,4,1.13165
-10,4,1.18549
-8,4,1.24523
-6,4,1.3106
-4,4,1.38133
-2,4,1.45712
0,4,1.53763
2,4,1.62251
4,4,1.7114
6,4,1.80391
8,4,1.89963
10,4,1.99813
12,4,2.09899
14,4,2.20174
16,4,2.30593
18,4,2.41109
20,4,2.51674
22,4,2.62239
24,4,2.72755
26,4,2.83173
28,4,2.93445
30,4,3.03521
32,4,3.13353
34,4,3.22894
36,4,3.32096
38,4,3.40915
40,4,3.49305
42,4,3.57226
44,4,3.64634
46,4,3.71493
48,4,3.77765
50,4,3.83417
52,4,3.88417
54,4,3.92736
56,4,3.9635
58,4,3.99236
60,4,4.01375
62,4,4.02753
64,4,4.03357
66,4,4.03179
68,4,4.02216
70,4,4.00468
72,4,3.97938
74,4,3.94635
76,4,3.90569
78,4,3.85759
80,4,3.80222
82,4,3.73983
84,4,3.67071
86,4,3.59515
88,4,3.51351
90,4,3.42617
92,4,3.33355
94,4,3.23611
96,4,3.1343
98,4,3.02863
100,4,2.91963
102,4,2.80785
104,4,2.69384
106,4,2.57819
108,4,2.46148
110,4,2.34431
112,4,2.2273
114,4,2.11103
116,4,1.99612
118,4,1.88317
120,4,1.77277
122,4,1.66549
124,4,1.56191
126,4,1.46256
128,4,1.36798
130,4,1.27866
132,4,1.19508
134,4,1.11768
136,4,1.04687
138,4,0.983026
140,4,0.926491
142,4,0.877562
144,4,0.836499
146,4,0.803519
148,4,0.778796
150,4,0.762459
152,4,0.754592
154,4,0.755233
156,4,0.764376
158,4,0.781968
160,4,0.807911
162,4,0.842063
164,4,0.884236
166,4,0.934204
168,4,0.991695
170,4,1.0564
172,4,1.12797
174,4,1.20603
176,4,1.29016
178,4,1.37991
180,4,1.4748
-180,6,1.44405
-178,6,1.5454
-176,6,1.6508
-174,6,1.75968
-172,6,1.87147
-170,6,1.98555
-168,6,2.10132
-166,6,2.21818
-164,6,2.33551
-162,6,2.4527
-160,6,2.56914
-158,6,2.68423
-156,6,2.79739
-154,6,2.90804
-152,6,3.01562
-150,6,3.11961
-148,6,3.21949
-146,6,3.31478
-144,6,3.40501
-142,6,3.48977
-140,6,3.56864
-138,6,3.64128
-136,6,3.70736
-134,6,3.76658
-132,6,3.8187
-130,6,3.86351
-128,6,3.90082
-126,6,3.93052
-124,6,3.9525
-122,6,3.96671
-120,6,3.97314
-118,6,3.97182
-116,6,3.96281
-114,6,3.94622
-112,6,3.92219
-110,6,3.89089
-108,6,3.85253
-106,6,3.80736
-104,6,3.75565
-102,6,3.6977
-100,6,3.63385
-98,6,3.56445
-96,6,3.48988
-94,6,3.41054
-92,6,3.32684
-90,6,3.23923
-88,6,3.14814
-86,6,3.05405
-84,6,2.9574
-82,6,2.85869
-80,6,2.75839
-78,6,2.65697
-76,6,2.55492
-74,6,2.45272
-72,6,2.35083
-70,6,2.24973
-68,6,2.14986
-66,6,2.05168
-64,6,1.95561
-62,6,1.86208
-60,6,1.77149
-58,6,1.68422
-56,6,1.60065
-54,6,1.52111
-52,6,1.44595
-50,6,1.37546
-48,6,1.30992
-46,6,1.24961
-44,6,1.19474
-42,6,1.14555
-40,6,1.10221
-38,6,1.0649
-36,6,1.03374
-34,6,1.00886
-32,6,0.990333
-30,6,0.978235
-28,6,0.972601
-26,6,0.973443
-24,6,0.980751
-22,6,0.994489
-20,6,1.0146
-18,6,1.04099
-16,6,1.07356
-14,6,1.11218
-12,6,1.15669
-10,6,1.20692
-8,6,1.26266
-6,6,1.3237
-4,6,1.3898
-2,6,1.46068
0,6,1.53608
2,6,1.61568
4,6,1.69916
6,6,1.7862
8,6,1.87642
10,6,1.96946
12,6,2.06494
14,6,2.16244
16,6,2.26156
18,6,2.36187
20,6,2.46293
22,6,2.56429
24,6,2.6655
26,6,2.76611
28,6,2.86564
30,6,2.96364
32,6,3.05964
34,6,3.15318
36,6,3.24379
38,6,3.33103
40,6,3.41444
42,6,3.49361
44,6,3.5681
46,6,3.63752
48,6,3.70148
50,6,3.75962
52,6,3.81159
54,6,3.85707
56,6,3.89579
58,6,3.92747
60,6,3.9519
62,6,3.96888
64,6,3.97824
66,6,3.97988
68,6,3.97371
70,6,3.95968
72,6,3.9378
74,6,3.9081
76,6,3.87067
78,6,3.82563
80,6,3.77315
82,6,3.71344
84,6,3.64674
86,6,3.57335
88,6,3.4936
90,6,3.40786
92,6,3.31654
94,6,3.22007
96,6,3.11893
98,6,3.01361
100,6,2.90466
102,6,2.79263
104,6,2.67809
106,6,2.56163
108,6,2.44387
110,6,2.32542
112,6,2.20692
114,6,2.089
116,6,1.97229
118,6,1.85742
120,6,1.745
122,6,1.63566
124,6,1.52999
126,6,1.42855
128,6,1.33192
130,6,1.24061
132,6,1.15514
134,6,1.07596
136,6,1.00351
138,6,0.9382
140,6,0.880375
142,6,0.830354
144,6,0.788411
146,6,0.754772
148,6,0.729618
150,6,0.713082
152,6,0.705249
154,6,0.706155
156,6,0.715788
158,6,0.734085
160,6,0.760938
162,6,0.79619
164,6,0.839639
166,6,0.891036
168,6,0.950091
170,6,1.01647
172,6,1.08981
174,6,1.16969
176,6,1.25568
178,6,1.3473
180,6,1.44405
-180,8,1.40838
-178,8,1.51077
-176,8,1.6171
-174,8,1.72678
-172,8,1.83922
-170,8,1.95379
-168,8,2.06988
-166,8,2.18687
-164,8,2.30412
-162,8,2.42102
-160,8,2.53696
-158,8,2.65133
-156,8,2.76354
-154,8,2.87302
-152,8,2.97923
-150,8,3.08162
-148,8,3.1797
-146,8,3.273
-144,8,3.36106
-142,8,3.44348
-140,8,3.51987
-138,8,3.5899
-136,8,3.65325
-134,8,3.70967
-132,8,3.75892
-130,8,3.80082
-128,8,3.83522
-126,8,3.86201
-124,8,3.88113
-122,8,3.89256
-120,8,3.8963
