Phi[deg],Theta[deg],RealizedGainPhi
-180,0,1.51465
-178,0,1.51974
-176,0,1.52949
-174,0,1.54387
-172,0,1.56279
-170,0,1.58617
-168,0,1.6139
-166,0,1.64583
-164,0,1.68182
-162,0,1.72169
-160,0,1.76523
-158,0,1.81226
-156,0,1.86252
-154,0,1.91578
-152,0,1.97178
-150,0,2.03024
-148,0,2.09089
-146,0,2.15342
-144,0,2.21753
-142,0,2.28291
-140,0,2.34924
-138,0,2.41619
-136,0,2.48344
-134,0,2.55067
-132,0,2.61754
-130,0,2.68373
-128,0,2.74892
-126,0,2.81279
-124,0,2.87502
-122,0,2.93532
-120,0,2.9934
-118,0,3.04895
-116,0,3.10173
-114,0,3.15147
-112,0,3.19792
-110,0,3.24087
-108,0,3.2801
-106,0,3.31542
-104,0,3.34666
-102,0,3.37366
-100,0,3.3963
-98,0,3.41447
-96,0,3.42807
-94,0,3.43705
-92,0,3.44135
-90,0,3.44096
-88,0,3.43587
-86,0,3.42612
-84,0,3.41174
-82,0,3.39282
-80,0,3.36944
-78,0,3.34171
-76,0,3.30978
-74,0,3.27379
-72,0,3.23392
-70,0,3.19037
-68,0,3.14335
-66,0,3.09309
-64,0,3.03983
-62,0,2.98383
-60,0,2.92536
-58,0,2.86472
-56,0,2.80219
-54,0,2.73808
-52,0,2.6727
-50,0,2.60637
-48,0,2.53942
-46,0,2.47216
-44,0,2.40494
-42,0,2.33806
-40,0,2.27187
-38,0,2.20668
-36,0,2.14282
-34,0,2.08058
-32,0,2.02028
-30,0,1.96221
-28,0,1.90665
-26,0,1.85388
-24,0,1.80414
-22,0,1.75769
-20,0,1.71474
-18,0,1.67551
-16,0,1.64019
-14,0,1.60895
-12,0,1.58195
-10,0,1.5593
-8,0,1.54114
-6,0,1.52753
-4,0,1.51856
-2,0,1.51426
0,0,1.51465
2,0,1.51974
4,0,1.52949
6,0,1.54387
8,0,1.56279
10,0,1.58617
12,0,1.6139
14,0,1.64583
16,0,1.68182
18,0,1.72169
20,0,1.76523
22,0,1.81226
24,0,1.86252
26,0,1.91578
28,0,1.97178
30,0,2.03024
32,0,2.09089
34,0,2.15342
36,0,2.21753
38,0,2.28291
40,0,2.34924
42,0,2.41619
44,0,2.48344
46,0,2.55067
48,0,2.61754
50,0,2.68373
52,0,2.74892
54,0,2.81279
56,0,2.87502
58,0,2.93532
60,0,2.9934
62,0,3.04895
64,0,3.10173
66,0,3.15147
68,0,3.19792
70,0,3.24087
72,0,3.2801
74,0,3.31542
76,0,3.34666
78,0,3.37366
80,0,3.3963
82,0,3.41447
84,0,3.42807
86,0,3.43705
88,0,3.44135
90,0,3.44096
92,0,3.43587
94,0,3.42612
96,0,3.41174
98,0,3.39282
100,0,3.36944
102,0,3.34171
