Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,-4605.82
-178,0,-4283.27
-176,0,-3955.5
-174,0,-3622.91
-172,0,-3285.91
-170,0,-2944.91
-168,0,-2600.32
-166,0,-2252.56
-164,0,-1902.05
-162,0,-1549.23
-160,0,-1194.52
-158,0,-838.357
-156,0,-481.171
-154,0,-123.399
-152,0,234.524
-150,0,592.16
-148,0,949.075
-146,0,1304.83
-144,0,1659
-142,0,2011.15
-140,0,2360.85
-138,0,2707.67
-136,0,3051.19
-134,0,3391
-132,0,3726.67
-130,0,4057.81
-128,0,4383.99
-126,0,4704.84
-124,0,5019.96
-122,0,5328.96
-120,0,5631.47
-118,0,5927.11
-116,0,6215.54
-114,0,6496.39
-112,0,6769.33
-110,0,7034.02
-108,0,7290.14
-106,0,7537.38
-104,0,7775.43
-102,0,8004.02
-100,0,8222.85
-98,0,8431.66
-96,0,8630.2
-94,0,8818.22
-92,0,8995.5
-90,0,9161.83
-88,0,9316.99
-86,0,9460.79
-84,0,9593.08
-82,0,9713.67
-80,0,9822.43
-78,0,9919.22
-76,0,10003.9
-74,0,10076.4
-72,0,10136.7
-70,0,10184.6
-68,0,10220.1
-66,0,10243.1
-64,0,10253.7
-62,0,10251.7
-60,0,10237.3
-58,0,10210.4
-56,0,10171
-54,0,10119.3
-52,0,10055.2
-50,0,9978.93
-48,0,9890.46
-46,0,9789.93
-44,0,9677.49
-42,0,9553.25
-40,0,9417.37
-38,0,9270.02
-36,0,9111.37
-34,0,8941.62
-32,0,8760.98
-30,0,8569.67
-28,0,8367.91
-26,0,8155.96
-24,0,7934.07
-22,0,7702.52
-20,0,7461.58
-18,0,7211.55
-16,0,6952.74
-14,0,6685.45
-12,0,6410.02
-10,0,6126.78
-8,0,5836.07
-6,0,5538.26
-4,0,5233.69
-2,0,4922.75
0,0,4605.82
2,0,4283.27
4,0,3955.5
6,0,3622.91
8,0,3285.91
10,0,2944.91
12,0,2600.32
14,0,2252.56
16,0,1902.05
18,0,1549.23
20,0,1194.52
22,0,838.357
24,0,481.171
26,0,123.399
28,0,-234.524
30,0,-592.16
32,0,-949.075
34,0,-1304.83
36,0,-1659
38,0,-2011.15
40,0,-2360.85
42,0,-2707.67
44,0,-3051.19
46,0,-3391
48,0,-3726.67
50,0,-4057.81
52,0,-4383.99
54,0,-4704.84
56,0,-5019.96
58,0,-5328.96
60,0,-5631.47
62,0,-5927.11
64,0,-6215.54
66,0,-6496.39
68,0,-6769.33
70,0,-7034.02
72,0,-7290.14
74,0,-7537.38
76,0,-7775.43
78,0,-8004.02
80,0,-8222.85
82,0,-8431.66
84,0,-8630.2
86,0,-8818.22
88,0,-8995.5
90,0,-9161.83
92,0,-9316.99
94,0,-9460.79
96,0,-9593.08
98,0,-9713.67
100,0,-9822.43
102,0,-9919.22
104,0,-10003.9
106,0,-10076.4
108,0,-10136.7
110,0,-10184.6
112,0,-10220.1
114,0,-10243.1
116,0,-10253.7
118,0,-10251.7
120,0,-10237.3
122,0,-10210.4
124,0,-10171
126,0,-10119.3
128,0,-10055.2
130,0,-9978.93
132,0,-9890.46
134,0,-9789.93
136,0,-9677.49
138,0,-9553.25
140,0,-9417.37
142,0,-9270.02
144,0,-9111.37
146,0,-8941.62
148,0,-8760.98
150,0,-8569.67
152,0,-8367.91
154,0,-8155.96
156,0,-7934.07
158,0,-7702.52
160,0,-7461.58
162,0,-7211.55
164,0,-6952.74
166,0,-6685.45
168,0,-6410.02
170,0,-6126.78
172,0,-5836.07
174,0,-5538.26
176,0,-5233.69
178,0,-4922.75
180,0,-4605.82
-180,2,-4604.07
-178,2,-4288.68
-176,2,-3968.06
-174,2,-3642.59
-172,2,-3312.63
-170,2,-2978.57
-168,2,-2640.78
-166,2,-2299.65
-164,2,-1955.57
-162,2,-1608.95
-160,2,-1260.17
-158,2,-909.657
-156,2,-557.803
-154,2,-205.023
-152,2,148.271
-150,2,501.665
-148,2,854.742
-146,2,1207.09
-144,2,1558.28
-142,2,1907.9
-140,2,2255.53
-138,2,2600.76
-136,2,2943.17
-134,2,3282.34
-132,2,3617.87
-130,2,3949.33
-128,2,4276.33
-126,2,4598.47
-124,2,4915.34
-122,2,5226.54
-120,2,5531.7
-118,2,5830.42
-116,2,6122.34
-114,2,6407.07
-112,2,6684.25
-110,2,6953.54
-108,2,7214.58
-106,2,7467.03
-104,2,7710.56
-102,2,7944.86
-100,2,8169.62
-98,2,8384.54
-96,2,8589.32
-94,2,8783.71
-92,2,8967.42
-90,2,9140.22
-88,2,9301.87
-86,2,9452.14
-84,2,9590.83
-82,2,9717.73
-80,2,9832.67
-78,2,9935.49
-76,2,10026
-74,2,10104.2
-72,2,10169.8
-70,2,10222.8
-68,2,10263
-66,2,10290.5
-64,2,10305.2
-62,2,10306.9
-60,2,10295.8
-58,2,10271.9
-56,2,10235
-54,2,10185.3
-52,2,10122.9
-50,2,10047.7
-48,2,9959.9
-46,2,9859.59
-44,2,9746.89
-42,2,9621.92
-40,2,9484.85
-38,2,9335.85
-36,2,9175.11
-34,2,9002.82
-32,2,8819.22
-30,2,8624.53
-28,2,8419.01
-26,2,8202.92
-24,2,7976.53
-22,2,7740.16
-20,2,7494.09
-18,2,7238.64
-16,2,6974.17
-14,2,6700.99
-12,2,6419.48
-10,2,6129.99
-8,2,5832.91
-6,2,5528.62
-4,2,5217.51
-2,2,4900
0,2,4576.48
2,2,4247.39
4,2,3913.14
6,2,3574.18
8,2,3230.93
10,2,2883.83
12,2,2533.35
14,2,2179.91
16,2,1823.98
18,2,1466.02
20,2,1106.47
22,2,745.789
24,2,384.442
26,2,22.8821
28,2,-338.436
30,2,-699.059
32,2,-1058.54
34,2,-1416.42
36,2,-1772.26
38,2,-2125.62
40,2,-2476.06
42,2,-2823.16
44,2,-3166.48
46,2,-3505.61
48,2,-3840.13
50,2,-4169.65
52,2,-4493.76
54,2,-4812.07
56,2,-5124.21
58,2,-5429.8
60,2,-5728.49
62,2,-6019.91
64,2,-6303.73
66,2,-6579.61
68,2,-6847.24
70,2,-7106.31
72,2,-7356.52
74,2,-7597.58
76,2,-7829.22
78,2,-8051.18
80,2,-8263.2
82,2,-8465.07
84,2,-8656.54
86,2,-8837.41
88,2,-9007.49
90,2,-9166.58
92,2,-9314.53
94,2,-9451.17
96,2,-9576.36
98,2,-9689.97
100,2,-9791.88
102,2,-9882.01
104,2,-9960.24
106,2,-10026.5
108,2,-10080.8
110,2,-10123
112,2,-10153.1
114,2,-10171.1
116,2,-10177
118,2,-10170.7
120,2,-10152.4
122,2,-10122
124,2,-10079.6
126,2,-10025.3
128,2,-9959.09
130,2,-9881.11
132,2,-9791.45
134,2,-9690.23
136,2,-9577.57
138,2,-9453.6
140,2,-9318.48
142,2,-9172.38
144,2,-9015.45
146,2,-8847.9
148,2,-8669.91
150,2,-8481.7
152,2,-8283.48
154,2,-8075.48
156,2,-7857.94
