Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,631.836
-178,0,711.397
-176,0,790.09
-174,0,867.822
-172,0,944.496
-170,0,1020.02
-168,0,1094.3
-166,0,1167.25
-164,0,1238.77
-162,0,1308.79
-160,0,1377.21
-158,0,1443.95
-156,0,1508.94
-154,0,1572.08
-152,0,1633.31
-150,0,1692.55
-148,0,1749.73
-146,0,1804.78
-144,0,1857.62
-142,0,1908.21
-140,0,1956.47
-138,0,2002.34
-136,0,2045.78
-134,0,2086.73
-132,0,2125.13
-130,0,2160.94
-128,0,2194.12
-126,0,2224.63
-124,0,2252.42
-122,0,2277.47
-120,0,2299.75
-118,0,2319.23
-116,0,2335.88
-114,0,2349.68
-112,0,2360.62
-110,0,2368.68
-108,0,2373.86
-106,0,2376.15
-104,0,2375.54
-102,0,2372.04
-100,0,2365.65
-98,0,2356.37
-96,0,2344.23
-94,0,2329.23
-92,0,2311.39
-90,0,2290.73
-88,0,2267.29
-86,0,2241.08
-84,0,2212.14
-82,0,2180.5
-80,0,2146.21
-78,0,2109.31
-76,0,2069.83
-74,0,2027.84
-72,0,1983.37
-70,0,1936.48
-68,0,1887.24
-66,0,1835.7
-64,0,1781.92
-62,0,1725.97
-60,0,1667.91
-58,0,1607.83
-56,0,1545.78
-54,0,1481.86
-52,0,1416.12
-50,0,1348.67
-48,0,1279.56
-46,0,1208.9
-44,0,1136.77
-42,0,1063.25
-40,0,988.44
-38,0,912.422
-36,0,835.292
-34,0,757.145
-32,0,678.076
-30,0,598.18
-28,0,517.555
-26,0,436.3
-24,0,354.514
-22,0,272.295
-20,0,189.745
-18,0,106.963
-16,0,24.0515
-14,0,-58.8897
-12,0,-141.759
-10,0,-224.456
-8,0,-306.879
-6,0,-388.928
-4,0,-470.504
-2,0,-551.506
0,0,-631.836
2,0,-711.397
4,0,-790.09
6,0,-867.822
8,0,-944.496
10,0,-1020.02
12,0,-1094.3
14,0,-1167.25
16,0,-1238.77
18,0,-1308.79
20,0,-1377.21
22,0,-1443.95
24,0,-1508.94
26,0,-1572.08
28,0,-1633.31
30,0,-1692.55
32,0,-1749.73
34,0,-1804.78
36,0,-1857.62
38,0,-1908.21
40,0,-1956.47
42,0,-2002.34
44,0,-2045.78
46,0,-2086.73
48,0,-2125.13
50,0,-2160.94
52,0,-2194.12
54,0,-2224.63
56,0,-2252.42
58,0,-2277.47
60,0,-2299.75
62,0,-2319.23
64,0,-2335.88
66,0,-2349.68
