Phi[deg],Theta[deg],RealizedGainTheta
-180,0,3.38286
-178,0,3.3316
-176,0,3.27579
-174,0,3.21571
-172,0,3.15164
-170,0,3.0839
-168,0,3.01283
-166,0,2.93875
-164,0,2.86205
-162,0,2.78308
-160,0,2.70224
-158,0,2.61992
-156,0,2.53652
-154,0,2.45244
-152,0,2.3681
-150,0,2.28391
-148,0,2.20027
-146,0,2.1176
-144,0,2.03629
-142,0,1.95675
-140,0,1.87936
-138,0,1.80449
-136,0,1.73252
-134,0,1.66379
-132,0,1.59864
-130,0,1.53739
-128,0,1.48033
-126,0,1.42774
-124,0,1.37988
-122,0,1.33698
-120,0,1.29925
-118,0,1.26687
-116,0,1.24001
-114,0,1.21879
-112,0,1.20331
-110,0,1.19366
-108,0,1.18987
-106,0,1.19197
-104,0,1.19995
-102,0,1.21377
-100,0,1.23335
-98,0,1.25861
-96,0,1.28943
-94,0,1.32564
-92,0,1.36708
-90,0,1.41355
-88,0,1.46481
-86,0,1.52062
-84,0,1.5807
-82,0,1.64477
-80,0,1.71251
-78,0,1.78358
-76,0,1.85766
-74,0,1.93436
-72,0,2.01333
-70,0,2.09417
-68,0,2.17649
-66,0,2.25989
-64,0,2.34397
-62,0,2.42831
-60,0,2.5125
-58,0,2.59614
-56,0,2.67881
-54,0,2.76012
-52,0,2.83966
-50,0,2.91705
-48,0,2.99192
-46,0,3.06389
-44,0,3.13262
-42,0,3.19777
-40,0,3.25902
-38,0,3.31608
-36,0,3.36867
-34,0,3.41653
-32,0,3.45943
-30,0,3.49716
-28,0,3.52954
-26,0,3.5564
-24,0,3.57762
-22,0,3.5931
-20,0,3.60275
-18,0,3.60654
-16,0,3.60444
-14,0,3.59646
-12,0,3.58264
-10,0,3.56306
-8,0,3.5378
-6,0,3.50698
-4,0,3.47077
-2,0,3.42933
0,0,3.38286
2,0,3.3316
4,0,3.27579
6,0,3.21571
8,0,3.15164
10,0,3.0839
12,0,3.01283
14,0,2.93875
16,0,2.86205
18,0,2.78308
20,0,2.70224
22,0,2.61992
24,0,2.53652
26,0,2.45244
28,0,2.3681
30,0,2.28391
32,0,2.20027
34,0,2.1176
36,0,2.03629
38,0,1.95675
40,0,1.87936
42,0,1.80449
44,0,1.73252
46,0,1.66379
48,0,1.59864
50,0,1.53739
52,0,1.48033
54,0,1.42774
56,0,1.37988
58,0,1.33698
60,0,1.29925
62,0,1.26687
64,0,1.24001
66,0,1.21879
68,0,1.20331
70,0,1.19366
72,0,1.18987
74,0,1.19197
76,0,1.19995
78,0,1.21377
80,0,1.23335
82,0,1.25861
84,0,1.28943
86,0,1.32564
88,0,1.36708
90,0,1.41355
92,0,1.46481
94,0,1.52062
96,0,1.5807
98,0,1.64477
100,0,1.71251
102,0,1.78358
104,0,1.85766
106,0,1.93436
108,0,2.01333
110,0,2.09417
112,0,2.17649
114,0,2.25989
116,0,2.34397
118,0,2.42831
120,0,2.5125
122,0,2.59614
124,0,2.67881
126,0,2.76012
128,0,2.83966
130,0,2.91705
132,0,2.99192
134,0,3.06389
136,0,3.13262
138,0,3.19777
140,0,3.25902
142,0,3.31608
144,0,3.36867
146,0,3.41653
148,0,3.45943
150,0,3.49716
152,0,3.52954
154,0,3.5564
156,0,3.57762
158,0,3.5931
160,0,3.60275
162,0,3.60654
164,0,3.60444
166,0,3.59646
168,0,3.58264
170,0,3.56306
172,0,3.5378
174,0,3.50698
176,0,3.47077
178,0,3.42933
180,0,3.38286
-180,2,3.36761
-178,2,3.31633
-176,2,3.26056
-174,2,3.20057
-172,2,3.13667
-170,2,3.06915
-168,2,2.99836
-166,2,2.92463
-164,2,2.84832
-162,2,2.76981
-160,2,2.68948
-158,2,2.60771
-156,2,2.52491
-154,2,2.44148
-152,2,2.35782
-150,2,2.27434
-148,2,2.19143
-146,2,2.10951
-144,2,2.02897
-142,2,1.95021
-140,2,1.87359
-138,2,1.79949
-136,2,1.72828
-134,2,1.66029
-132,2,1.59585
-130,2,1.53528
-128,2,1.47886
-126,2,1.42688
-124,2,1.37957
-122,2,1.33718
-120,2,1.29991
-118,2,1.26793
-116,2,1.2414
-114,2,1.22045
-112,2,1.20518
-110,2,1.19567
-108,2,1.19196
-106,2,1.19407
-104,2,1.20199
