Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,-743.965
-178,0,-832.777
-176,0,-920.575
-174,0,-1007.25
-172,0,-1092.7
-170,0,-1176.82
-168,0,-1259.5
-166,0,-1340.65
-164,0,-1420.17
-162,0,-1497.95
-160,0,-1573.92
-158,0,-1647.96
-156,0,-1719.99
-154,0,-1789.93
-152,0,-1857.69
-150,0,-1923.19
-148,0,-1986.34
-146,0,-2047.08
-144,0,-2105.31
-142,0,-2160.99
-140,0,-2214.03
-138,0,-2264.37
-136,0,-2311.96
-134,0,-2356.73
-132,0,-2398.62
-130,0,-2437.6
-128,0,-2473.6
-126,0,-2506.59
-124,0,-2536.53
-122,0,-2563.37
-120,0,-2587.1
-118,0,-2607.67
-116,0,-2625.06
-114,0,-2639.26
-112,0,-2650.24
-110,0,-2657.99
-108,0,-2662.51
-106,0,-2663.78
-104,0,-2661.8
-102,0,-2656.58
-100,0,-2648.12
-98,0,-2636.44
-96,0,-2621.55
-94,0,-2603.46
-92,0,-2582.2
-90,0,-2557.8
-88,0,-2530.27
-86,0,-2499.67
-84,0,-2466.02
-82,0,-2429.36
-80,0,-2389.75
-78,0,-2347.22
-76,0,-2301.84
-74,0,-2253.65
-72,0,-2202.71
-70,0,-2149.09
-68,0,-2092.85
-66,0,-2034.06
-64,0,-1972.8
-62,0,-1909.13
-60,0,-1843.13
-58,0,-1774.89
-56,0,-1704.49
-54,0,-1632.01
-52,0,-1557.54
-50,0,-1481.17
-48,0,-1403
-46,0,-1323.12
-44,0,-1241.63
-42,0,-1158.63
-40,0,-1074.21
-38,0,-988.484
-36,0,-901.554
-34,0,-813.526
-32,0,-724.507
-30,0,-634.605
-28,0,-543.93
-26,0,-452.593
-24,0,-360.704
-22,0,-268.375
-20,0,-175.719
-18,0,-82.8498
-16,0,10.1208
-14,0,103.079
-12,0,195.912
-10,0,288.506
-8,0,380.748
-6,0,472.527
-4,0,563.73
-2,0,654.246
0,0,743.965
2,0,832.777
4,0,920.575
6,0,1007.25
8,0,1092.7
10,0,1176.82
12,0,1259.5
14,0,1340.65
16,0,1420.17
18,0,1497.95
20,0,1573.92
22,0,1647.96
24,0,1719.99
26,0,1789.93
28,0,1857.69
30,0,1923.19
32,0,1986.34
34,0,2047.08
36,0,2105.31
38,0,2160.99
40,0,2214.03
42,0,2264.37
44,0,2311.96
46,0,2356.73
48,0,2398.62
50,0,2437.6
52,0,2473.6
54,0,2506.59
56,0,2536.53
58,0,2563.37
60,0,2587.1
62,0,2607.67
64,0,2625.06
66,0,2639.26
68,0,2650.24
70,0,2657.99
72,0,2662.51
74,0,2663.78
76,0,2661.8
78,0,2656.58
80,0,2648.12
82,0,2636.44
84,0,2621.55
86,0,2603.46
88,0,2582.2
90,0,2557.8
92,0,2530.27
94,0,2499.67
96,0,2466.02
98,0,2429.36
100,0,2389.75
102,0,2347.22
104,0,2301.84
106,0,2253.65
108,0,2202.71
110,0,2149.09
112,0,2092.85
114,0,2034.06
116,0,1972.8
118,0,1909.13
120,0,1843.13
122,0,1774.89
124,0,1704.49
126,0,1632.01
128,0,1557.54
130,0,1481.17
132,0,1403
134,0,1323.12
136,0,1241.63
138,0,1158.63
140,0,1074.21
142,0,988.484
144,0,901.554
146,0,813.526
148,0,724.507
150,0,634.605
152,0,543.93
154,0,452.593
156,0,360.704
158,0,268.375
160,0,175.719
162,0,82.8498
164,0,-10.1208
166,0,-103.079
168,0,-195.912
170,0,-288.506
172,0,-380.748
174,0,-472.527
176,0,-563.73
178,0,-654.246
180,0,-743.965
-180,2,-633.809
-178,2,-721.797
-176,2,-809.137
-174,2,-895.725
-172,2,-981.453
-170,2,-1066.21
-168,2,-1149.9
-166,2,-1232.4
-164,2,-1313.61
-162,2,-1393.43
-160,2,-1471.74
-158,2,-1548.44
-156,2,-1623.42
-154,2,-1696.58
-152,2,-1767.82
-150,2,-1837.03
-148,2,-1904.12
