Phi[deg],Theta[deg],RealizedGainPhi
-180,0,2.028
-178,0,1.94655
-176,0,1.86445
-174,0,1.78209
-172,0,1.69988
-170,0,1.61821
-168,0,1.53748
-166,0,1.4581
-164,0,1.38043
-162,0,1.30487
-160,0,1.23178
-158,0,1.16151
-156,0,1.09442
-154,0,1.03082
-152,0,0.971019
-150,0,0.915319
-148,0,0.863987
-146,0,0.817273
-144,0,0.775405
-142,0,0.738586
-140,0,0.706996
-138,0,0.680789
-136,0,0.660092
-134,0,0.645007
-132,0,0.635607
-130,0,0.631937
-128,0,0.634016
-126,0,0.641833
-124,0,0.65535
-122,0,0.674502
-120,0,0.699195
-118,0,0.729309
-116,0,0.764697
-114,0,0.805187
-112,0,0.850582
-110,0,0.900659
-108,0,0.955176
-106,0,1.01387
-104,0,1.07645
-102,0,1.14261
-100,0,1.21203
-98,0,1.28437
-96,0,1.35929
-94,0,1.43641
-92,0,1.51535
-90,0,1.59575
-88,0,1.67719
-86,0,1.7593
-84,0,1.84165
-82,0,1.92387
-80,0,2.00553
-78,0,2.08626
-76,0,2.16565
-74,0,2.24331
-72,0,2.31887
-70,0,2.39196
-68,0,2.46223
-66,0,2.52933
-64,0,2.59293
-62,0,2.65272
-60,0,2.70842
-58,0,2.75976
-56,0,2.80647
-54,0,2.84834
-52,0,2.88516
-50,0,2.91675
-48,0,2.94295
-46,0,2.96365
-44,0,2.97874
-42,0,2.98814
-40,0,2.99181
-38,0,2.98973
-36,0,2.98191
-34,0,2.96839
-32,0,2.94924
-30,0,2.92455
-28,0,2.89443
-26,0,2.85905
-24,0,2.81856
-22,0,2.77316
-20,0,2.72308
-18,0,2.66857
-16,0,2.60988
-14,0,2.5473
-12,0,2.48114
-10,0,2.41172
-8,0,2.33937
-6,0,2.26446
-4,0,2.18734
-2,0,2.10839
0,0,2.028
2,0,1.94655
4,0,1.86445
6,0,1.78209
8,0,1.69988
10,0,1.61821
12,0,1.53748
14,0,1.4581
16,0,1.38043
18,0,1.30487
20,0,1.23178
22,0,1.16151
24,0,1.09442
26,0,1.03082
28,0,0.971019
30,0,0.915319
32,0,0.863987
34,0,0.817273
36,0,0.775405
38,0,0.738586
40,0,0.706996
42,0,0.680789
44,0,0.660092
46,0,0.645007
48,0,0.635607
50,0,0.631937
52,0,0.634016
54,0,0.641833
56,0,0.65535
58,0,0.674502
60,0,0.699195
62,0,0.729309
64,0,0.764697
66,0,0.805187
68,0,0.850582
70,0,0.900659
72,0,0.955176
74,0,1.01387
76,0,1.07645
78,0,1.14261
80,0,1.21203
82,0,1.28437
84,0,1.35929
86,0,1.43641
88,0,1.51535
90,0,1.59575
92,0,1.67719
94,0,1.7593
96,0,1.84165
98,0,1.92387
100,0,2.00553
102,0,2.08626
104,0,2.16565
106,0,2.24331
108,0,2.31887
110,0,2.39196
112,0,2.46223
114,0,2.52933
116,0,2.59293
118,0,2.65272
120,0,2.70842
122,0,2.75976
124,0,2.80647
126,0,2.84834
128,0,2.88516
130,0,2.91675
132,0,2.94295
134,0,2.96365
136,0,2.97874
138,0,2.98814
140,0,2.99181
142,0,2.98973
144,0,2.98191
146,0,2.96839
148,0,2.94924
150,0,2.92455
152,0,2.89443
154,0,2.85905
156,0,2.81856
158,0,2.77316
160,0,2.72308
162,0,2.66857
164,0,2.60988
166,0,2.5473
168,0,2.48114
170,0,2.41172
172,0,2.33937
174,0,2.26446
176,0,2.18734
178,0,2.10839
180,0,2.028
-180,2,2.03691
-178,2,1.95568
-176,2,1.87377
