Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,8463.64
-178,0,8790.53
-176,0,9106.71
-174,0,9411.79
-172,0,9705.41
-170,0,9987.2
-168,0,10256.8
-166,0,10514
-164,0,10758.3
-162,0,10989.5
-160,0,11207.3
-158,0,11411.5
-156,0,11601.7
-154,0,11777.9
-152,0,11939.6
-150,0,12086.9
-148,0,12219.4
-146,0,12337
-144,0,12439.6
-142,0,12527
-140,0,12599.2
-138,0,12656
-136,0,12697.4
-134,0,12723.4
-132,0,12733.8
-130,0,12728.7
-128,0,12708.1
-126,0,12672
-124,0,12620.5
-122,0,12553.6
-120,0,12471.5
-118,0,12374.1
-116,0,12261.6
-114,0,12134.2
-112,0,11992
-110,0,11835.3
-108,0,11664.1
-106,0,11478.6
-104,0,11279.2
-102,0,11066.1
-100,0,10839.5
-98,0,10599.6
-96,0,10346.9
-94,0,10081.5
-92,0,9803.89
-90,0,9514.31
-88,0,9213.13
-86,0,8900.74
-84,0,8577.5
-82,0,8243.8
-80,0,7900.07
-78,0,7546.71
-76,0,7184.15
-74,0,6812.84
-72,0,6433.23
-70,0,6045.79
-68,0,5650.98
-66,0,5249.28
-64,0,4841.19
-62,0,4427.2
-60,0,4007.81
-58,0,3583.54
-56,0,3154.91
-54,0,2722.43
-52,0,2286.64
-50,0,1848.06
-48,0,1407.23
-46,0,964.68
-44,0,520.959
-42,0,76.6024
-40,0,-367.847
-38,0,-811.848
-36,0,-1254.86
-34,0,-1696.34
-32,0,-2135.76
-30,0,-2572.58
-28,0,-3006.26
-26,0,-3436.27
-24,0,-3862.1
-22,0,-4283.23
-20,0,-4699.14
-18,0,-5109.32
-16,0,-5513.28
-14,0,-5910.52
-12,0,-6300.56
-10,0,-6682.92
-8,0,-7057.14
-6,0,-7422.76
-4,0,-7779.34
-2,0,-8126.44
0,0,-8463.64
2,0,-8790.53
4,0,-9106.71
6,0,-9411.79
8,0,-9705.41
10,0,-9987.2
12,0,-10256.8
14,0,-10514
16,0,-10758.3
18,0,-10989.5
20,0,-11207.3
22,0,-11411.5
24,0,-11601.7
26,0,-11777.9
28,0,-11939.6
30,0,-12086.9
32,0,-12219.4
34,0,-12337
36,0,-12439.6
38,0,-12527
40,0,-12599.2
42,0,-12656
44,0,-12697.4
46,0,-12723.4
48,0,-12733.8
50,0,-12728.7
52,0,-12708.1
54,0,-12672
56,0,-12620.5
58,0,-12553.6
60,0,-12471.5
62,0,-12374.1
64,0,-12261.6
66,0,-12134.2
68,0,-11992
70,0,-11835.3
72,0,-11664.1
74,0,-11478.6
76,0,-11279.2
78,0,-11066.1
80,0,-10839.5
82,0,-10599.6
84,0,-10346.9
86,0,-10081.5
88,0,-9803.89
90,0,-9514.31
92,0,-9213.13
94,0,-8900.74
96,0,-8577.5
98,0,-8243.8
100,0,-7900.07
102,0,-7546.71
104,0,-7184.15
106,0,-6812.84
108,0,-6433.23
110,0,-6045.79
112,0,-5650.98
114,0,-5249.28
116,0,-4841.19
118,0,-4427.2
120,0,-4007.81
122,0,-3583.54
124,0,-3154.91
126,0,-2722.43
128,0,-2286.64
130,0,-1848.06
132,0,-1407.23
134,0,-964.68
136,0,-520.959
138,0,-76.6024
140,0,367.847
142,0,811.848
144,0,1254.86
146,0,1696.34
148,0,2135.76
150,0,2572.58
152,0,3006.26
154,0,3436.27
156,0,3862.1
158,0,4283.23
160,0,4699.14
162,0,5109.32
164,0,5513.28
166,0,5910.52
168,0,6300.56
170,0,6682.92
172,0,7057.14
174,0,7422.76
176,0,7779.34
178,0,8126.44
180,0,8463.64
-180,2,8460.63
-178,2,8787.57
-176,2,9103.81
-174,2,9408.96
-172,2,9702.65
-170,2,9984.51
-168,2,10254.2
-166,2,10511.4
-164,2,10755.8
-162,2,10987.1
-160,2,11204.9
-158,2,11409.2
-156,2,11599.5
-154,2,11775.6
-152,2,11937.5
-150,2,12084.7
-148,2,12217.2
-146,2,12334.8
-144,2,12437.4
-142,2,12524.8
-140,2,12596.9
-138,2,12653.7
-136,2,12695
-134,2,12720.9
-132,2,12731.2
-130,2,12726
-128,2,12705.3
-126,2,12669
-124,2,12617.4
-122,2,12550.3
-120,2,12468
-118,2,12370.4
-116,2,12257.7
-114,2,12130.1
-112,2,11987.7
-110,2,11830.7
-108,2,11659.3
-106,2,11473.6
-104,2,11274
-102,2,11060.6
-100,2,10833.8
-98,2,10593.7
-96,2,10340.7
-94,2,10075.1
-92,2,9797.29
-90,2,9507.49
-88,2,9206.11
-86,2,8893.52
-84,2,8570.09
-82,2,8236.23
-80,2,7892.33
-78,2,7538.83
-76,2,7176.15
-74,2,6804.73
-72,2,6425.03
-70,2,6037.52
-68,2,5642.66
-66,2,5240.93
-64,2,4832.84
-62,2,4418.87
-60,2,3999.52
-58,2,3575.33
-56,2,3146.79
-54,2,2714.43
-52,2,2278.78
-50,2,1840.38
-48,2,1399.75
-46,2,957.429
-44,2,513.963
-42,2,69.8886
-40,2,-374.252
-38,2,-817.918
-36,2,-1260.57
-34,2,-1701.67
-32,2,-2140.67
-30,2,-2577.05
-28,2,-3010.27
-26,2,-3439.8
-24,2,-3865.13
-22,2,-4285.73
-20,2,-4701.09
-18,2,-5110.71
-16,2,-5514.09
-14,2,-5910.73
-12,2,-6300.16
-10,2,-6681.9
-8,2,-7055.49
-6,2,-7420.47
-4,2,-7776.39
-2,2,-8122.84
0,2,-8459.38
2,2,-8785.61
4,2,-9101.12
6,2,-9405.54
8,2,-9698.5
10,2,-9979.64
12,2,-10248.6
14,2,-10505.1
16,2,-10748.8
18,2,-10979.4
20,2,-11196.6
22,2,-11400.2
24,2,-11589.9
26,2,-11765.5
28,2,-11926.8
30,2,-12073.5
32,2,-12205.6
34,2,-12322.8
36,2,-12425
38,2,-12512
40,2,-12583.8
42,2,-12640.4
44,2,-12681.5
46,2,-12707.2
48,2,-12717.4
50,2,-12712.1
52,2,-12691.4
54,2,-12655.3
56,2,-12603.7
58,2,-12536.8
60,2,-12454.6
62,2,-12357.3
64,2,-12244.9
66,2,-12117.7
68,2,-11975.7
70,2,-11819.1
72,2,-11648.1
74,2,-11463
76,2,-11263.9
78,2,-11051.1
80,2,-10824.8
82,2,-10585.4
84,2,-10333
86,2,-10068.1
88,2,-9790.96
90,2,-9501.87
92,2,-9201.21
94,2,-8889.33
96,2,-8566.63
98,2,-8233.5
100,2,-7890.32
102,2,-7537.54
