Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,-11125.6
-178,0,-11534.8
-176,0,-11930
-174,0,-12310.6
-172,0,-12676.2
-170,0,-13026.4
-168,0,-13360.8
-166,0,-13678.8
-164,0,-13980.2
-162,0,-14264.5
-160,0,-14531.5
-158,0,-14780.7
-156,0,-15012
-154,0,-15224.9
-152,0,-15419.3
-150,0,-15595
-148,0,-15751.6
-146,0,-15889
-144,0,-16007.1
-142,0,-16105.7
-140,0,-16184.6
-138,0,-16243.9
-136,0,-16283.3
-134,0,-16302.9
-132,0,-16302.6
-130,0,-16282.5
-128,0,-16242.6
-126,0,-16182.8
-124,0,-16103.4
-122,0,-16004.3
-120,0,-15885.7
-118,0,-15747.8
-116,0,-15590.6
-114,0,-15414.5
-112,0,-15219.6
-110,0,-15006.2
-108,0,-14774.4
-106,0,-14524.7
-104,0,-14257.3
-102,0,-13972.5
-100,0,-13670.7
-98,0,-13352.2
-96,0,-13017.5
-94,0,-12666.9
-92,0,-12300.9
-90,0,-11919.8
-88,0,-11524.3
-86,0,-11114.7
-84,0,-10691.6
-82,0,-10255.5
-80,0,-9806.82
-78,0,-9346.23
-76,0,-8874.25
-74,0,-8391.46
-72,0,-7898.45
-70,0,-7395.81
-68,0,-6884.16
-66,0,-6364.13
-64,0,-5836.34
-62,0,-5301.45
-60,0,-4760.09
-58,0,-4212.93
-56,0,-3660.64
-54,0,-3103.89
-52,0,-2543.36
-50,0,-1979.73
-48,0,-1413.69
-46,0,-845.928
-44,0,-277.133
-42,0,291.999
-40,0,860.775
-38,0,1428.5
-36,0,1994.49
-34,0,2558.05
-32,0,3118.49
-30,0,3675.13
-28,0,4227.29
-26,0,4774.31
-24,0,5315.5
-22,0,5850.22
-20,0,6377.82
-18,0,6897.64
-16,0,7409.06
-14,0,7911.45
-12,0,8404.2
-10,0,8886.72
-8,0,9358.4
-6,0,9818.69
-4,0,10267
-2,0,10702.8
0,0,11125.6
2,0,11534.8
4,0,11930
6,0,12310.6
8,0,12676.2
10,0,13026.4
12,0,13360.8
14,0,13678.8
16,0,13980.2
18,0,14264.5
20,0,14531.5
22,0,14780.7
24,0,15012
26,0,15224.9
28,0,15419.3
30,0,15595
32,0,15751.6
34,0,15889
36,0,16007.1
38,0,16105.7
40,0,16184.6
42,0,16243.9
44,0,16283.3
46,0,16302.9
48,0,16302.6
50,0,16282.5
52,0,16242.6
54,0,16182.8
56,0,16103.4
58,0,16004.3
60,0,15885.7
62,0,15747.8
64,0,15590.6
66,0,15414.5
68,0,15219.6
70,0,15006.2
72,0,14774.4
74,0,14524.7
76,0,14257.3
78,0,13972.5
80,0,13670.7
82,0,13352.2
84,0,13017.5
86,0,12666.9
88,0,12300.9
90,0,11919.8
92,0,11524.3
94,0,11114.7
96,0,10691.6
98,0,10255.5
100,0,9806.82
102,0,9346.23
104,0,8874.25
106,0,8391.46
108,0,7898.45
110,0,7395.81
112,0,6884.16
114,0,6364.13
116,0,5836.34
118,0,5301.45
120,0,4760.09
122,0,4212.93
124,0,3660.64
126,0,3103.89
128,0,2543.36
130,0,1979.73
132,0,1413.69
134,0,845.928
136,0,277.133
138,0,-291.999
140,0,-860.775
142,0,-1428.5
144,0,-1994.49
146,0,-2558.05
148,0,-3118.49
150,0,-3675.13
152,0,-4227.29
154,0,-4774.31
156,0,-5315.5
158,0,-5850.22
160,0,-6377.82
162,0,-6897.64
164,0,-7409.06
166,0,-7911.45
168,0,-8404.2
170,0,-8886.72
172,0,-9358.4
174,0,-9818.69
176,0,-10267
178,0,-10702.8
180,0,-11125.6
-180,2,-11170.2
-178,2,-11571.3
-176,2,-11957.5
-174,2,-12328.3
-172,2,-12683.3
-170,2,-13022
-168,2,-13344.2
-166,2,-13649.3
-164,2,-13937.2
-162,2,-14207.4
-160,2,-14459.8
-158,2,-14693.9
-156,2,-14909.7
-154,2,-15106.8
-152,2,-15285.1
-150,2,-15444.4
-148,2,-15584.6
-146,2,-15705.6
-144,2,-15807.2
-142,2,-15889.4
-140,2,-15952.2
-138,2,-15995.5
-136,2,-16019.3
-134,2,-16023.6
-132,2,-16008.6
-130,2,-15974.2
-128,2,-15920.6
-126,2,-15847.9
-124,2,-15756.1
-122,2,-15645.5
-120,2,-15516.3
-118,2,-15368.5
-116,2,-15202.6
-114,2,-15018.6
-112,2,-14816.8
-110,2,-14597.5
-108,2,-14361
-106,2,-14107.6
-104,2,-13837.7
-102,2,-13551.5
-100,2,-13249.4
-98,2,-12931.7
-96,2,-12599
-94,2,-12251.5
-92,2,-11889.7
-90,2,-11514
-88,2,-11124.8
-86,2,-10722.6
-84,2,-10308
-82,2,-9881.21
-80,2,-9442.9
-78,2,-8993.52
-76,2,-8533.59
-74,2,-8063.61
-72,2,-7584.14
-70,2,-7095.7
-68,2,-6598.84
-66,2,-6094.13
-64,2,-5582.13
-62,2,-5063.4
-60,2,-4538.54
-58,2,-4008.13
-56,2,-3472.77
-54,2,-2933.05
-52,2,-2389.58
-50,2,-1842.97
-48,2,-1293.84
-46,2,-742.808
-44,2,-190.492
-42,2,362.479
-40,2,915.477
-38,2,1467.87
-36,2,2019.03
-34,2,2568.32
-32,2,3115.12
-30,2,3658.77
-28,2,4198.67
-26,2,4734.17
-24,2,5264.66
-22,2,5789.5
-20,2,6308.07
-18,2,6819.76
-16,2,7323.97
-14,2,7820.08
-12,2,8307.49
-10,2,8785.62
-8,2,9253.87
-6,2,9711.69
-4,2,10158.5
-2,2,10593.7
0,2,11016.9
2,2,11427.4
4,2,11824.7
6,2,12208.4
8,2,12577.9
10,2,12932.8
12,2,13272.6
14,2,13596.9
16,2,13905.1
18,2,14197
20,2,14472.1
22,2,14730.1
24,2,14970.6
26,2,15193.2
28,2,15397.6
30,2,15583.6
32,2,15750.9
34,2,15899.2
36,2,16028.3
38,2,16138
40,2,16228.1
42,2,16298.5
44,2,16349
46,2,16379.5
48,2,16390
50,2,16380.4
52,2,16350.6
54,2,16300.7
56,2,16230.7
58,2,16140.6
60,2,16030.5
62,2,15900.5
64,2,15750.7
66,2,15581.3
68,2,15392.5
70,2,15184.5
72,2,14957.5
74,2,14711.8
76,2,14447.6
78,2,14165.2
80,2,13865.1
82,2,13547.6
84,2,13212.9
86,2,12861.7
88,2,12494.2
90,2,12111
92,2,11712.5
94,2,11299.2
96,2,10871.6
98,2,10430.3
100,2,9975.86
102,2,9508.82
104,2,9029.8
106,2,8539.4
108,2,8038.26
110,2,7527.02
112,2,7006.35
114,2,6476.91
116,2,5939.39
118,2,5394.5
120,2,4842.93
122,2,4285.41
124,2,3722.67
126,2,3155.43
128,2,2584.44
130,2,2010.45
132,2,1434.2
134,2,856.436
136,2,277.923
138,2,-300.59
140,2,-878.349
142,2,-1454.6
144,2,-2028.61
146,2,-2599.61
148,2,-3166.88
150,2,-3729.69
152,2,-4287.3
154,2,-4839.01
156,2,-5384.1
158,2,-5921.89
160,2,-6451.68
162,2,-6972.82
164,2,-7484.64
166,2,-7986.49
