Phi[deg],Theta[deg],RealizedGainPhi
-180,0,1.41355
-178,0,1.46481
-176,0,1.52062
-174,0,1.5807
-172,0,1.64477
-170,0,1.71251
-168,0,1.78358
-166,0,1.85766
-164,0,1.93436
-162,0,2.01333
-160,0,2.09417
-158,0,2.17649
-156,0,2.25989
-154,0,2.34397
-152,0,2.42831
-150,0,2.5125
-148,0,2.59614
-146,0,2.67881
-144,0,2.76012
-142,0,2.83966
-140,0,2.91705
-138,0,2.99192
-136,0,3.06389
-134,0,3.13262
-132,0,3.19777
-130,0,3.25902
-128,0,3.31608
-126,0,3.36867
-124,0,3.41653
-122,0,3.45943
-120,0,3.49716
-118,0,3.52954
-116,0,3.5564
-114,0,3.57762
-112,0,3.5931
-110,0,3.60275
-108,0,3.60654
-106,0,3.60444
-104,0,3.59646
-102,0,3.58264
-100,0,3.56306
-98,0,3.5378
-96,0,3.50698
-94,0,3.47077
-92,0,3.42933
-90,0,3.38286
-88,0,3.3316
-86,0,3.27579
-84,0,3.21571
-82,0,3.15164
-80,0,3.0839
-78,0,3.01283
-76,0,2.93875
-74,0,2.86205
-72,0,2.78308
-70,0,2.70224
-68,0,2.61992
-66,0,2.53652
-64,0,2.45244
-62,0,2.3681
-60,0,2.28391
-58,0,2.20027
-56,0,2.1176
-54,0,2.03629
-52,0,1.95675
-50,0,1.87936
-48,0,1.80449
-46,0,1.73252
-44,0,1.66379
-42,0,1.59864
-40,0,1.53739
-38,0,1.48033
-36,0,1.42774
-34,0,1.37988
-32,0,1.33698
-30,0,1.29925
-28,0,1.26687
-26,0,1.24001
-24,0,1.21879
-22,0,1.20331
-20,0,1.19366
-18,0,1.18987
-16,0,1.19197
-14,0,1.19995
-12,0,1.21377
-10,0,1.23335
-8,0,1.25861
-6,0,1.28943
-4,0,1.32564
-2,0,1.36708
0,0,1.41355
2,0,1.46481
4,0,1.52062
6,0,1.5807
8,0,1.64477
10,0,1.71251
12,0,1.78358
14,0,1.85766
16,0,1.93436
18,0,2.01333
20,0,2.09417
22,0,2.17649
24,0,2.25989
26,0,2.34397
28,0,2.42831
30,0,2.5125
32,0,2.59614
34,0,2.67881
36,0,2.76012
38,0,2.83966
40,0,2.91705
42,0,2.99192
44,0,3.06389
46,0,3.13262
48,0,3.19777
50,0,3.25902
52,0,3.31608
54,0,3.36867
56,0,3.41653
58,0,3.45943
60,0,3.49716
62,0,3.52954
64,0,3.5564
66,0,3.57762
68,0,3.5931
70,0,3.60275
72,0,3.60654
74,0,3.60444
76,0,3.59646
78,0,3.58264
80,0,3.56306
82,0,3.5378
84,0,3.50698
86,0,3.47077
88,0,3.42933
90,0,3.38286
92,0,3.3316
94,0,3.27579
96,0,3.21571
98,0,3.15164
100,0,3.0839
102,0,3.01283
104,0,2.93875
106,0,2.86205
108,0,2.78308
110,0,2.70224
112,0,2.61992
114,0,2.53652
116,0,2.45244
118,0,2.3681
120,0,2.28391
122,0,2.20027
124,0,2.1176
126,0,2.03629
128,0,1.95675
130,0,1.87936
132,0,1.80449
134,0,1.73252
136,0,1.66379
138,0,1.59864
140,0,1.53739
142,0,1.48033
144,0,1.42774
146,0,1.37988
148,0,1.33698
150,0,1.29925
152,0,1.26687
154,0,1.24001
156,0,1.21879
158,0,1.20331
160,0,1.19366
162,0,1.18987
164,0,1.19197
166,0,1.19995
168,0,1.21377
170,0,1.23335
172,0,1.25861
174,0,1.28943
176,0,1.32564
178,0,1.36708
180,0,1.41355
-180,2,1.41302
-178,2,1.46445
-176,2,1.52037
-174,2,1.58053
-172,2,1.64462
-170,2,1.71233
-168,2,1.78333
-166,2,1.85728
-164,2,1.93382
-162,2,2.01256
-160,2,2.09314
-158,2,2.17516
-156,2,2.25822
-154,2,2.34192
-152,2,2.42585
-150,2,2.50962
-148,2,2.5928
-146,2,2.675
-144,2,2.75583
-142,2,2.83488
-140,2,2.91179
-138,2,2.98617
-136,2,3.05768
-134,2,3.12595
-132,2,3.19067
-130,2,3.25153
-128,2,3.30822
-126,2,3.36047
-124,2,3.40804
-122,2,3.45069
-120,2,3.48823
-118,2,3.52045
-116,2,3.54722
-114,2,3.5684
-112,2,3.5839
-110,2,3.59362
-108,2,3.59754
-106,2,3.59563
-104,2,3.58789
-102,2,3.57437
-100,2,3.55513
-98,2,3.53026
-96,2,3.49989
-94,2,3.46415
-92,2,3.42323
-90,2,3.37731
-88,2,3.32662
-86,2,3.27141
-84,2,3.21194
-82,2,3.1485
-80,2,3.08139
-78,2,3.01094
-76,2,2.93749
-74,2,2.8614
-72,2,2.78303
-70,2,2.70276
-68,2,2.62098
-66,2,2.53809
-64,2,2.45449
-62,2,2.37058
-60,2,2.28678
-58,2,2.20349
-56,2,2.12111
-54,2,2.04005
-52,2,1.9607
-50,2,1.88345
-48,2,1.80868
-46,2,1.73674
-44,2,1.66799
-42,2,1.60277
-40,2,1.5414
-38,2,1.48417
-36,2,1.43138
-34,2,1.38327
-32,2,1.34008
-30,2,1.30203
-28,2,1.26931
-26,2,1.24207
-24,2,1.22045
-22,2,1.20457
-20,2,1.1945
-18,2,1.19028
-16,2,1.19196
-14,2,1.19952
-12,2,1.21292
-10,2,1.2321
-8,2,1.25698
-6,2,1.28743
-4,2,1.3233
-2,2,1.36443
0,2,1.41061
2,2,1.46163
4,2,1.51722
6,2,1.57713
8,2,1.64105
10,2,1.70869
12,2,1.77971
14,2,1.85375
16,2,1.93047
18,2,2.00949
20,2,2.09041
22,2,2.17285
24,2,2.2564
26,2,2.34065
28,2,2.42519
30,2,2.50961
32,2,2.59349
34,2,2.67641
36,2,2.75798
38,2,2.83779
40,2,2.91546
42,2,2.99059
44,2,3.06283
46,2,3.13181
48,2,3.1972
50,2,3.25868
52,2,3.31595
54,2,3.36872
56,2,3.41673
58,2,3.45975
60,2,3.49757
62,2,3.53
64,2,3.55689
66,2,3.57809
68,2,3.59351
70,2,3.60307
72,2,3.60672
74,2,3.60445
76,2,3.59627
78,2,3.58221
80,2,3.56235
82,2,3.53678
84,2,3.50563
86,2,3.46906
88,2,3.42723
90,2,3.38036
92,2,3.32868
94,2,3.27244
96,2,3.21192
98,2,3.14741
100,2,3.07923
102,2,3.00771
104,2,2.93321
106,2,2.85609
108,2,2.77673
110,2,2.69552
112,2,2.61285
114,2,2.52913
116,2,2.44476
118,2,2.36017
120,2,2.27577
122,2,2.19196
124,2,2.10916
126,2,2.02777
128,2,1.94819
130,2,1.87081
132,2,1.796
134,2,1.72413
136,2,1.65554
138,2,1.59057
140,2,1.52955
142,2,1.47275
144,2,1.42046
146,2,1.37293
148,2,1.33039
150,2,1.29305
152,2,1.26108
154,2,1.23464
156,2,1.21386
158,2,1.19883
160,2,1.18962
162,2,1.18627
164,2,1.18881
166,2,1.19721
168,2,1.21143
170,2,1.2314
172,2,1.25701
174,2,1.28815
176,2,1.32465
178,2,1.36635
180,2,1.41302
-180,4,1.40903
-178,4,1.46054
-176,4,1.51649
-174,4,1.57661
-172,4,1.64061
-170,4,1.70817
-168,4,1.77895
-166,4,1.85263
-164,4,1.92883
-162,4,2.00719
-160,4,2.08733
-158,4,2.16886
-156,4,2.25139
-154,4,2.33451
-152,4,2.41783
-150,4,2.50095
-148,4,2.58347
-146,4,2.66499
-144,4,2.74512
-142,4,2.82348
-140,4,2.89969
-138,4,2.97339
-136,4,3.04423
-134,4,3.11186
-132,4,3.17597
-130,4,3.23624
-128,4,3.2924
-126,4,3.34417
-124,4,3.39131
-122,4,3.43359
