Phi[deg],Theta[deg],RealizedGainPhi
-180,0,3.40614
-178,0,3.31251
-176,0,3.21475
-174,0,3.11332
-172,0,3.00872
-170,0,2.90147
-168,0,2.79207
-166,0,2.68107
-164,0,2.56901
-162,0,2.45642
-160,0,2.34387
-158,0,2.2319
-156,0,2.12105
-154,0,2.01187
-152,0,1.90488
-150,0,1.80061
-148,0,1.69957
-146,0,1.60224
-144,0,1.50911
-142,0,1.42062
-140,0,1.33721
-138,0,1.25928
-136,0,1.18721
-134,0,1.12136
-132,0,1.06205
-130,0,1.00955
-128,0,0.964141
-126,0,0.926028
-124,0,0.895403
-122,0,0.872412
-120,0,0.85717
-118,0,0.849749
-116,0,0.850187
-114,0,0.858481
-112,0,0.87459
-110,0,0.898436
-108,0,0.929903
-106,0,0.968838
-104,0,1.01505
-102,0,1.06832
-100,0,1.12837
-98,0,1.19493
-96,0,1.26767
-94,0,1.34623
-92,0,1.43022
-90,0,1.51925
-88,0,1.61287
-86,0,1.71064
-84,0,1.81207
-82,0,1.91666
-80,0,2.02392
-78,0,2.13332
-76,0,2.24432
-74,0,2.35638
-72,0,2.46896
-70,0,2.58151
-68,0,2.69349
-66,0,2.80433
-64,0,2.91352
-62,0,3.02051
-60,0,3.12478
-58,0,3.22582
-56,0,3.32315
-54,0,3.41628
-52,0,3.50477
-50,0,3.58818
-48,0,3.66611
-46,0,3.73817
-44,0,3.80402
-42,0,3.86334
-40,0,3.91583
-38,0,3.96125
-36,0,3.99936
-34,0,4.02998
-32,0,4.05298
-30,0,4.06822
-28,0,4.07564
-26,0,4.0752
-24,0,4.06691
-22,0,4.0508
-20,0,4.02695
-18,0,3.99548
-16,0,3.95655
-14,0,3.91034
-12,0,3.85707
-10,0,3.79701
-8,0,3.73045
-6,0,3.65772
-4,0,3.57916
-2,0,3.49516
0,0,3.40614
2,0,3.31251
4,0,3.21475
6,0,3.11332
8,0,3.00872
10,0,2.90147
12,0,2.79207
14,0,2.68107
16,0,2.56901
18,0,2.45642
