Phi[deg],Theta[deg],RealizedGainTheta
-180,0,1.59575
-178,0,1.67719
-176,0,1.7593
-174,0,1.84165
-172,0,1.92387
-170,0,2.00553
-168,0,2.08626
-166,0,2.16565
-164,0,2.24331
-162,0,2.31887
-160,0,2.39196
-158,0,2.46223
-156,0,2.52933
-154,0,2.59293
-152,0,2.65272
-150,0,2.70842
-148,0,2.75976
-146,0,2.80647
-144,0,2.84834
-142,0,2.88516
-140,0,2.91675
-138,0,2.94295
-136,0,2.96365
-134,0,2.97874
-132,0,2.98814
-130,0,2.99181
-128,0,2.98973
-126,0,2.98191
-124,0,2.96839
-122,0,2.94924
-120,0,2.92455
-118,0,2.89443
-116,0,2.85905
-114,0,2.81856
-112,0,2.77316
-110,0,2.72308
-108,0,2.66857
-106,0,2.60988
-104,0,2.5473
-102,0,2.48114
-100,0,2.41172
-98,0,2.33937
-96,0,2.26446
-94,0,2.18734
-92,0,2.10839
-90,0,2.028
-88,0,1.94655
-86,0,1.86445
-84,0,1.78209
-82,0,1.69988
-80,0,1.61821
-78,0,1.53748
-76,0,1.4581
-74,0,1.38043
-72,0,1.30487
-70,0,1.23178
-68,0,1.16151
-66,0,1.09442
-64,0,1.03082
-62,0,0.971019
-60,0,0.915319
-58,0,0.863987
-56,0,0.817273
-54,0,0.775405
-52,0,0.738586
-50,0,0.706996
-48,0,0.680789
-46,0,0.660092
-44,0,0.645007
-42,0,0.635607
-40,0,0.631937
-38,0,0.634016
-36,0,0.641833
-34,0,0.65535
-32,0,0.674502
-30,0,0.699195
-28,0,0.729309
-26,0,0.764697
-24,0,0.805187
-22,0,0.850582
-20,0,0.900659
-18,0,0.955176
-16,0,1.01387
-14,0,1.07645
-12,0,1.14261
-10,0,1.21203
-8,0,1.28437
-6,0,1.35929
-4,0,1.43641
-2,0,1.51535
0,0,1.59575
2,0,1.67719
4,0,1.7593
6,0,1.84165
8,0,1.92387
10,0,2.00553
12,0,2.08626
14,0,2.16565
16,0,2.24331
18,0,2.31887
20,0,2.39196
22,0,2.46223
24,0,2.52933
26,0,2.59293
28,0,2.65272
30,0,2.70842
32,0,2.75976
34,0,2.80647
36,0,2.84834
38,0,2.88516
40,0,2.91675
42,0,2.94295
44,0,2.96365
46,0,2.97874
48,0,2.98814
50,0,2.99181
52,0,2.98973
54,0,2.98191
56,0,2.96839
58,0,2.94924
60,0,2.92455
62,0,2.89443
64,0,2.85905
66,0,2.81856
68,0,2.77316
70,0,2.72308
72,0,2.66857
74,0,2.60988
76,0,2.5473
78,0,2.48114
80,0,2.41172
82,0,2.33937
84,0,2.26446
86,0,2.18734
88,0,2.10839
90,0,2.028
92,0,1.94655
94,0,1.86445
96,0,1.78209
98,0,1.69988
100,0,1.61821
102,0,1.53748
104,0,1.4581
106,0,1.38043
108,0,1.30487
110,0,1.23178
112,0,1.16151
114,0,1.09442
116,0,1.03082
118,0,0.971019
120,0,0.915319
122,0,0.863987
124,0,0.817273
126,0,0.775405
128,0,0.738586
130,0,0.706996
132,0,0.680789
134,0,0.660092
136,0,0.645007
138,0,0.635607
140,0,0.631937
142,0,0.634016
144,0,0.641833
146,0,0.65535
148,0,0.674502
150,0,0.699195
152,0,0.729309
154,0,0.764697
156,0,0.805187
158,0,0.850582
160,0,0.900659
162,0,0.955176
164,0,1.01387
166,0,1.07645
168,0,1.14261
170,0,1.21203
172,0,1.28437
174,0,1.35929
176,0,1.43641
178,0,1.51535
180,0,1.59575
-180,2,1.59637
-178,2,1.67778
-176,2,1.75983
-174,2,1.84215
-172,2,1.92431
-170,2,2.00594
-168,2,2.08662
-166,2,2.16596
-164,2,2.24359
-162,2,2.31912
-160,2,2.39219
-158,2,2.46243
-156,2,2.52952
-154,2,2.59311
-152,2,2.65292
-150,2,2.70863
-148,2,2.75999
-146,2,2.80674
-144,2,2.84866
-142,2,2.88553
-140,2,2.91719
-138,2,2.94348
-136,2,2.96427
-134,2,2.97946
-132,2,2.98897
-130,2,2.99276
-128,2,2.99081
-126,2,2.98313
-124,2,2.96975
-122,2,2.95075
-120,2,2.9262
-118,2,2.89623
-116,2,2.86099
-114,2,2.82064
-112,2,2.77538
-110,2,2.72543
-108,2,2.67103
-106,2,2.61244
-104,2,2.54995
-102,2,2.48386
-100,2,2.41449
-98,2,2.34218
-96,2,2.26727
-94,2,2.19014
-92,2,2.11115
-90,2,2.03069
-88,2,1.94916
-86,2,1.86694
-84,2,1.78443
-82,2,1.70204
-80,2,1.62017
-78,2,1.53922
-76,2,1.45958
-74,2,1.38163
-72,2,1.30577
-70,2,1.23235
-68,2,1.16175
-66,2,1.09429
-64,2,1.03031
-62,2,0.970123
-60,2,0.914022
-58,2,0.862282
-56,2,0.815153
-54,2,0.772867
-52,2,0.735629
-50,2,0.703622
-48,2,0.677001
-46,2,0.655896
-44,2,0.640409
-42,2,0.630616
-40,2,0.626563
-38,2,0.62827
-36,2,0.635727
-34,2,0.648896
-32,2,0.667712
-30,2,0.692081
-28,2,0.721882
-26,2,0.756969
-24,2,0.797167
-22,2,0.842279
-20,2,0.892081
-18,2,0.946329
-16,2,1.00475
-14,2,1.06707
-12,2,1.13297
-10,2,1.20213
-8,2,1.2742
-6,2,1.34885
-4,2,1.42568
-2,2,1.50435
0,2,1.58444
2,2,1.66558
4,2,1.74736
6,2,1.82938
8,2,1.91125
10,2,1.99256
12,2,2.07291
14,2,2.15191
16,2,2.22918
18,2,2.30434
20,2,2.37702
22,2,2.44687
24,2,2.51354
26,2,2.57672
28,2,2.63609
30,2,2.69138
32,2,2.7423
34,2,2.78862
36,2,2.8301
38,2,2.86656
40,2,2.89781
42,2,2.9237
44,2,2.94411
46,2,2.95894
48,2,2.96812
50,2,2.97161
52,2,2.96939
54,2,2.96147
56,2,2.9479
58,2,2.92874
60,2,2.90409
62,2,2.87407
64,2,2.83882
66,2,2.79852
68,2,2.75337
70,2,2.70358
72,2,2.6494
74,2,2.59108
76,2,2.52893
78,2,2.46323
80,2,2.39431
82,2,2.3225
84,2,2.24816
86,2,2.17164
88,2,2.09331
90,2,2.01356
92,2,1.93278
94,2,1.85135
96,2,1.76968
98,2,1.68816
100,2,1.60719
102,2,1.52716
104,2,1.44846
106,2,1.37147
108,2,1.29658
110,2,1.22414
112,2,1.15452
114,2,1.08804
116,2,1.02503
118,2,0.965809
120,2,0.910657
122,2,0.859847
124,2,0.813628
126,2,0.772226
128,2,0.735845
130,2,0.704664
132,2,0.678837
134,2,0.658491
136,2,0.643729
138,2,0.634623
140,2,0.631221
142,2,0.633541
