Phi[deg],Theta[deg],im(rEPhi)[mV]
-72,2,-3305.01
-70,2,-2948.99
-68,2,-2589.54
-66,2,-2227.11
-64,2,-1862.12
-62,2,-1495.03
-60,2,-1126.28
-58,2,-756.318
-56,2,-385.582
-54,2,-14.5234
-52,2,356.414
-50,2,726.786
-48,2,1096.15
-46,2,1464.07
-44,2,1830.09
-42,2,2193.8
-40,2,2554.75
-38,2,2912.51
-36,2,3266.67
-34,2,3616.8
-32,2,3962.49
-30,2,4303.33
-28,2,4638.92
-26,2,4968.86
-24,2,5292.75
-22,2,5610.23
-20,2,5920.91
-18,2,6224.42
-16,2,6520.41
-14,2,6808.54
-12,2,7088.45
-10,2,7359.82
-8,2,7622.33
-6,2,7875.67
-4,2,8119.53
-2,2,8353.64
0,2,8577.72
2,2,8791.5
4,2,8994.72
6,2,9187.15
8,2,9368.57
10,2,9538.75
12,2,9697.49
14,2,9844.62
16,2,9979.94
18,2,10103.3
20,2,10214.6
22,2,10313.6
24,2,10400.3
26,2,10474.5
28,2,10536.2
30,2,10585.3
32,2,10621.7
34,2,10645.4
36,2,10656.3
38,2,10654.5
40,2,10639.9
42,2,10612.6
44,2,10572.6
46,2,10519.9
48,2,10454.7
50,2,10376.9
52,2,10286.6
54,2,10184.1
56,2,10069.3
58,2,9942.51
60,2,9803.76
62,2,9653.26
64,2,9491.18
66,2,9317.71
68,2,9133.04
70,2,8937.4
72,2,8731.02
74,2,8514.14
76,2,8287.01
78,2,8049.89
80,2,7803.07
82,2,7546.84
84,2,7281.48
86,2,7007.32
88,2,6724.67
90,2,6433.87
92,2,6135.25
94,2,5829.17
96,2,5515.99
98,2,5196.07
100,2,4869.78
102,2,4537.52
104,2,4199.67
106,2,3856.64
108,2,3508.82
110,2,3156.64
112,2,2800.5
114,2,2440.83
116,2,2078.06
118,2,1712.62
120,2,1344.95
122,2,975.481
124,2,604.667
126,2,232.952
128,2,-139.217
130,2,-511.389
132,2,-883.112
134,2,-1253.93
136,2,-1623.4
138,2,-1991.06
140,2,-2356.47
142,2,-2719.16
144,2,-3078.7
146,2,-3434.64
148,2,-3786.53
150,2,-4133.94
152,2,-4476.43
154,2,-4813.58
156,2,-5144.95
158,2,-5470.13
160,2,-5788.7
162,2,-6100.27
164,2,-6404.43
166,2,-6700.79
168,2,-6988.99
170,2,-7268.64
172,2,-7539.38
174,2,-7800.87
176,2,-8052.77
178,2,-8294.74
180,2,-8526.48
-180,4,-8405.73
-178,4,-8621.7
-176,4,-8826.83
-174,4,-9020.81
-172,4,-9203.38
-170,4,-9374.25
-168,4,-9533.19
-166,4,-9679.95
-164,4,-9814.33
-162,4,-9936.12
-160,4,-10045.1
-158,4,-10141.2
-156,4,-10224.3
-154,4,-10294.1
-152,4,-10350.7
-150,4,-10393.8
-148,4,-10423.6
-146,4,-10439.9
-144,4,-10442.7
-142,4,-10431.9
-140,4,-10407.8
-138,4,-10370.2
-136,4,-10319.2
-134,4,-10255
-132,4,-10177.6
-130,4,-10087.2
-128,4,-9983.83
-126,4,-9867.76
-124,4,-9739.13
-122,4,-9598.14
-120,4,-9445.02
-118,4,-9279.99
-116,4,-9103.32
-114,4,-8915.25
-112,4,-8716.08
-110,4,-8506.1
-108,4,-8285.61
-106,4,-8054.95
-104,4,-7814.43
-102,4,-7564.4
-100,4,-7305.22
-98,4,-7037.24
-96,4,-6760.84
-94,4,-6476.4
-92,4,-6184.29
-90,4,-5884.91
-88,4,-5578.65
-86,4,-5265.92
-84,4,-4947.12
-82,4,-4622.66
-80,4,-4292.94
-78,4,-3958.39
-76,4,-3619.42
-74,4,-3276.44
-72,4,-2929.88
-70,4,-2580.14
-68,4,-2227.66
-66,4,-1872.85
-64,4,-1516.13
-62,4,-1157.91
-60,4,-798.622
-58,4,-438.675
-56,4,-78.4857
-54,4,281.531
-52,4,640.964
-50,4,999.401
-48,4,1356.43
-46,4,1711.65
-44,4,2064.66
-42,4,2415.05
-40,4,2762.43
-38,4,3106.39
-36,4,3446.56
-34,4,3782.53
-32,4,4113.94
-30,4,4440.39
-28,4,4761.51
-26,4,5076.94
-24,4,5386.32
-22,4,5689.28
-20,4,5985.47
-18,4,6274.55
-16,4,6556.19
-14,4,6830.05
-12,4,7095.82
-10,4,7353.18
-8,4,7601.83
-6,4,7841.48
-4,4,8071.85
-2,4,8292.65
0,4,8503.64
2,4,8704.55
4,4,8895.16
6,4,9075.22
8,4,9244.54
10,4,9402.9
12,4,9550.12
14,4,9686.02
16,4,9810.45
18,4,9923.24
20,4,10024.3
22,4,10113.4
24,4,10190.6
26,4,10255.7
28,4,10308.6
30,4,10349.3
32,4,10377.8
34,4,10393.9
36,4,10397.8
38,4,10389.3
40,4,10368.6
42,4,10335.5
44,4,10290.3
46,4,10232.9
48,4,10163.4
50,4,10081.9
52,4,9988.46
54,4,9883.25
56,4,9766.39
58,4,9638.01
60,4,9498.26
62,4,9347.32
64,4,9185.37
66,4,9012.59
68,4,8829.19
70,4,8635.4
72,4,8431.42
74,4,8217.51
76,4,7993.91
78,4,7760.88
80,4,7518.68
82,4,7267.6
84,4,7007.91
86,4,6739.91
88,4,6463.91
90,4,6180.21
92,4,5889.14
94,4,5591.01
96,4,5286.17
98,4,4974.94
100,4,4657.69
102,4,4334.76
104,4,4006.5
106,4,3673.3
108,4,3335.51
110,4,2993.52
112,4,2647.71
114,4,2298.46
116,4,1946.18
118,4,1591.26
120,4,1234.11
122,4,875.131
124,4,514.74
126,4,153.353
128,4,-208.607
130,4,-570.714
132,4,-932.542
134,4,-1293.66
136,4,-1653.63
138,4,-2012.01
140,4,-2368.38
142,4,-2722.28
144,4,-3073.29
146,4,-3420.96
148,4,-3764.84
150,4,-4104.51
152,4,-4439.52
154,4,-4769.44
156,4,-5093.84
158,4,-5412.28
160,4,-5724.35
162,4,-6029.62
164,4,-6327.69
166,4,-6618.14
168,4,-6900.57
170,4,-7174.61
172,4,-7439.86
174,4,-7695.95
176,4,-7942.53
178,4,-8179.23
180,4,-8405.73
-180,6,-8224.97
-178,6,-8430.35
-176,6,-8624.93
-174,6,-8808.39
-172,6,-8980.43
-170,6,-9140.77
-168,6,-9289.13
-166,6,-9425.25
-164,6,-9548.92
-162,6,-9659.91
-160,6,-9758.04
-158,6,-9843.12
-156,6,-9915.02
-154,6,-9973.61
-152,6,-10018.8
-150,6,-10050.5
-148,6,-10068.6
-146,6,-10073.2
-144,6,-10064.1
-142,6,-10041.5
-140,6,-10005.4
-138,6,-9955.8
-136,6,-9892.85
-134,6,-9816.65
-132,6,-9727.34
-130,6,-9625.1
-128,6,-9510.09
-126,6,-9382.55
-124,6,-9242.69
-122,6,-9090.77
-120,6,-8927.07
-118,6,-8751.87
-116,6,-8565.48
-114,6,-8368.23
-112,6,-8160.46
-110,6,-7942.51
-108,6,-7714.76
-106,6,-7477.58
-104,6,-7231.36
-102,6,-6976.48
-100,6,-6713.36
-98,6,-6442.39
-96,6,-6163.98
-94,6,-5878.55
-92,6,-5586.5
-90,6,-5288.26
-88,6,-4984.23
-86,6,-4674.82
-84,6,-4360.45
-82,6,-4041.52
-80,6,-3718.44
-78,6,-3391.6
-76,6,-3061.4
-74,6,-2728.23
-72,6,-2392.49
-70,6,-2054.54
-68,6,-1714.79
-66,6,-1373.59
-64,6,-1031.33
-62,6,-688.366
-60,6,-345.073
-58,6,-1.81312
-56,6,341.053
-54,6,683.165
-52,6,1024.16
-50,6,1363.7
-48,6,1701.4
-46,6,2036.93
-44,6,2369.93
-42,6,2700.04
-40,6,3026.91
-38,6,3350.19
-36,6,3669.53
-34,6,3984.58
-32,6,4295
-30,6,4600.43
-28,6,4900.53
-26,6,5194.97
-24,6,5483.4
-22,6,5765.5
-20,6,6040.93
-18,6,6309.36
-16,6,6570.49
-14,6,6824
-12,6,7069.58
-10,6,7306.95
-8,6,7535.8
-6,6,7755.86
-4,6,7966.87
-2,6,8168.56
0,6,8360.68
2,6,8542.99
4,6,8715.28
6,6,8877.33
8,6,9028.93
10,6,9169.9
12,6,9300.06
14,6,9419.26
16,6,9527.34
18,6,9624.19
20,6,9709.67
22,6,9783.68
24,6,9846.14
26,6,9896.98
28,6,9936.13
30,6,9963.56
32,6,9979.23
34,6,9983.15
36,6,9975.3
38,6,9955.72
40,6,9924.43
42,6,9881.49
44,6,9826.96
46,6,9760.93
48,6,9683.48
50,6,9594.73
52,6,9494.79
54,6,9383.82
56,6,9261.95
58,6,9129.36
60,6,8986.21
62,6,8832.69
64,6,8669.01
66,6,8495.36
68,6,8311.97
70,6,8119.06
72,6,7916.87
74,6,7705.65
76,6,7485.63
78,6,7257.09
80,6,7020.29
82,6,6775.49
84,6,6522.97
86,6,6263
88,6,5995.88
90,6,5721.88
92,6,5441.3
94,6,5154.43
96,6,4861.57
98,6,4563.03
100,6,4259.1
102,6,3950.09
104,6,3636.32
106,6,3318.1
108,6,2995.75
110,6,2669.6
112,6,2339.97
114,6,2007.2
116,6,1671.63
118,6,1333.6
120,6,993.455
122,6,651.563
124,6,308.283
126,6,-36.0172
128,6,-380.96
130,6,-726.163
132,6,-1071.24
134,6,-1415.79
136,6,-1759.41
138,6,-2101.7
140,6,-2442.24
142,6,-2780.61
144,6,-3116.38
146,6,-3449.14
148,6,-3778.45
150,6,-4103.86
152,6,-4424.96
154,6,-4741.29
156,6,-5052.42
158,6,-5357.92
160,6,-5657.34
162,6,-5950.26
164,6,-6236.24
166,6,-6514.87
168,6,-6785.71
170,6,-7048.37
172,6,-7302.43
174,6,-7547.5
176,6,-7783.19
178,6,-8009.14
180,6,-8224.97
-180,8,-7986.93
-178,8,-8177.15
-176,8,-8356.65
-174,8,-8525.11
-172,8,-8682.19
-170,8,-8827.59
-168,8,-8961.03
-166,8,-9082.24
-164,8,-9190.97
-162,8,-9287
-160,8,-9370.12
-158,8,-9440.15
-156,8,-9496.95
-154,8,-9540.37
-152,8,-9570.32
-150,8,-9586.71
-148,8,-9589.5
-146,8,-9578.67
-144,8,-9554.22
-142,8,-9516.19
-140,8,-9464.64
-138,8,-9399.67
-136,8,-9321.41
-134,8,-9230
-132,8,-9125.63
-130,8,-9008.52
-128,8,-8878.9
-126,8,-8737.05
-124,8,-8583.27
-122,8,-8417.86
-120,8,-8241.18
-118,8,-8053.59
-116,8,-7855.48
-114,8,-7647.25
-112,8,-7429.33
-110,8,-7202.13
-108,8,-6966.11
-106,8,-6721.72
-104,8,-6469.42
-102,8,-6209.66
-100,8,-5942.92
-98,8,-5669.65
-96,8,-5390.31
-94,8,-5105.36
-92,8,-4815.24
-90,8,-4520.39
-88,8,-4221.24
-86,8,-3918.2
-84,8,-3611.69
-82,8,-3302.1
-80,8,-2989.79
-78,8,-2675.15
-76,8,-2358.53
-74,8,-2040.27
-72,8,-1720.7
-70,8,-1400.15
-68,8,-1078.91
-66,8,-757.307
-64,8,-435.624
-62,8,-114.153
-60,8,206.82
-58,8,527.013
-56,8,846.145
-54,8,1163.94
-52,8,1480.11
-50,8,1794.38
-48,8,2106.45
-46,8,2416.06
-44,8,2722.89
-42,8,3026.66
-40,8,3327.07
-38,8,3623.81
-36,8,3916.57
-34,8,4205.03
-32,8,4488.89
-30,8,4767.83
-28,8,5041.52
-26,8,5309.64
-24,8,5571.87
-22,8,5827.9
-20,8,6077.4
-18,8,6320.06
-16,8,6555.57
-14,8,6783.63
-12,8,7003.95
-10,8,7216.23
-8,8,7420.2
-6,8,7615.59
-4,8,7802.14
-2,8,7979.6
0,8,8147.75
2,8,8306.35
4,8,8455.21
6,8,8594.12
8,8,8722.9
10,8,8841.4
12,8,8949.46
14,8,9046.94
16,8,9133.72
18,8,9209.69
20,8,9274.76
22,8,9328.86
24,8,9371.92
26,8,9403.89
28,8,9424.76
30,8,9434.49
32,8,9433.1
34,8,9420.59
36,8,9397.01
38,8,9362.39
40,8,9316.81
42,8,9260.33
44,8,9193.07
46,8,9115.12
48,8,9026.62
50,8,8927.7
52,8,8818.53
54,8,8699.26
56,8,8570.09
58,8,8431.21
60,8,8282.82
62,8,8125.15
64,8,7958.42
66,8,7782.87
68,8,7598.74
70,8,7406.29
72,8,7205.77
74,8,6997.44
76,8,6781.56
78,8,6558.41
80,8,6328.24
82,8,6091.32
84,8,5847.93
86,8,5598.31
88,8,5342.73
90,8,5081.46
92,8,4814.74
94,8,4542.84
96,8,4265.99
98,8,3984.46
100,8,3698.47
102,8,3408.29
104,8,3114.14
106,8,2816.27
108,8,2514.93
110,8,2210.36
112,8,1902.81
114,8,1592.53
116,8,1279.79
118,8,964.842
120,8,647.964
122,8,329.437
124,8,9.5518
126,8,-311.389
128,8,-633.074
130,8,-955.178
132,8,-1277.36
134,8,-1599.28
136,8,-1920.57
138,8,-2240.86
140,8,-2559.77
142,8,-2876.89
144,8,-3191.82
146,8,-3504.14
148,8,-3813.43
150,8,-4119.24
152,8,-4421.15
154,8,-4718.71
156,8,-5011.45
158,8,-5298.95
160,8,-5580.73
162,8,-5856.34
164,8,-6125.35
166,8,-6387.29
168,8,-6641.72
170,8,-6888.22
172,8,-7126.35
174,8,-7355.69
176,8,-7575.83
178,8,-7786.37
180,8,-7986.93
-180,10,-7694.44
-178,10,-7865.92
-176,10,-8026.79
-174,10,-8176.69
-172,10,-8315.29
-170,10,-8442.27
-168,10,-8557.34
-166,10,-8660.22
-164,10,-8750.65
-162,10,-8828.41
-160,10,-8893.28
-158,10,-8945.09
-156,10,-8983.67
-154,10,-9008.88
-152,10,-9020.63
-150,10,-9018.84
-148,10,-9003.45
-146,10,-8974.46
-144,10,-8931.88
-142,10,-8875.76
-140,10,-8806.19
-138,10,-8723.29
-136,10,-8627.21
-134,10,-8518.15
-132,10,-8396.34
-130,10,-8262.05
-128,10,-8115.58
-126,10,-7957.27
-124,10,-7787.49
-122,10,-7606.64
-120,10,-7415.16
-118,10,-7213.51
-116,10,-7002.17
-114,10,-6781.64
-112,10,-6552.46
-110,10,-6315.15
-108,10,-6070.27
-106,10,-5818.36
-104,10,-5559.98
-102,10,-5295.68
-100,10,-5026.01
-98,10,-4751.5
-96,10,-4472.67
-94,10,-4190.04
-92,10,-3904.08
-90,10,-3615.25
-88,10,-3324.01
-86,10,-3030.76
-84,10,-2735.89
-82,10,-2439.76
-80,10,-2142.72
-78,10,-1845.06
-76,10,-1547.07
-74,10,-1249.02
-72,10,-951.142
-70,10,-653.66
-68,10,-356.779
-66,10,-60.6905
-64,10,234.425
-62,10,528.395
-60,10,821.049
-58,10,1112.22
-56,10,1401.74
-54,10,1689.43
-52,10,1975.12
-50,10,2258.62
-48,10,2539.72
-46,10,2818.22
-44,10,3093.89
-42,10,3366.5
-40,10,3635.79
-38,10,3901.51
-36,10,4163.36
-34,10,4421.07
-32,10,4674.33
-30,10,4922.83
-28,10,5166.26
-26,10,5404.29
-24,10,5636.6
-22,10,5862.87
-20,10,6082.76
-18,10,6295.96
-16,10,6502.15
-14,10,6701.01
-12,10,6892.26
-10,10,7075.6
-8,10,7250.76
-6,10,7417.47
-4,10,7575.5
-2,10,7724.6
0,10,7864.56
2,10,7995.2
4,10,8116.31
6,10,8227.75
8,10,8329.36
10,10,8421.02
12,10,8502.61
14,10,8574.03
16,10,8635.2
18,10,8686.05
20,10,8726.54
22,10,8756.62
24,10,8776.27
26,10,8785.49
28,10,8784.28
30,10,8772.66
32,10,8750.66
34,10,8718.34
36,10,8675.77
38,10,8623.02
40,10,8560.19
42,10,8487.39
44,10,8404.76
46,10,8312.44
48,10,8210.59
50,10,8099.39
52,10,7979.04
54,10,7849.74
56,10,7711.72
58,10,7565.21
60,10,7410.47
62,10,7247.77
64,10,7077.36
66,10,6899.52
68,10,6714.55
70,10,6522.73
72,10,6324.35
74,10,6119.7
76,10,5909.07
78,10,5692.73
80,10,5470.97
82,10,5244.06
84,10,5012.25
86,10,4775.79
88,10,4534.92
90,10,4289.86
92,10,4040.82
94,10,3788.01
96,10,3531.6
98,10,3271.77
100,10,3008.68
102,10,2742.49
104,10,2473.35
106,10,2201.39
108,10,1926.75
110,10,1649.57
112,10,1369.98
114,10,1088.13
116,10,804.161
118,10,518.227
120,10,230.499
122,10,-58.8448
124,10,-349.607
126,10,-641.575
128,10,-934.516
130,10,-1228.18
132,10,-1522.29
134,10,-1816.55
136,10,-2110.64
138,10,-2404.23
140,10,-2696.96
142,10,-2988.44
144,10,-3278.28
146,10,-3566.06
148,10,-3851.35
150,10,-4133.69
152,10,-4412.64
154,10,-4687.72
156,10,-4958.45
158,10,-5224.35
160,10,-5484.94
162,10,-5739.74
164,10,-5988.26
166,10,-6230.01
168,10,-6464.53
170,10,-6691.36
172,10,-6910.03
174,10,-7120.09
176,10,-7321.13
178,10,-7512.71
180,10,-7694.44
-180,12,-7350.42
-178,12,-7500.78
-176,12,-7640.58
-174,12,-7769.47
-172,12,-7887.13
-170,12,-7993.23
-168,12,-8087.49
-166,12,-8169.64
-164,12,-8239.42
-162,12,-8296.61
-160,12,-8341
-158,12,-8372.4
-156,12,-8390.66
-154,12,-8395.64
-152,12,-8387.24
-150,12,-8365.38
-148,12,-8330
-146,12,-8281.1
-144,12,-8218.69
-142,12,-8142.85
-140,12,-8053.66
-138,12,-7951.26
-136,12,-7835.85
-134,12,-7707.66
-132,12,-7566.95
-130,12,-7414.06
-128,12,-7249.36
-126,12,-7073.25
-124,12,-6886.2
-122,12,-6688.7
-120,12,-6481.31
-118,12,-6264.59
-116,12,-6039.15
-114,12,-5805.63
-112,12,-5564.67
-110,12,-5316.95
-108,12,-5063.15
-106,12,-4803.94
-104,12,-4540
-102,12,-4272
-100,12,-4000.58
-98,12,-3726.39
-96,12,-3450
-94,12,-3172
-92,12,-2892.9
-90,12,-2613.21
-88,12,-2333.35
-86,12,-2053.74
-84,12,-1774.72
-82,12,-1496.6
-80,12,-1219.65
-78,12,-944.072
-76,12,-670.051
-74,12,-397.725
-72,12,-127.198
-70,12,141.455
-68,12,408.181
-66,12,672.948
-64,12,935.734
-62,12,1196.53
-60,12,1455.32
-58,12,1712.08
-56,12,1966.81
-54,12,2219.45
-52,12,2469.95
-50,12,2718.23
-48,12,2964.19
-46,12,3207.71
-44,12,3448.62
-42,12,3686.74
-40,12,3921.85
-38,12,4153.71
-36,12,4382.06
-34,12,4606.6
-32,12,4827.02
-30,12,5042.99
-28,12,5254.15
-26,12,5460.16
-24,12,5660.66
-22,12,5855.26
-20,12,6043.62
-18,12,6225.37
-16,12,6400.17
-14,12,6567.68
-12,12,6727.58
-10,12,6879.57
-8,12,7023.36
-6,12,7158.71
-4,12,7285.37
-2,12,7403.14
0,12,7511.83
2,12,7611.28
4,12,7701.36
6,12,7781.94
8,12,7852.93
10,12,7914.27
12,12,7965.9
14,12,8007.78
16,12,8039.9
18,12,8062.24
20,12,8074.82
22,12,8077.66
24,12,8070.79
26,12,8054.25
28,12,8028.09
30,12,7992.4
32,12,7947.23
34,12,7892.68
36,12,7828.85
38,12,7755.87
40,12,7673.85
42,12,7582.95
44,12,7483.32
46,12,7375.16
48,12,7258.65
50,12,7134.02
52,12,7001.5
54,12,6861.35
56,12,6713.83
58,12,6559.23
60,12,6397.86
62,12,6230.03
64,12,6056.07
66,12,5876.31
68,12,5691.09
70,12,5500.74
72,12,5305.62
74,12,5106.05
76,12,4902.36
78,12,4694.85
80,12,4483.82
82,12,4269.55
84,12,4052.3
86,12,3832.3
88,12,3609.75
90,12,3384.84
92,12,3157.72
94,12,2928.51
96,12,2697.32
98,12,2464.22
100,12,2229.27
102,12,1992.5
104,12,1753.92
106,12,1513.53
108,12,1271.34
110,12,1027.32
112,12,781.464
114,12,533.763
116,12,284.213
118,12,32.8282
120,12,-220.362
122,12,-475.308
124,12,-731.932
126,12,-990.131
128,12,-1249.77
130,12,-1510.67
132,12,-1772.64
134,12,-2035.44
136,12,-2298.79
138,12,-2562.38
140,12,-2825.86
142,12,-3088.86
144,12,-3350.96
146,12,-3611.73
148,12,-3870.71
150,12,-4127.41
152,12,-4381.32
154,12,-4631.94
156,12,-4878.73
158,12,-5121.15
160,12,-5358.68
162,12,-5590.77
164,12,-5816.89
166,12,-6036.51
168,12,-6249.11
170,12,-6454.21
172,12,-6651.29
174,12,-6839.9
176,12,-7019.58
178,12,-7189.89
180,12,-7350.42
-180,14,-6958.01
-178,14,-7086.09
-176,14,-7203.61
-174,14,-7310.23
-172,14,-7405.64
-170,14,-7489.55
-168,14,-7561.69
-166,14,-7621.81
-164,14,-7669.68
-162,14,-7705.08
-160,14,-7727.84
-158,14,-7737.76
-156,14,-7734.7
-154,14,-7718.53
-152,14,-7689.13
-150,14,-7646.43
-148,14,-7590.37
-146,14,-7520.93
-144,14,-7438.13
-142,14,-7342.03
-140,14,-7232.73
-138,14,-7110.39
-136,14,-6975.21
-134,14,-6827.44
-132,14,-6667.41
-130,14,-6495.5
-128,14,-6312.14
-126,14,-6117.84
-124,14,-5913.14
-122,14,-5698.66
-120,14,-5475.07
-118,14,-5243.07
-116,14,-5003.43
-114,14,-4756.93
-112,14,-4504.38
-110,14,-4246.62
-108,14,-3984.48
-106,14,-3718.81
-104,14,-3450.44
-102,14,-3180.18
-100,14,-2908.79
-98,14,-2637.02
-96,14,-2365.57
-94,14,-2095.06
-92,14,-1826.08
-90,14,-1559.13
-88,14,-1294.64
-86,14,-1032.99
-84,14,-774.471
-82,14,-519.296
-80,14,-267.619
-78,14,-19.5207
-76,14,224.977
-74,14,465.909
-72,14,703.361
-70,14,937.455
-68,14,1168.35
-66,14,1396.22
-64,14,1621.27
-62,14,1843.69
-60,14,2063.66
-58,14,2281.38
-56,14,2496.98
-54,14,2710.6
-52,14,2922.33
-50,14,3132.21
-48,14,3340.24
-46,14,3546.37
-44,14,3750.5
-42,14,3952.49
-40,14,4152.12
-38,14,4349.16
-36,14,4543.31
-34,14,4734.22
-32,14,4921.54
-30,14,5104.87
-28,14,5283.78
-26,14,5457.83
-24,14,5626.57
-22,14,5789.57
-20,14,5946.37
-18,14,6096.55
-16,14,6239.69
-14,14,6375.41
-12,14,6503.33
-10,14,6623.14
-8,14,6734.53
-6,14,6837.26
-4,14,6931.1
-2,14,7015.86
0,14,7091.42
2,14,7157.66
4,14,7214.52
6,14,7261.95
8,14,7299.94
10,14,7328.52
12,14,7347.71
14,14,7357.57
16,14,7358.19
18,14,7349.63
20,14,7331.99
22,14,7305.38
24,14,7269.9
26,14,7225.67
28,14,7172.79
30,14,7111.39
32,14,7041.6
34,14,6963.53
36,14,6877.34
38,14,6783.17
40,14,6681.17
42,14,6571.53
44,14,6454.43
46,14,6330.09
48,14,6198.73
50,14,6060.6
52,14,5915.98
54,14,5765.16
56,14,5608.48
58,14,5446.26
60,14,5278.87
62,14,5106.7
64,14,4930.13
66,14,4749.57
68,14,4565.42
70,14,4378.1
72,14,4188.01
74,14,3995.54
76,14,3801.06
78,14,3604.94
80,14,3407.49
82,14,3209
84,14,3009.75
86,14,2809.93
88,14,2609.73
90,14,2409.28
92,14,2208.64
94,14,2007.87
96,14,1806.95
98,14,1605.82
100,14,1404.4
