Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,0,-8584.62
-178,0,-8805.18
-176,0,-9015.01
-174,0,-9213.86
-172,0,-9401.48
-170,0,-9577.64
-168,0,-9742.14
-166,0,-9894.77
-164,0,-10035.3
-162,0,-10163.7
-160,0,-10279.7
-158,0,-10383.1
-156,0,-10473.9
-154,0,-10551.9
-152,0,-10617.1
-150,0,-10669.3
-148,0,-10708.6
-146,0,-10734.8
-144,0,-10747.9
-142,0,-10747.9
-140,0,-10734.8
-138,0,-10708.7
-136,0,-10669.5
-134,0,-10617.3
-132,0,-10552.1
-130,0,-10474.1
-128,0,-10383.4
-126,0,-10280
-124,0,-10164
-122,0,-10035.7
-120,0,-9895.19
-118,0,-9742.59
-116,0,-9578.13
-114,0,-9401.99
-112,0,-9214.4
-110,0,-9015.59
-108,0,-8805.79
-106,0,-8585.26
-104,0,-8354.27
-102,0,-8113.11
-100,0,-7862.06
-98,0,-7601.43
-96,0,-7331.54
-94,0,-7052.72
-92,0,-6765.3
-90,0,-6469.64
-88,0,-6166.1
-86,0,-5855.05
-84,0,-5536.86
-82,0,-5211.93
-80,0,-4880.65
-78,0,-4543.42
-76,0,-4200.66
-74,0,-3852.78
-72,0,-3500.2
-70,0,-3143.36
-68,0,-2782.69
-66,0,-2418.63
-64,0,-2051.63
-62,0,-1682.12
-60,0,-1310.56
-58,0,-937.411
-56,0,-563.117
-54,0,-188.136
-52,0,187.074
-50,0,562.056
-48,0,936.353
-46,0,1309.51
-44,0,1681.07
-42,0,2050.58
-40,0,2417.6
-38,0,2781.67
-36,0,3142.35
-34,0,3499.2
-32,0,3851.78
-30,0,4199.68
-28,0,4542.46
-26,0,4879.7
-24,0,5211
-22,0,5535.95
-20,0,5854.16
-18,0,6165.23
-16,0,6468.79
-14,0,6764.47
-12,0,7051.91
-10,0,7330.76
-8,0,7600.68
-6,0,7861.33
-4,0,8112.41
-2,0,8353.61
0,0,8584.62
2,0,8805.18
4,0,9015.01
6,0,9213.86
8,0,9401.48
10,0,9577.64
12,0,9742.14
14,0,9894.77
16,0,10035.3
18,0,10163.7
20,0,10279.7
22,0,10383.1
24,0,10473.9
26,0,10551.9
28,0,10617.1
30,0,10669.3
32,0,10708.6
34,0,10734.8
36,0,10747.9
38,0,10747.9
40,0,10734.8
42,0,10708.7
44,0,10669.5
46,0,10617.3
48,0,10552.1
50,0,10474.1
52,0,10383.4
54,0,10280
56,0,10164
58,0,10035.7
60,0,9895.19
62,0,9742.59
64,0,9578.13
66,0,9401.99
68,0,9214.4
70,0,9015.59
72,0,8805.79
74,0,8585.26
76,0,8354.27
78,0,8113.11
80,0,7862.06
82,0,7601.43
84,0,7331.54
86,0,7052.72
88,0,6765.3
90,0,6469.64
92,0,6166.1
94,0,5855.05
96,0,5536.86
98,0,5211.93
100,0,4880.65
102,0,4543.42
104,0,4200.66
106,0,3852.78
108,0,3500.2
110,0,3143.36
112,0,2782.69
114,0,2418.63
116,0,2051.63
118,0,1682.12
120,0,1310.56
122,0,937.411
124,0,563.117
126,0,188.136
128,0,-187.074
130,0,-562.056
132,0,-936.353
134,0,-1309.51
136,0,-1681.07
138,0,-2050.58
140,0,-2417.6
142,0,-2781.67
144,0,-3142.35
146,0,-3499.2
148,0,-3851.78
150,0,-4199.68
152,0,-4542.46
154,0,-4879.7
156,0,-5211
158,0,-5535.95
160,0,-5854.16
162,0,-6165.23
164,0,-6468.79
166,0,-6764.47
168,0,-7051.91
170,0,-7330.76
172,0,-7600.68
174,0,-7861.33
176,0,-8112.41
178,0,-8353.61
180,0,-8584.62
-180,2,-8526.48
-178,2,-8747.69
-176,2,-8958.07
-174,2,-9157.36
-172,2,-9345.28
-170,2,-9521.59
-168,2,-9686.07
-166,2,-9838.5
-164,2,-9978.67
-162,2,-10106.4
-160,2,-10221.5
-158,2,-10323.9
-156,2,-10413.4
-154,2,-10489.9
-152,2,-10553.3
-150,2,-10603.5
-148,2,-10640.4
-146,2,-10664
-144,2,-10674.4
-142,2,-10671.4
-140,2,-10655
-138,2,-10625.4
-136,2,-10582.5
-134,2,-10526.4
-132,2,-10457.2
-130,2,-10374.9
-128,2,-10279.8
-126,2,-10171.8
-124,2,-10051.3
-122,2,-9918.22
-120,2,-9772.89
-118,2,-9615.46
-116,2,-9446.14
-114,2,-9265.16
-112,2,-9072.76
-110,2,-8869.18
-108,2,-8654.71
-106,2,-8429.62
-104,2,-8194.2
-102,2,-7948.77
-100,2,-7693.63
-98,2,-7429.12
-96,2,-7155.58
-94,2,-6873.36
-92,2,-6582.82
-90,2,-6284.33
-88,2,-5978.26
-86,2,-5665.02
-84,2,-5344.97
-82,2,-5018.54
-80,2,-4686.13
-78,2,-4348.15
-76,2,-4005.02
-74,2,-3657.16
