Phi[deg],Theta[deg],RealizedGainTheta
-180,0,2.33017
-178,0,2.34769
-176,0,2.35957
-174,0,2.36575
-172,0,2.3662
-170,0,2.36091
-168,0,2.34991
-166,0,2.33325
-164,0,2.31103
-162,0,2.28333
-160,0,2.25031
-158,0,2.21212
-156,0,2.16894
-154,0,2.12099
-152,0,2.06849
-150,0,2.01172
-148,0,1.95094
-146,0,1.88644
-144,0,1.81855
-142,0,1.74759
-140,0,1.67391
-138,0,1.59787
-136,0,1.51984
-134,0,1.4402
-132,0,1.35933
-130,0,1.27764
-128,0,1.19551
-126,0,1.11335
-124,0,1.03156
-122,0,0.950542
-120,0,0.870684
-118,0,0.792377
-116,0,0.716003
-114,0,0.641934
-112,0,0.570531
-110,0,0.502142
-108,0,0.4371
-106,0,0.375721
-104,0,0.318306
-102,0,0.265133
-100,0,0.216461
-98,0,0.172529
-96,0,0.133549
-94,0,0.0997119
-92,0,0.0711824
-90,0,0.0480994
-88,0,0.0305755
-86,0,0.0186959
-84,0,0.0125186
-82,0,0.0120736
-80,0,0.0173632
-78,0,0.0283615
-76,0,0.045015
-74,0,0.0672425
-72,0,0.0949358
-70,0,0.12796
-68,0,0.166154
-66,0,0.209332
-64,0,0.257283
-62,0,0.309774
-60,0,0.36655
-58,0,0.427333
-56,0,0.491827
-54,0,0.559719
-52,0,0.630677
-50,0,0.704356
-48,0,0.780396
-46,0,0.858428
-44,0,0.938071
-42,0,1.01894
-40,0,1.10063
-38,0,1.18276
-36,0,1.26492
-34,0,1.34671
-32,0,1.42773
-30,0,1.50759
-28,0,1.58589
-26,0,1.66227
-24,0,1.73633
-22,0,1.80774
-20,0,1.87613
-18,0,1.94117
-16,0,2.00255
-14,0,2.05996
-12,0,2.11314
-10,0,2.16181
-8,0,2.20574
-6,0,2.24472
-4,0,2.27856
-2,0,2.30709
0,0,2.33017
2,0,2.34769
4,0,2.35957
6,0,2.36575
8,0,2.3662
10,0,2.36091
12,0,2.34991
14,0,2.33325
16,0,2.31103
18,0,2.28333
20,0,2.25031
22,0,2.21212
24,0,2.16894
26,0,2.12099
28,0,2.06849
30,0,2.01172
32,0,1.95094
34,0,1.88644
36,0,1.81855
38,0,1.74759
40,0,1.67391
42,0,1.59787
44,0,1.51984
46,0,1.4402
48,0,1.35933
50,0,1.27764
52,0,1.19551
54,0,1.11335
56,0,1.03156
58,0,0.950542
60,0,0.870684
62,0,0.792377
64,0,0.716003
66,0,0.641934
68,0,0.570531
70,0,0.502142
72,0,0.4371
74,0,0.375721
76,0,0.318306
78,0,0.265133
80,0,0.216461
82,0,0.172529
84,0,0.133549
86,0,0.0997119
88,0,0.0711824
90,0,0.0480994
92,0,0.0305755
94,0,0.0186959
96,0,0.0125186
98,0,0.0120736
100,0,0.0173632
102,0,0.0283615
104,0,0.045015
106,0,0.0672425
108,0,0.0949358
110,0,0.12796
112,0,0.166154
114,0,0.209332
116,0,0.257283
118,0,0.309774
120,0,0.36655
122,0,0.427333
124,0,0.491827
126,0,0.559719
128,0,0.630677
130,0,0.704356
132,0,0.780396
134,0,0.858428
136,0,0.938071
138,0,1.01894
140,0,1.10063
142,0,1.18276
144,0,1.26492
146,0,1.34671
148,0,1.42773
150,0,1.50759
152,0,1.58589
154,0,1.66227
156,0,1.73633
158,0,1.80774
160,0,1.87613
162,0,1.94117
164,0,2.00255
166,0,2.05996
168,0,2.11314
170,0,2.16181
172,0,2.20574
174,0,2.24472
176,0,2.27856
178,0,2.30709
180,0,2.33017
-180,2,2.3293
-178,2,2.34679
-176,2,2.35865
-174,2,2.36481
-172,2,2.36525
-170,2,2.35996
-168,2,2.34897
-166,2,2.33233
-164,2,2.31013
-162,2,2.28246
-160,2,2.24948
-158,2,2.21133
-156,2,2.1682
-154,2,2.12031
-152,2,2.06788
-150,2,2.01117
-148,2,1.95046
-146,2,1.88604
-144,2,1.81823
-142,2,1.74735
-140,2,1.67376
-138,2,1.5978
-136,2,1.51986
-134,2,1.4403
-132,2,1.35952
-130,2,1.27791
-128,2,1.19586
-126,2,1.11378
-124,2,1.03206
-122,2,0.951106
-120,2,0.871307
-118,2,0.793053
-116,2,0.716725
-114,2,0.642692
-112,2,0.571317
-110,2,0.502945
-108,2,0.43791
-106,2,0.376527
-104,2,0.319096
-102,2,0.265894
-100,2,0.217182
-98,2,0.173196
-96,2,0.134149
-94,2,0.100231
-92,2,0.0716069
-90,2,0.0484156
-88,2,0.0307694
-86,2,0.0187537
-84,2,0.0124265
-82,2,0.0118181
-80,2,0.016931
-78,2,0.0277396
-76,2,0.0441909
-74,2,0.066204
-72,2,0.0936713
-70,2,0.126458
-68,2,0.164405
-66,2,0.207326
-64,2,0.255011
-62,2,0.307229
-60,2,0.363723
-58,2,0.424218
-56,2,0.488419
-54,2,0.556013
-52,2,0.62667
-50,2,0.700045
-48,2,0.77578
-46,2,0.853506
-44,2,0.932843
-42,2,1.01341
-40,2,1.0948
-38,2,1.17663
-36,2,1.25849
-34,2,1.33999
-32,2,1.42073
-30,2,1.50032
-28,2,1.57836
-26,2,1.65448
-24,2,1.7283
-22,2,1.79947
-20,2,1.86763
-18,2,1.93247
-16,2,1.99365
-14,2,2.05088
-12,2,2.10388
-10,2,2.1524
-8,2,2.1962
-6,2,2.23506
-4,2,2.26879
-2,2,2.29723
0,2,2.32025
2,2,2.33772
4,2,2.34957
6,2,2.35573
8,2,2.35618
10,2,2.35091
12,2,2.33995
14,2,2.32335
16,2,2.3012
18,2,2.2736
20,2,2.24069
22,2,2.20262
24,2,2.15958
26,2,2.11179
28,2,2.05948
30,2,2.00289
32,2,1.94232
34,2,1.87804
36,2,1.81038
38,2,1.73967
40,2,1.66625
42,2,1.59047
44,2,1.51272
46,2,1.43336
48,2,1.35278
50,2,1.27139
52,2,1.18956
54,2,1.10771
56,2,1.02624
58,2,0.945531
60,2,0.865988
62,2,0.787997
64,2,0.711937
66,2,0.638181
68,2,0.567087
70,2,0.499003
