Phi[deg],Theta[deg],RealizedGainTheta
-180,0,2.68149
-178,0,2.56188
-176,0,2.44324
-174,0,2.32614
-172,0,2.21115
-170,0,2.09883
-168,0,1.98974
-166,0,1.88439
-164,0,1.78331
-162,0,1.68699
-160,0,1.5959
-158,0,1.51047
-156,0,1.43113
-154,0,1.35826
-152,0,1.29223
-150,0,1.23334
-148,0,1.18189
-146,0,1.13812
-144,0,1.10226
-142,0,1.07447
-140,0,1.05489
-138,0,1.04362
-136,0,1.04071
-134,0,1.04617
-132,0,1.05998
-130,0,1.08208
-128,0,1.11234
-126,0,1.15063
-124,0,1.19677
-122,0,1.25051
-120,0,1.31161
-118,0,1.37977
-116,0,1.45465
-114,0,1.53588
-112,0,1.62308
-110,0,1.71582
-108,0,1.81364
-106,0,1.91608
-104,0,2.02262
-102,0,2.13275
-100,0,2.24594
-98,0,2.36164
-96,0,2.47927
-94,0,2.59827
-92,0,2.71805
-90,0,2.83804
-88,0,2.95765
-86,0,3.07629
-84,0,3.19339
-82,0,3.30838
-80,0,3.42069
-78,0,3.52979
-76,0,3.63513
-74,0,3.73621
-72,0,3.83254
-70,0,3.92363
-68,0,4.00906
-66,0,4.0884
-64,0,4.16126
-62,0,4.2273
-60,0,4.28619
-58,0,4.33764
-56,0,4.38141
-54,0,4.41727
-52,0,4.44506
-50,0,4.46464
-48,0,4.47591
-46,0,4.47882
-44,0,4.47336
-42,0,4.45955
-40,0,4.43745
-38,0,4.40719
-36,0,4.36889
-34,0,4.32276
-32,0,4.26901
-30,0,4.20791
-28,0,4.13976
-26,0,4.06488
-24,0,3.98364
-22,0,3.89644
-20,0,3.80371
-18,0,3.70588
-16,0,3.60345
-14,0,3.49691
-12,0,3.38677
-10,0,3.27358
-8,0,3.15789
-6,0,3.04026
-4,0,2.92126
-2,0,2.80148
0,0,2.68149
2,0,2.56188
4,0,2.44324
6,0,2.32614
8,0,2.21115
10,0,2.09883
12,0,1.98974
14,0,1.88439
16,0,1.78331
18,0,1.68699
20,0,1.5959
22,0,1.51047
24,0,1.43113
26,0,1.35826
28,0,1.29223
30,0,1.23334
32,0,1.18189
34,0,1.13812
36,0,1.10226
38,0,1.07447
40,0,1.05489
42,0,1.04362
44,0,1.04071
46,0,1.04617
48,0,1.05998
50,0,1.08208
52,0,1.11234
54,0,1.15063
56,0,1.19677
58,0,1.25051
60,0,1.31161
62,0,1.37977
64,0,1.45465
66,0,1.53588
68,0,1.62308
70,0,1.71582
72,0,1.81364
74,0,1.91608
76,0,2.02262
78,0,2.13275
80,0,2.24594
82,0,2.36164
84,0,2.47927
86,0,2.59827
88,0,2.71805
90,0,2.83804
92,0,2.95765
94,0,3.07629
96,0,3.19339
98,0,3.30838
100,0,3.42069
102,0,3.52979
104,0,3.63513
106,0,3.73621
108,0,3.83254
110,0,3.92363
112,0,4.00906
114,0,4.0884
116,0,4.16126
118,0,4.2273
120,0,4.28619
122,0,4.33764
124,0,4.38141
126,0,4.41727
128,0,4.44506
130,0,4.46464
132,0,4.47591
134,0,4.47882
136,0,4.47336
138,0,4.45955
140,0,4.43745
142,0,4.40719
144,0,4.36889
146,0,4.32276
148,0,4.26901
150,0,4.20791
152,0,4.13976
154,0,4.06488
156,0,3.98364
158,0,3.89644
160,0,3.80371
162,0,3.70588
164,0,3.60345
166,0,3.49691
168,0,3.38677
170,0,3.27358
172,0,3.15789
174,0,3.04026
176,0,2.92126
178,0,2.80148
180,0,2.68149
-180,2,2.6591
-178,2,2.53426
-176,2,2.4109
-174,2,2.28963
-172,2,2.17105
-170,2,2.05575
-168,2,1.9443
-166,2,1.83724
-164,2,1.73508
-162,2,1.6383
-160,2,1.54738
-158,2,1.46272
-156,2,1.38471
-154,2,1.31371
-152,2,1.25003
-150,2,1.19394
-148,2,1.14568
-146,2,1.10543
-144,2,1.07335
-142,2,1.04955
-140,2,1.0341
-138,2,1.02701
-136,2,1.02828
-134,2,1.03784
-132,2,1.0556
-130,2,1.08143
-128,2,1.11514
-126,2,1.15653
-124,2,1.20535
-122,2,1.26132
-120,2,1.32413
-118,2,1.39343
-116,2,1.46886
-114,2,1.55001
-112,2,1.63646
-110,2,1.72778
-108,2,1.8235
-106,2,1.92314
-104,2,2.0262
-102,2,2.13219
-100,2,2.24058
-98,2,2.35085
-96,2,2.46246
-94,2,2.5749
-92,2,2.68762
-90,2,2.80009
-88,2,2.91179
-86,2,3.02221
-84,2,3.13082
-82,2,3.23713
-80,2,3.34066
-78,2,3.44093
-76,2,3.53748
-74,2,3.62989
-72,2,3.71773
-70,2,3.80062
-68,2,3.87818
-66,2,3.95006
-64,2,4.01596
-62,2,4.07557
-60,2,4.12865
-58,2,4.17494
-56,2,4.21426
-54,2,4.24642
-52,2,4.2713
-50,2,4.28878
-48,2,4.29879
-46,2,4.30128
-44,2,4.29625
-42,2,4.28373
-40,2,4.26376
-38,2,4.23644
-36,2,4.20189
-34,2,4.16027
-32,2,4.11175
-30,2,4.05656
-28,2,3.99494
-26,2,3.92715
-24,2,3.85351
-22,2,3.77434
-20,2,3.68999
-18,2,3.60084
