Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,-4667.32
-178,0,-4334.81
-176,0,-3997.02
-174,0,-3654.37
-172,0,-3307.26
-170,0,-2956.12
-168,0,-2601.38
-166,0,-2243.46
-164,0,-1882.82
-162,0,-1519.88
-160,0,-1155.09
-158,0,-788.897
-156,0,-421.739
-154,0,-54.0674
-152,0,313.67
-150,0,681.026
-148,0,1047.55
-146,0,1412.8
-144,0,1776.33
-142,0,2137.69
-140,0,2496.45
-138,0,2852.17
-136,0,3204.41
-134,0,3552.75
-132,0,3896.76
-130,0,4236.03
-128,0,4570.13
-126,0,4898.66
-124,0,5221.23
-122,0,5537.43
-120,0,5846.89
-118,0,6149.22
-116,0,6444.07
-114,0,6731.06
-112,0,7009.85
-110,0,7280.1
-108,0,7541.48
-106,0,7793.67
-104,0,8036.37
-102,0,8269.28
-100,0,8492.11
-98,0,8704.59
-96,0,8906.47
-94,0,9097.5
-92,0,9277.44
-90,0,9446.09
-88,0,9603.22
-86,0,9748.65
-84,0,9882.21
-82,0,10003.7
-80,0,10113
-78,0,10210.1
-76,0,10294.6
-74,0,10366.6
-72,0,10426
-70,0,10472.7
-68,0,10506.7
-66,0,10527.8
-64,0,10536.1
-62,0,10531.6
-60,0,10514.2
-58,0,10484
-56,0,10441.1
-54,0,10385.4
-52,0,10317.1
-50,0,10236.2
-48,0,10142.9
-46,0,10037.1
-44,0,9919.19
-42,0,9789.16
-40,0,9647.2
-38,0,9493.49
-36,0,9328.21
-34,0,9151.57
-32,0,8963.77
-30,0,8765.06
-28,0,8555.67
-26,0,8335.85
-24,0,8105.88
-22,0,7866.03
-20,0,7616.6
-18,0,7357.89
-16,0,7090.21
-14,0,6813.89
-12,0,6529.28
-10,0,6236.71
-8,0,5936.54
-6,0,5629.14
-4,0,5314.88
-2,0,4994.14
0,0,4667.32
2,0,4334.81
4,0,3997.02
6,0,3654.37
8,0,3307.26
10,0,2956.12
12,0,2601.38
14,0,2243.46
