Phi[deg],Theta[deg],RealizedGainPhi
4,2,0.0145965
6,2,0.015432
8,2,0.0166439
10,2,0.0182257
12,2,0.020169
14,2,0.0224631
16,2,0.0250958
18,2,0.0280528
20,2,0.0313183
22,2,0.0348746
24,2,0.0387027
26,2,0.0427823
28,2,0.0470917
30,2,0.0516082
32,2,0.0563079
34,2,0.0611664
36,2,0.0661585
38,2,0.0712584
40,2,0.0764399
42,2,0.0816768
44,2,0.0869426
46,2,0.0922109
48,2,0.0974557
50,2,0.102651
52,2,0.107771
54,2,0.112792
56,2,0.11769
58,2,0.122441
60,2,0.127022
62,2,0.131414
64,2,0.135595
66,2,0.139547
68,2,0.143252
70,2,0.146695
72,2,0.14986
74,2,0.152733
76,2,0.155304
78,2,0.157562
80,2,0.159497
82,2,0.161104
84,2,0.162377
86,2,0.163311
88,2,0.163904
90,2,0.164156
92,2,0.164068
94,2,0.163641
96,2,0.162881
98,2,0.161791
100,2,0.16038
102,2,0.158655
104,2,0.156626
106,2,0.154305
108,2,0.151702
110,2,0.148832
112,2,0.145709
114,2,0.142348
116,2,0.138765
118,2,0.134979
120,2,0.131006
122,2,0.126866
124,2,0.122578
126,2,0.118162
128,2,0.113637
130,2,0.109026
132,2,0.104348
134,2,0.0996256
136,2,0.0948788
138,2,0.0901291
140,2,0.0853977
142,2,0.0807053
144,2,0.0760727
146,2,0.07152
148,2,0.0670672
150,2,0.0627334
152,2,0.0585376
154,2,0.0544977
156,2,0.050631
158,2,0.0469542
160,2,0.0434829
162,2,0.0402318
164,2,0.0372148
166,2,0.0344445
168,2,0.0319327
170,2,0.0296899
172,2,0.0277254
174,2,0.0260476
176,2,0.0246632
178,2,0.0235781
180,2,0.0227966
-180,4,0.0276726
-178,4,0.0270261
-176,4,0.0266035
-174,4,0.0264063
-172,4,0.0264354
-170,4,0.0266907
-168,4,0.0271716
-166,4,0.0278765
-164,4,0.0288031
-162,4,0.0299483
-160,4,0.031308
-158,4,0.0328774
-156,4,0.0346506
-154,4,0.0366212
-152,4,0.0387816
-150,4,0.0411234
-148,4,0.0436373
-146,4,0.0463132
-144,4,0.04914
-142,4,0.052106
-140,4,0.0551984
-138,4,0.058404
-136,4,0.0617086
-134,4,0.0650973
-132,4,0.0685549
-130,4,0.0720652
-128,4,0.0756119
-126,4,0.079178
-124,4,0.0827463
-122,4,0.0862992
-120,4,0.089819
-118,4,0.093288
-116,4,0.0966882
-114,4,0.100002
-112,4,0.103211
-110,4,0.106299
-108,4,0.109249
-106,4,0.112043
-104,4,0.114665
-102,4,0.1171
-100,4,0.119334
-98,4,0.121351
-96,4,0.12314
-94,4,0.124686
-92,4,0.12598
-90,4,0.12701
-88,4,0.127768
-86,4,0.128246
-84,4,0.128438
-82,4,0.128337
-80,4,0.127942
-78,4,0.127249
-76,4,0.126258
-74,4,0.124969
-72,4,0.123387
-70,4,0.121515
-68,4,0.119359
-66,4,0.116928
-64,4,0.114231
-62,4,0.111279
-60,4,0.108086
-58,4,0.104667
-56,4,0.101038
-54,4,0.097218
