Phi[deg],Theta[deg],RealizedGainTheta
-180,0,3.44096
-178,0,3.43587
-176,0,3.42612
-174,0,3.41174
-172,0,3.39282
-170,0,3.36944
-168,0,3.34171
-166,0,3.30978
-164,0,3.27379
-162,0,3.23392
-160,0,3.19037
-158,0,3.14335
-156,0,3.09309
-154,0,3.03983
-152,0,2.98383
-150,0,2.92536
-148,0,2.86472
-146,0,2.80219
-144,0,2.73808
-142,0,2.6727
-140,0,2.60637
-138,0,2.53942
-136,0,2.47216
-134,0,2.40494
-132,0,2.33806
-130,0,2.27187
-128,0,2.20668
-126,0,2.14282
-124,0,2.08058
-122,0,2.02028
-120,0,1.96221
-118,0,1.90665
-116,0,1.85388
-114,0,1.80414
-112,0,1.75769
-110,0,1.71474
-108,0,1.67551
-106,0,1.64019
-104,0,1.60895
-102,0,1.58195
-100,0,1.5593
-98,0,1.54114
-96,0,1.52753
-94,0,1.51856
-92,0,1.51426
-90,0,1.51465
-88,0,1.51974
-86,0,1.52949
-84,0,1.54387
-82,0,1.56279
-80,0,1.58617
-78,0,1.6139
-76,0,1.64583
-74,0,1.68182
-72,0,1.72169
-70,0,1.76523
-68,0,1.81226
-66,0,1.86252
-64,0,1.91578
-62,0,1.97178
-60,0,2.03024
-58,0,2.09089
-56,0,2.15342
-54,0,2.21753
-52,0,2.28291
-50,0,2.34924
-48,0,2.41619
-46,0,2.48344
-44,0,2.55067
-42,0,2.61754
-40,0,2.68373
-38,0,2.74892
-36,0,2.81279
-34,0,2.87502
-32,0,2.93532
-30,0,2.9934
-28,0,3.04895
-26,0,3.10173
-24,0,3.15147
-22,0,3.19792
-20,0,3.24087
-18,0,3.2801
-16,0,3.31542
-14,0,3.34666
-12,0,3.37366
-10,0,3.3963
-8,0,3.41447
-6,0,3.42807
-4,0,3.43705
-2,0,3.44135
0,0,3.44096
2,0,3.43587
4,0,3.42612
6,0,3.41174
8,0,3.39282
10,0,3.36944
12,0,3.34171
14,0,3.30978
16,0,3.27379
18,0,3.23392
20,0,3.19037
22,0,3.14335
24,0,3.09309
26,0,3.03983
28,0,2.98383
30,0,2.92536
32,0,2.86472
34,0,2.80219
36,0,2.73808
38,0,2.6727
40,0,2.60637
42,0,2.53942
44,0,2.47216
46,0,2.40494
48,0,2.33806
50,0,2.27187
52,0,2.20668
54,0,2.14282
56,0,2.08058
58,0,2.02028
60,0,1.96221
62,0,1.90665
64,0,1.85388
66,0,1.80414
68,0,1.75769
70,0,1.71474
72,0,1.67551
74,0,1.64019
76,0,1.60895
78,0,1.58195
80,0,1.5593
82,0,1.54114
84,0,1.52753
86,0,1.51856
88,0,1.51426
90,0,1.51465
92,0,1.51974
94,0,1.52949
96,0,1.54387
98,0,1.56279
100,0,1.58617
102,0,1.6139
104,0,1.64583
106,0,1.68182
108,0,1.72169
110,0,1.76523
112,0,1.81226
114,0,1.86252
116,0,1.91578
118,0,1.97178
120,0,2.03024
122,0,2.09089
124,0,2.15342
126,0,2.21753
128,0,2.28291
130,0,2.34924
132,0,2.41619
134,0,2.48344
136,0,2.55067
138,0,2.61754
140,0,2.68373
142,0,2.74892
144,0,2.81279
146,0,2.87502
148,0,2.93532
150,0,2.9934
152,0,3.04895
154,0,3.10173
156,0,3.15147
158,0,3.19792
160,0,3.24087
162,0,3.2801
164,0,3.31542
166,0,3.34666
168,0,3.37366
170,0,3.3963
172,0,3.41447
174,0,3.42807
176,0,3.43705
178,0,3.44135
180,0,3.44096
-180,2,3.40141
-178,2,3.39315
-176,2,3.38047
-174,2,3.36343
-172,2,3.34213
-170,2,3.31666
-168,2,3.28715
-166,2,3.25373
-164,2,3.21656
-162,2,3.17582
-160,2,3.1317
-158,2,3.08439
-156,2,3.03413
-154,2,2.98113
-152,2,2.92565
-150,2,2.86793
-148,2,2.80825
-146,2,2.74688
-144,2,2.68409
-142,2,2.62016
-140,2,2.55541
-138,2,2.4901
-136,2,2.42455
-134,2,2.35905
-132,2,2.29389
-130,2,2.22938
-128,2,2.16579
-126,2,2.10343
-124,2,2.04257
-122,2,1.98349
-120,2,1.92646
-118,2,1.87173
-116,2,1.81955
-114,2,1.77017
-112,2,1.7238
-110,2,1.68067
-108,2,1.64096
-106,2,1.60486
-104,2,1.57254
-102,2,1.54415
-100,2,1.51981
-98,2,1.49966
-96,2,1.48378
-94,2,1.47225
-92,2,1.46514
-90,2,1.46248
-88,2,1.46429
-86,2,1.47056
-84,2,1.48129
-82,2,1.49643
-80,2,1.51591
-78,2,1.53966
-76,2,1.56757
-74,2,1.59952
-72,2,1.63538
-70,2,1.67498
-68,2,1.71816
-66,2,1.7647
-64,2,1.81441
-62,2,1.86706
-60,2,1.92241
-58,2,1.98019
-56,2,2.04015
-54,2,2.102
-52,2,2.16545
-50,2,2.23021
-48,2,2.29595
-46,2,2.36238
-44,2,2.42916
-42,2,2.49598
-40,2,2.56251
-38,2,2.62843
-36,2,2.6934
-34,2,2.75711
-32,2,2.81924
-30,2,2.87949
-28,2,2.93753
-26,2,2.99309
-24,2,3.04587
-22,2,3.09561
-20,2,3.14204
-18,2,3.18493
-16,2,3.22406
-14,2,3.25921
-12,2,3.29019
-10,2,3.31685
-8,2,3.33903
-6,2,3.35661
-4,2,3.3695
-2,2,3.37762
0,2,3.38091
2,2,3.37936
4,2,3.37297
6,2,3.36175
8,2,3.34577
10,2,3.32509
12,2,3.29983
14,2,3.2701
16,2,3.23606
18,2,3.19789
20,2,3.15577
22,2,3.10994
24,2,3.06062
26,2,3.00807
28,2,2.95258
30,2,2.89442
32,2,2.83392
34,2,2.77138
36,2,2.70714
38,2,2.64153
40,2,2.5749
42,2,2.50761
44,2,2.44
46,2,2.37244
48,2,2.30528
50,2,2.23887
52,2,2.17357
54,2,2.10971
56,2,2.04762
58,2,1.98765
60,2,1.93009
62,2,1.87524
64,2,1.82338
66,2,1.7748
68,2,1.72972
70,2,1.68839
72,2,1.651
74,2,1.61776
76,2,1.58882
78,2,1.56432
80,2,1.54439
82,2,1.52912
84,2,1.51857
86,2,1.51279
88,2,1.51181
90,2,1.51562
92,2,1.52418
94,2,1.53745
96,2,1.55534
98,2,1.57775
100,2,1.60457
102,2,1.63565
104,2,1.67081
106,2,1.70988
108,2,1.75265
110,2,1.7989
112,2,1.84838
114,2,1.90085
116,2,1.95603
118,2,2.01365
120,2,2.07342
122,2,2.13503
124,2,2.19818
126,2,2.26255
128,2,2.32783
130,2,2.3937
132,2,2.45983
134,2,2.52589
136,2,2.59158
138,2,2.65657
140,2,2.72054
142,2,2.78319
144,2,2.84423
146,2,2.90336
148,2,2.96029
150,2,3.01478
152,2,3.06654
154,2,3.11535
156,2,3.16098
158,2,3.20322
160,2,3.24186
162,2,3.27674
164,2,3.3077
166,2,3.33459
168,2,3.35729
170,2,3.37571
172,2,3.38976
174,2,3.39938
176,2,3.40454
178,2,3.40522
180,2,3.40141
-180,4,3.26745
-178,4,3.25652
-176,4,3.24149
-174,4,3.22242
-172,4,3.1994
-170,4,3.17255
-168,4,3.14199
-166,4,3.10785
-164,4,3.07031
-162,4,3.02951
-160,4,2.98566
-158,4,2.93895
-156,4,2.88957
-154,4,2.83777
-152,4,2.78375
-150,4,2.72777
-148,4,2.67006
-146,4,2.61088
-144,4,2.55048
-142,4,2.48913
-140,4,2.42708
-138,4,2.36461
-136,4,2.30199
-134,4,2.23947
-132,4,2.17733
-130,4,2.11582
-128,4,2.05521
-126,4,1.99575
-124,4,1.93769
-122,4,1.88127
-120,4,1.82673
-118,4,1.7743
-116,4,1.72419
-114,4,1.67662
-112,4,1.63178
-110,4,1.58986
-108,4,1.55104
-106,4,1.51548
-104,4,1.48333
-102,4,1.45472
-100,4,1.4298
-98,4,1.40865
-96,4,1.39139
-94,4,1.37808
-92,4,1.3688
-90,4,1.3636
-88,4,1.3625
-86,4,1.36552
-84,4,1.37267
-82,4,1.38393
-80,4,1.39926
-78,4,1.41862
-76,4,1.44194
-74,4,1.46914
-72,4,1.5001
-70,4,1.53473
-68,4,1.57288
-66,4,1.6144
-64,4,1.65912
-62,4,1.70687
-60,4,1.75743
-58,4,1.8106
-56,4,1.86615
-54,4,1.92384
-52,4,1.98341
-50,4,2.04459
-48,4,2.10711
-46,4,2.17068
-44,4,2.235
-42,4,2.29976
-40,4,2.36466
-38,4,2.42937
-36,4,2.49358
-34,4,2.55697
-32,4,2.61922
-30,4,2.68
-28,4,2.739
-26,4,2.79591
-24,4,2.85042
-22,4,2.90224
-20,4,2.95109
-18,4,2.99668
-16,4,3.03877
-14,4,3.07711
-12,4,3.11147
-10,4,3.14166
-8,4,3.1675
-6,4,3.18881
-4,4,3.20547
-2,4,3.21737
0,4,3.22441
2,4,3.22655
4,4,3.22376
6,4,3.21602
8,4,3.20338
10,4,3.18589
12,4,3.16364
14,4,3.13673
16,4,3.10532
18,4,3.06957
20,4,3.02969
22,4,2.98589
24,4,2.93841
26,4,2.88754
28,4,2.83356
30,4,2.77678
32,4,2.71752
34,4,2.65613
36,4,2.59297
38,4,2.52839
40,4,2.46276
42,4,2.39648
44,4,2.32991
46,4,2.26344
48,4,2.19745
50,4,2.13232
52,4,2.06841
54,4,2.00609
56,4,1.9457
58,4,1.88759
60,4,1.83206
62,4,1.77944
64,4,1.72999
66,4,1.684
68,4,1.64169
70,4,1.6033
72,4,1.56901
74,4,1.53901
76,4,1.51343
78,4,1.4924
80,4,1.47602
82,4,1.46434
84,4,1.45742
86,4,1.45527
88,4,1.45788
90,4,1.46521
92,4,1.47721
94,4,1.49378
96,4,1.51482
98,4,1.5402
100,4,1.56977
102,4,1.60336
104,4,1.64076
106,4,1.68179
108,4,1.7262
110,4,1.77376
112,4,1.82421
114,4,1.87729
116,4,1.93272
118,4,1.99021
120,4,2.04947
122,4,2.1102
124,4,2.1721
126,4,2.23485
128,4,2.29814
130,4,2.36167
132,4,2.42513
134,4,2.48822
136,4,2.55062
138,4,2.61205
140,4,2.67221
142,4,2.73082
144,4,2.78762
146,4,2.84233
148,4,2.89471
150,4,2.94452
152,4,2.99153
154,4,3.03553
156,4,3.07633
158,4,3.11374
160,4,3.1476
162,4,3.17776
164,4,3.2041
166,4,3.2265
168,4,3.24486
170,4,3.25912
172,4,3.26921
174,4,3.2751
176,4,3.27676
178,4,3.27421
180,4,3.26745
-180,6,3.05167
-178,6,3.03872
-176,6,3.02201
-174,6,3.00159
-172,6,2.97758
-170,6,2.95008
-168,6,2.91922
-166,6,2.88512
-164,6,2.84796
-162,6,2.80788
-160,6,2.76508
-158,6,2.71973
-156,6,2.67204
-154,6,2.62222
-152,6,2.57048
-150,6,2.51705
-148,6,2.46215
-146,6,2.40602
-144,6,2.34889
-142,6,2.29102
-140,6,2.23263
-138,6,2.17397
-136,6,2.11528
-134,6,2.0568
-132,6,1.99875
-130,6,1.94138
-128,6,1.88491
-126,6,1.82955
-124,6,1.77552
-122,6,1.72302
-120,6,1.67226
-118,6,1.62343
-116,6,1.5767
-114,6,1.53224
-112,6,1.49023
-110,6,1.45082
-108,6,1.41414
-106,6,1.38034
-104,6,1.34954
-102,6,1.32185
-100,6,1.29739
-98,6,1.27623
-96,6,1.25848
-94,6,1.24419
-92,6,1.23344
-90,6,1.22628
-88,6,1.22274
-86,6,1.22285
-84,6,1.22664
-82,6,1.2341
-80,6,1.24524
-78,6,1.26002
-76,6,1.27842
-74,6,1.30039
-72,6,1.32587
-70,6,1.35478
-68,6,1.38704
-66,6,1.42254
-64,6,1.46116
-62,6,1.50277
-60,6,1.54722
-58,6,1.59434
-56,6,1.64396
-54,6,1.69588
-52,6,1.74988
-50,6,1.80576
-48,6,1.86326
-46,6,1.92215
-44,6,1.98215
-42,6,2.04299
-40,6,2.10439
-38,6,2.16605
-36,6,2.22767
-34,6,2.28895
-32,6,2.34956
-30,6,2.40919
-28,6,2.46753
-26,6,2.52424
-24,6,2.57902
-22,6,2.63156
-20,6,2.68154
-18,6,2.72867
-16,6,2.77266
-14,6,2.81324
-12,6,2.85015
-10,6,2.88316
-8,6,2.91203
-6,6,2.93658
-4,6,2.95663
-2,6,2.97202
0,6,2.98264
2,6,2.98839
4,6,2.98922
6,6,2.98508
8,6,2.97599
10,6,2.96197
12,6,2.94309
14,6,2.91945
16,6,2.89119
18,6,2.85846
20,6,2.82146
22,6,2.78041
24,6,2.73558
26,6,2.68723
28,6,2.63567
30,6,2.58123
32,6,2.52426
34,6,2.46511
36,6,2.40416
38,6,2.3418
40,6,2.27842
42,6,2.21444
44,6,2.15024
46,6,2.08624
48,6,2.02282
50,6,1.96039
52,6,1.89933
54,6,1.84
56,6,1.78277
58,6,1.72796
60,6,1.6759
62,6,1.62688
64,6,1.58119
66,6,1.53907
68,6,1.50075
70,6,1.46642
72,6,1.43627
74,6,1.41044
76,6,1.38905
78,6,1.37218
80,6,1.3599
82,6,1.35224
84,6,1.34922
86,6,1.35082
88,6,1.35699
90,6,1.36767
92,6,1.38276
94,6,1.40216
