Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,-4145.28
-178,0,-3695.01
-176,0,-3240.23
-174,0,-2781.51
-172,0,-2319.39
-170,0,-1854.46
-168,0,-1387.26
-166,0,-918.368
-164,0,-448.361
-162,0,22.1932
-160,0,492.72
-158,0,962.647
-156,0,1431.4
-154,0,1898.41
-152,0,2363.11
-150,0,2824.92
-148,0,3283.3
-146,0,3737.68
-144,0,4187.5
-142,0,4632.22
-140,0,5071.3
-138,0,5504.19
-136,0,5930.39
-134,0,6349.35
-132,0,6760.58
-130,0,7163.58
-128,0,7557.84
-126,0,7942.9
-124,0,8318.28
-122,0,8683.53
-120,0,9038.2
-118,0,9381.85
-116,0,9714.08
-114,0,10034.5
-112,0,10342.6
-110,0,10638.2
-108,0,10920.8
-106,0,11190.1
-104,0,11445.8
-102,0,11687.5
-100,0,11915
-98,0,12127.9
-96,0,12326.1
-94,0,12509.3
-92,0,12677.2
-90,0,12829.7
-88,0,12966.5
-86,0,13087.6
-84,0,13192.7
-82,0,13281.7
-80,0,13354.6
-78,0,13411.2
-76,0,13451.4
-74,0,13475.3
-72,0,13482.7
-70,0,13473.7
-68,0,13448.3
-66,0,13406.5
-64,0,13348.4
-62,0,13274
-60,0,13183.5
-58,0,13076.9
-56,0,12954.3
-54,0,12816
-52,0,12662
-50,0,12492.7
-48,0,12308.1
-46,0,12108.5
-44,0,11894.1
-42,0,11665.3
-40,0,11422.2
-38,0,11165.3
-36,0,10894.7
-34,0,10610.9
-32,0,10314.1
-30,0,10004.8
-28,0,9683.25
-26,0,9349.92
-24,0,9005.21
-22,0,8649.53
-20,0,8283.31
-18,0,7906.99
-16,0,7521.05
-14,0,7125.94
-12,0,6722.14
-10,0,6310.16
-8,0,5890.49
-6,0,5463.64
-4,0,5030.14
-2,0,4590.51
0,0,4145.28
2,0,3695.01
4,0,3240.23
6,0,2781.51
8,0,2319.39
10,0,1854.46
12,0,1387.26
14,0,918.368
16,0,448.361
18,0,-22.1932
20,0,-492.72
22,0,-962.647
24,0,-1431.4
26,0,-1898.41
28,0,-2363.11
30,0,-2824.92
32,0,-3283.3
34,0,-3737.68
36,0,-4187.5
38,0,-4632.22
40,0,-5071.3
42,0,-5504.19
44,0,-5930.39
46,0,-6349.35
48,0,-6760.58
50,0,-7163.58
52,0,-7557.84
54,0,-7942.9
56,0,-8318.28
58,0,-8683.53
60,0,-9038.2
62,0,-9381.85
64,0,-9714.08
66,0,-10034.5
68,0,-10342.6
70,0,-10638.2
72,0,-10920.8
74,0,-11190.1
76,0,-11445.8
78,0,-11687.5
80,0,-11915
82,0,-12127.9
84,0,-12326.1
86,0,-12509.3
88,0,-12677.2
90,0,-12829.7
92,0,-12966.5
94,0,-13087.6
96,0,-13192.7
98,0,-13281.7
100,0,-13354.6
102,0,-13411.2
104,0,-13451.4
106,0,-13475.3
108,0,-13482.7
110,0,-13473.7
112,0,-13448.3
114,0,-13406.5
116,0,-13348.4
118,0,-13274
120,0,-13183.5
122,0,-13076.9
124,0,-12954.3
126,0,-12816
128,0,-12662
130,0,-12492.7
132,0,-12308.1
134,0,-12108.5
136,0,-11894.1
138,0,-11665.3
140,0,-11422.2
142,0,-11165.3
144,0,-10894.7
146,0,-10610.9
148,0,-10314.1
150,0,-10004.8
152,0,-9683.25
154,0,-9349.92
156,0,-9005.21
158,0,-8649.53
160,0,-8283.31
162,0,-7906.99
164,0,-7521.05
166,0,-7125.94
168,0,-6722.14
170,0,-6310.16
172,0,-5890.49
174,0,-5463.64
176,0,-5030.14
178,0,-4590.51
180,0,-4145.28
-180,2,-4192.73
-178,2,-3752.96
-176,2,-3308.65
-174,2,-2860.3
-172,2,-2408.44
-170,2,-1953.59
-168,2,-1496.3
-166,2,-1037.1
-164,2,-576.527
-162,2,-115.13
-160,2,346.546
-158,2,807.952
-156,2,1268.54
-154,2,1727.76
-152,2,2185.05
-150,2,2639.89
-148,2,3091.71
-146,2,3539.97
-144,2,3984.13
-142,2,4423.66
-140,2,4858.01
-138,2,5286.67
-136,2,5709.1
-134,2,6124.8
-132,2,6533.25
-130,2,6933.95
-128,2,7326.42
-126,2,7710.15
-124,2,8084.69
-122,2,8449.56
-120,2,8804.31
-118,2,9148.5
-116,2,9481.7
-114,2,9803.5
-112,2,10113.5
-110,2,10411.2
-108,2,10696.4
-106,2,10968.7
-104,2,11227.6
-102,2,11473
-100,2,11704.4
-98,2,11921.5
-96,2,12124.2
-94,2,12312
-92,2,12484.8
-90,2,12642.4
-88,2,12784.4
-86,2,12910.8
-84,2,13021.4
-82,2,13115.9
-80,2,13194.3
-78,2,13256.5
-76,2,13302.3
-74,2,13331.6
-72,2,13344.5
-70,2,13340.8
-68,2,13320.6
-66,2,13283.9
-64,2,13230.6
-62,2,13160.9
-60,2,13074.8
-58,2,12972.3
-56,2,12853.7
-54,2,12718.9
-52,2,12568.3
-50,2,12401.8
-48,2,12219.8
-46,2,12022.5
-44,2,11809.9
-42,2,11582.6
-40,2,11340.5
-38,2,11084.2
-36,2,10813.9
-34,2,10529.9
-32,2,10232.5
-30,2,9922.15
-28,2,9599.22
-26,2,9264.1
-24,2,8917.21
-22,2,8558.99
-20,2,8189.87
-18,2,7810.33
-16,2,7420.85
-14,2,7021.92
-12,2,6614.04
-10,2,6197.75
-8,2,5773.57
-6,2,5342.04
-4,2,4903.72
-2,2,4459.17
0,2,4008.97
2,2,3553.69
4,2,3093.93
6,2,2630.27
8,2,2163.31
10,2,1693.66
12,2,1221.92
14,2,748.704
16,2,274.618
18,2,-199.726
20,2,-673.719
22,2,-1146.75
24,2,-1618.22
26,2,-2087.51
28,2,-2554.04
30,2,-3017.21
32,2,-3476.43
34,2,-3931.12
36,2,-4380.71
38,2,-4824.63
40,2,-5262.34
42,2,-5693.27
44,2,-6116.91
46,2,-6532.73
48,2,-6940.22
50,2,-7338.88
52,2,-7728.23
54,2,-8107.8
56,2,-8477.14
58,2,-8835.81
60,2,-9183.39
62,2,-9519.46
64,2,-9843.64
66,2,-10155.6
68,2,-10454.9
70,2,-10741.2
72,2,-11014.2
74,2,-11273.7
76,2,-11519.3
78,2,-11750.8
80,2,-11967.8
82,2,-12170.3
84,2,-12357.9
86,2,-12530.5
88,2,-12688
90,2,-12830
92,2,-12956.6
94,2,-13067.6
96,2,-13162.9
98,2,-13242.4
100,2,-13306
102,2,-13353.7
104,2,-13385.6
106,2,-13401.4
108,2,-13401.4
110,2,-13385.5
112,2,-13353.7
114,2,-13306.1
116,2,-13242.8
118,2,-13163.8
120,2,-13069.4
122,2,-12959.5
124,2,-12834.4
126,2,-12694.3
128,2,-12539.2
130,2,-12369.4
132,2,-12185.1
134,2,-11986.5
136,2,-11773.8
138,2,-11547.3
140,2,-11307.3
142,2,-11054.1
144,2,-10787.9
146,2,-10509
148,2,-10217.8
150,2,-9914.58
152,2,-9599.73
154,2,-9273.59
156,2,-8936.55
158,2,-8588.98
160,2,-8231.28
162,2,-7863.86
164,2,-7487.15
166,2,-7101.57
168,2,-6707.57
170,2,-6305.61
172,2,-5896.13
174,2,-5479.62
176,2,-5056.56
178,2,-4627.43
180,2,-4192.73
-180,4,-4151.27
-178,4,-3727.43
-176,4,-3298.95
-174,4,-2866.32
-172,4,-2430.04
-170,4,-1990.6
-168,4,-1548.51
-166,4,-1104.29
-164,4,-658.453
-162,4,-211.523
-160,4,235.968
-158,4,683.488
-156,4,1130.5
-154,4,1576.47
-152,4,2020.86
-150,4,2463.12
-148,4,2902.72
-146,4,3339.12
-144,4,3771.79
-142,4,4200.19
-140,4,4623.79
-138,4,5042.07
-136,4,5454.51
-134,4,5860.59
-132,4,6259.81
-130,4,6651.68
-128,4,7035.7
-126,4,7411.38
-124,4,7778.27
-122,4,8135.89
-120,4,8483.8
-118,4,8821.56
-116,4,9148.75
-114,4,9464.94
-112,4,9769.74
-110,4,10062.8
-108,4,10343.7
-106,4,10612
-104,4,10867.5
-102,4,11109.9
-100,4,11338.7
-98,4,11553.8
-96,4,11754.8
-94,4,11941.4
-92,4,12113.5
-90,4,12270.7
-88,4,12412.9
-86,4,12539.9
-84,4,12651.4
-82,4,12747.4
-80,4,12827.6
-78,4,12892
-76,4,12940.4
-74,4,12972.7
-72,4,12989
-70,4,12989
-68,4,12972.7
-66,4,12940.3
-64,4,12891.5
-62,4,12826.6
-60,4,12745.4
-58,4,12648
-56,4,12534.6
-54,4,12405.3
-52,4,12260
-50,4,12099.1
-48,4,11922.6
-46,4,11730.6
-44,4,11523.5
-42,4,11301.5
-40,4,11064.6
-38,4,10813.3
-36,4,10547.9
-34,4,10268.5
-32,4,9975.57
-30,4,9669.43
-28,4,9350.43
-26,4,9018.97
-24,4,8675.45
-22,4,8320.3
-20,4,7953.97
-18,4,7576.92
-16,4,7189.65
-14,4,6792.64
-12,4,6386.43
-10,4,5971.56
-8,4,5548.56
-6,4,5118.03
-4,4,4680.53
-2,4,4236.66
0,4,3787.03
2,4,3332.26
4,4,2872.98
6,4,2409.82
8,4,1943.43
10,4,1474.46
12,4,1003.55
14,4,531.371
16,4,58.5753
18,4,-414.178
20,4,-886.231
22,4,-1356.93
24,4,-1825.63
26,4,-2291.67
28,4,-2754.43
30,4,-3213.27
32,4,-3667.58
34,4,-4116.74
36,4,-4560.15
