Phi[deg],Theta[deg],RealizedGainTheta
-180,0,1.3389
-178,0,1.33446
-176,0,1.32715
-174,0,1.31699
-172,0,1.30404
-170,0,1.28837
-168,0,1.27005
-166,0,1.24916
-164,0,1.22581
-162,0,1.20012
-160,0,1.1722
-158,0,1.1422
-156,0,1.11026
-154,0,1.07653
-152,0,1.04119
-150,0,1.0044
-148,0,0.966336
-146,0,0.927194
-144,0,0.887159
-142,0,0.846428
-140,0,0.805198
-138,0,0.763671
-136,0,0.722048
-134,0,0.680533
-132,0,0.639328
-130,0,0.598633
-128,0,0.558647
-126,0,0.519564
-124,0,0.481576
-122,0,0.444866
-120,0,0.409615
-118,0,0.375993
-116,0,0.344164
-114,0,0.314284
-112,0,0.286498
-110,0,0.260942
-108,0,0.23774
-106,0,0.217004
-104,0,0.198837
-102,0,0.183326
-100,0,0.170547
-98,0,0.160563
-96,0,0.153422
-94,0,0.149158
-92,0,0.147793
-90,0,0.149334
-88,0,0.153772
-86,0,0.161086
-84,0,0.17124
-82,0,0.184186
-80,0,0.199859
-78,0,0.218184
-76,0,0.239072
-74,0,0.262419
-72,0,0.288114
-70,0,0.31603
-68,0,0.346032
-66,0,0.377973
-64,0,0.411698
-62,0,0.447043
-60,0,0.483834
-58,0,0.521894
-56,0,0.561037
-54,0,0.601071
-52,0,0.641803
-50,0,0.683032
-48,0,0.72456
-46,0,0.766183
-44,0,0.807698
-42,0,0.848903
-40,0,0.889598
-38,0,0.929584
-36,0,0.968667
-34,0,1.00666
-32,0,1.04336
-30,0,1.07862
-28,0,1.11224
-26,0,1.14407
-24,0,1.17395
-22,0,1.20173
-20,0,1.22729
-18,0,1.25049
-16,0,1.27123
-14,0,1.28939
-12,0,1.3049
-10,0,1.31768
-8,0,1.32767
-6,0,1.33481
-4,0,1.33907
-2,0,1.34044
0,0,1.3389
2,0,1.33446
4,0,1.32715
6,0,1.31699
8,0,1.30404
10,0,1.28837
12,0,1.27005
14,0,1.24916
16,0,1.22581
18,0,1.20012
20,0,1.1722
22,0,1.1422
24,0,1.11026
26,0,1.07653
28,0,1.04119
30,0,1.0044
32,0,0.966336
34,0,0.927194
36,0,0.887159
38,0,0.846428
40,0,0.805198
42,0,0.763671
44,0,0.722048
46,0,0.680533
48,0,0.639328
50,0,0.598633
52,0,0.558647
54,0,0.519564
56,0,0.481576
58,0,0.444866
60,0,0.409615
62,0,0.375993
64,0,0.344164
66,0,0.314284
68,0,0.286498
70,0,0.260942
72,0,0.23774
74,0,0.217004
76,0,0.198837
78,0,0.183326
80,0,0.170547
82,0,0.160563
84,0,0.153422
86,0,0.149158
88,0,0.147793
90,0,0.149334
92,0,0.153772
94,0,0.161086
96,0,0.17124
98,0,0.184186
100,0,0.199859
102,0,0.218184
104,0,0.239072
106,0,0.262419
108,0,0.288114
110,0,0.31603
112,0,0.346032
114,0,0.377973
116,0,0.411698
118,0,0.447043
120,0,0.483834
122,0,0.521894
124,0,0.561037
126,0,0.601071
128,0,0.641803
130,0,0.683032
132,0,0.72456
134,0,0.766183
136,0,0.807698
138,0,0.848903
140,0,0.889598
142,0,0.929584
144,0,0.968667
146,0,1.00666
148,0,1.04336
150,0,1.07862
152,0,1.11224
154,0,1.14407
156,0,1.17395
158,0,1.20173
160,0,1.22729
162,0,1.25049
164,0,1.27123
166,0,1.28939
168,0,1.3049
170,0,1.31768
172,0,1.32767
174,0,1.33481
176,0,1.33907
178,0,1.34044
180,0,1.3389
-180,2,1.33158
-178,2,1.32763
-176,2,1.32079
-174,2,1.31111
-172,2,1.29861
-170,2,1.28337
-168,2,1.26546
-166,2,1.24496
-164,2,1.22198
-162,2,1.19662
-160,2,1.16901
-158,2,1.13929
-156,2,1.1076
-154,2,1.07409
-152,2,1.03894
-150,2,1.00231
-148,2,0.964398
-146,2,0.925376
-144,2,0.885443
-142,2,0.844797
-140,2,0.803639
-138,2,0.762174
-136,2,0.720608
-134,2,0.679146
-132,2,0.637996
-130,2,0.59736
-128,2,0.557441
-126,2,0.518436
-124,2,0.480539
-122,2,0.443938
-120,2,0.408814
-118,2,0.375339
-116,2,0.343679
-114,2,0.313991
-112,2,0.28642
-110,2,0.261102
-108,2,0.238159
-106,2,0.217706
-104,2,0.19984
-102,2,0.184649
-100,2,0.172206
-98,2,0.16257
-96,2,0.155787
-94,2,0.151889
-92,2,0.150893
-90,2,0.152802
-88,2,0.157604
-86,2,0.165275
-84,2,0.175775
-82,2,0.189051
-80,2,0.205036
-78,2,0.22365
-76,2,0.244802
-74,2,0.268386
-72,2,0.294287
-70,2,0.322377
-68,2,0.352518
-66,2,0.384564
-64,2,0.418356
-62,2,0.453732
-60,2,0.490518
-58,2,0.528536
-56,2,0.567601
-54,2,0.607523
-52,2,0.648109
-50,2,0.689163
-48,2,0.730485
-46,2,0.771876
-44,2,0.813136
-42,2,0.854065
-40,2,0.894465
-38,2,0.934141
-36,2,0.972901
-34,2,1.01056
-32,2,1.04693
-30,2,1.08184
-28,2,1.11512
-26,2,1.1466
-24,2,1.17615
-22,2,1.2036
-20,2,1.22883
-18,2,1.25172
-16,2,1.27216
-14,2,1.29003
-12,2,1.30526
-10,2,1.31778
-8,2,1.32751
-6,2,1.33442
-4,2,1.33846
-2,2,1.33962
0,2,1.33788
2,2,1.33327
4,2,1.32579
6,2,1.31548
8,2,1.30239
10,2,1.28658
12,2,1.26814
14,2,1.24714
16,2,1.22369
18,2,1.1979
20,2,1.16989
22,2,1.13981
24,2,1.1078
26,2,1.07401
28,2,1.0386
30,2,1.00175
32,2,0.963645
34,2,0.924459
36,2,0.884387
38,2,0.843623
40,2,0.802366
42,2,0.760816
44,2,0.719176
46,2,0.677648
48,2,0.636434
50,2,0.595734
52,2,0.555746
54,2,0.516665
56,2,0.478679
58,2,0.441973
60,2,0.406724
62,2,0.373104
64,2,0.341274
66,2,0.311389
68,2,0.283592
70,2,0.258016
72,2,0.234786
74,2,0.214011
76,2,0.195792
78,2,0.180215
80,2,0.167354
82,2,0.157269
84,2,0.150007
86,2,0.145603
88,2,0.144076
90,2,0.145431
92,2,0.149661
94,2,0.156742
96,2,0.166641
98,2,0.179307
100,2,0.194678
102,2,0.212679
104,2,0.233222
