Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,0,-830.769
-178,0,-754.361
-176,0,-677.035
-174,0,-598.884
-172,0,-520.003
-170,0,-440.488
-168,0,-360.437
-166,0,-279.947
-164,0,-199.116
-162,0,-118.042
-160,0,-36.8241
-158,0,44.4385
-156,0,125.647
-154,0,206.702
-152,0,287.506
-150,0,367.959
-148,0,447.964
-146,0,527.423
-144,0,606.24
-142,0,684.318
-140,0,761.562
-138,0,837.879
-136,0,913.174
-134,0,987.357
-132,0,1060.34
-130,0,1132.03
-128,0,1202.33
-126,0,1271.18
-124,0,1338.47
-122,0,1404.14
-120,0,1468.09
-118,0,1530.26
-116,0,1590.56
-114,0,1648.92
-112,0,1705.28
-110,0,1759.55
-108,0,1811.69
-106,0,1861.61
-104,0,1909.27
-102,0,1954.6
-100,0,1997.55
-98,0,2038.07
-96,0,2076.1
-94,0,2111.6
-92,0,2144.53
-90,0,2174.85
-88,0,2202.52
-86,0,2227.51
-84,0,2249.78
-82,0,2269.31
-80,0,2286.07
-78,0,2300.05
-76,0,2311.23
-74,0,2319.59
-72,0,2325.13
-70,0,2327.83
-68,0,2327.7
-66,0,2324.73
-64,0,2318.93
-62,0,2310.3
-60,0,2298.86
-58,0,2284.62
-56,0,2267.59
-54,0,2247.81
-52,0,2225.28
-50,0,2200.04
-48,0,2172.12
-46,0,2141.56
-44,0,2108.38
-42,0,2072.64
-40,0,2034.37
-38,0,1993.63
-36,0,1950.45
-34,0,1904.9
-32,0,1857.03
-30,0,1806.89
-28,0,1754.56
-26,0,1700.08
-24,0,1643.54
-22,0,1584.99
-20,0,1524.51
-18,0,1462.17
-16,0,1398.06
-14,0,1332.24
-12,0,1264.79
-10,0,1195.81
-8,0,1125.36
-6,0,1053.55
-4,0,980.455
-2,0,906.164
0,0,830.769
2,0,754.361
4,0,677.035
6,0,598.884
8,0,520.003
10,0,440.488
12,0,360.437
14,0,279.947
16,0,199.116
18,0,118.042
20,0,36.8241
22,0,-44.4385
24,0,-125.647
26,0,-206.702
28,0,-287.506
30,0,-367.959
32,0,-447.964
34,0,-527.423
36,0,-606.24
38,0,-684.318
40,0,-761.562
42,0,-837.879
