Phi[deg],Theta[deg],im(rEPhi)[mV]
44,0,-913.174
46,0,-987.357
48,0,-1060.34
50,0,-1132.03
52,0,-1202.33
54,0,-1271.18
56,0,-1338.47
58,0,-1404.14
60,0,-1468.09
62,0,-1530.26
64,0,-1590.56
66,0,-1648.92
68,0,-1705.28
70,0,-1759.55
72,0,-1811.69
74,0,-1861.61
76,0,-1909.27
78,0,-1954.6
80,0,-1997.55
82,0,-2038.07
84,0,-2076.1
86,0,-2111.6
88,0,-2144.53
90,0,-2174.85
92,0,-2202.52
94,0,-2227.51
96,0,-2249.78
98,0,-2269.31
100,0,-2286.07
102,0,-2300.05
104,0,-2311.23
106,0,-2319.59
108,0,-2325.13
110,0,-2327.83
112,0,-2327.7
114,0,-2324.73
116,0,-2318.93
118,0,-2310.3
120,0,-2298.86
122,0,-2284.62
124,0,-2267.59
126,0,-2247.81
128,0,-2225.28
130,0,-2200.04
132,0,-2172.12
134,0,-2141.56
136,0,-2108.38
138,0,-2072.64
140,0,-2034.37
142,0,-1993.63
144,0,-1950.45
146,0,-1904.9
148,0,-1857.03
150,0,-1806.89
152,0,-1754.56
154,0,-1700.08
156,0,-1643.54
158,0,-1584.99
160,0,-1524.51
162,0,-1462.17
164,0,-1398.06
166,0,-1332.24
168,0,-1264.79
170,0,-1195.81
172,0,-1125.36
174,0,-1053.55
176,0,-980.455
178,0,-906.164
180,0,-830.769
-180,2,-959.651
-178,2,-885.648
-176,2,-810.317
-174,2,-733.749
-172,2,-656.039
-170,2,-577.287
-168,2,-497.594
-166,2,-417.065
-164,2,-335.807
-162,2,-253.93
-160,2,-171.545
-158,2,-88.7676
-156,2,-5.71212
-154,2,77.5041
-152,2,160.763
-150,2,243.945
-148,2,326.931
-146,2,409.601
-144,2,491.834
-142,2,573.512
-140,2,654.515
-138,2,734.724
-136,2,814.022
-134,2,892.292
-132,2,969.421
-130,2,1045.3
-128,2,1119.8
-126,2,1192.84
-124,2,1264.29
-122,2,1334.06
-120,2,1402.05
-118,2,1468.15
-116,2,1532.28
-114,2,1594.34
-112,2,1654.24
-110,2,1711.91
-108,2,1767.25
-106,2,1820.19
-104,2,1870.66
-102,2,1918.59
-100,2,1963.92
-98,2,2006.57
-96,2,2046.51
-94,2,2083.66
-92,2,2117.99
-90,2,2149.45
-88,2,2177.99
-86,2,2203.59
-84,2,2226.21
-82,2,2245.82
-80,2,2262.4
-78,2,2275.93
-76,2,2286.39
-74,2,2293.77
-72,2,2298.08
-70,2,2299.29
-68,2,2297.43
-66,2,2292.48
-64,2,2284.47
-62,2,2273.4
-60,2,2259.3
-58,2,2242.18
-56,2,2222.08
-54,2,2199.03
-52,2,2173.05
-50,2,2144.19
-48,2,2112.5
-46,2,2078.02
-44,2,2040.79
-42,2,2000.88
-40,2,1958.34
-38,2,1913.24
-36,2,1865.64
-34,2,1815.61
-32,2,1763.22
-30,2,1708.55
-28,2,1651.69
-26,2,1592.71
-24,2,1531.69
-22,2,1468.74
-20,2,1403.93
-18,2,1337.37
-16,2,1269.15
-14,2,1199.37
-12,2,1128.13
-10,2,1055.54
-8,2,981.695
-6,2,906.707
-4,2,830.682
-2,2,753.728
0,2,675.956
2,2,597.474
4,2,518.393
6,2,438.823
8,2,358.874
10,2,278.656
12,2,198.277
14,2,117.846
16,2,37.469
18,2,-42.7484
20,2,-122.702
22,2,-202.291
24,2,-281.413
26,2,-359.973
28,2,-437.873
30,2,-515.022
32,2,-591.329
34,2,-666.707
36,2,-741.07
38,2,-814.339
40,2,-886.435
42,2,-957.282
44,2,-1026.81
46,2,-1094.95
48,2,-1161.63
50,2,-1226.8
52,2,-1290.39
54,2,-1352.36
56,2,-1412.64
58,2,-1471.19
60,2,-1527.97
62,2,-1582.92
64,2,-1636.01
66,2,-1687.21
68,2,-1736.47
70,2,-1783.77
72,2,-1829.06
74,2,-1872.34
76,2,-1913.56
78,2,-1952.71
80,2,-1989.76
82,2,-2024.7
84,2,-2057.49
86,2,-2088.13
88,2,-2116.6
90,2,-2142.87
92,2,-2166.95
94,2,-2188.8
96,2,-2208.41
98,2,-2225.79
100,2,-2240.9
102,2,-2253.74
104,2,-2264.3
106,2,-2272.56
108,2,-2278.52
110,2,-2282.16
112,2,-2283.47
114,2,-2282.46
116,2,-2279.09
118,2,-2273.37
120,2,-2265.3
122,2,-2254.86
124,2,-2242.04
126,2,-2226.85
128,2,-2209.27
130,2,-2189.32
132,2,-2166.98
134,2,-2142.26
136,2,-2115.16
138,2,-2085.69
140,2,-2053.86
142,2,-2019.67
144,2,-1983.14
146,2,-1944.28
148,2,-1903.12
150,2,-1859.67
152,2,-1813.95
154,2,-1766.01
156,2,-1715.87
158,2,-1663.56
160,2,-1609.13
162,2,-1552.61
164,2,-1494.07
166,2,-1433.55
168,2,-1371.1
170,2,-1306.78
172,2,-1240.67
174,2,-1172.83
176,2,-1103.32
178,2,-1032.24
180,2,-959.651
-180,4,-1059.6
-178,4,-988.497
-176,4,-915.574
-174,4,-840.936
-172,4,-764.693
-170,4,-686.961
-168,4,-607.863
-166,4,-527.526
-164,4,-446.086
-162,4,-363.679
-160,4,-280.448
-158,4,-196.54
-156,4,-112.102
-154,4,-27.2846
-152,4,57.7587
-150,4,142.875
-148,4,227.91
-146,4,312.712
-144,4,397.126
-142,4,481.003
-140,4,564.192
-138,4,646.546
-136,4,727.923
-134,4,808.181
-132,4,887.183
-130,4,964.796
-128,4,1040.89
-126,4,1115.35
-124,4,1188.05
-122,4,1258.87
-120,4,1327.72
-118,4,1394.48
-116,4,1459.07
-114,4,1521.38
-112,4,1581.33
-110,4,1638.85
-108,4,1693.86
-106,4,1746.28
-104,4,1796.06
-102,4,1843.13
-100,4,1887.45
-98,4,1928.96
-96,4,1967.61
-94,4,2003.38
-92,4,2036.22
-90,4,2066.1
-88,4,2092.99
-86,4,2116.88
-84,4,2137.74
-82,4,2155.55
-80,4,2170.31
-78,4,2182
-76,4,2190.61
-74,4,2196.14
-72,4,2198.59
-70,4,2197.97
-68,4,2194.27
-66,4,2187.5
-64,4,2177.67
-62,4,2164.81
-60,4,2148.91
-58,4,2130
-56,4,2108.11
-54,4,2083.26
-52,4,2055.47
-50,4,2024.78
-48,4,1991.23
-46,4,1954.85
-44,4,1915.69
-42,4,1873.79
-40,4,1829.21
-38,4,1782.01
-36,4,1732.25
-34,4,1679.99
-32,4,1625.31
-30,4,1568.28
-28,4,1508.98
-26,4,1447.5
-24,4,1383.94
-22,4,1318.38
-20,4,1250.93
-18,4,1181.7
-16,4,1110.79
-14,4,1038.33
-12,4,964.428
-10,4,889.215
-8,4,812.816
-6,4,735.362
-4,4,656.985
-2,4,577.823
0,4,498.012
2,4,417.693
4,4,337.005
6,4,256.088
8,4,175.084
10,4,94.1318
12,4,13.3694
14,4,-67.0665
16,4,-147.042
18,4,-226.426
20,4,-305.092
22,4,-382.916
24,4,-459.78
26,4,-535.57
28,4,-610.178
30,4,-683.502
32,4,-755.447
34,4,-825.922
36,4,-894.847
38,4,-962.144
40,4,-1027.75
42,4,-1091.59
44,4,-1153.63
46,4,-1213.81
48,4,-1272.1
50,4,-1328.47
52,4,-1382.88
54,4,-1435.32
56,4,-1485.79
58,4,-1534.27
60,4,-1580.77
62,4,-1625.29
64,4,-1667.84
66,4,-1708.44
68,4,-1747.11
70,4,-1783.87
72,4,-1818.75
74,4,-1851.77
76,4,-1882.97
78,4,-1912.38
80,4,-1940.02
82,4,-1965.94
84,4,-1990.16
86,4,-2012.71
88,4,-2033.62
90,4,-2052.92
92,4,-2070.63
94,4,-2086.77
96,4,-2101.36
98,4,-2114.42
100,4,-2125.95
102,4,-2135.96
104,4,-2144.45
106,4,-2151.42
108,4,-2156.86
110,4,-2160.76
112,4,-2163.1
114,4,-2163.85
116,4,-2163
118,4,-2160.51
120,4,-2156.35
122,4,-2150.47
124,4,-2142.85
126,4,-2133.42
128,4,-2122.16
130,4,-2109.01
132,4,-2093.92
134,4,-2076.84
136,4,-2057.72
138,4,-2036.51
140,4,-2013.17
142,4,-1987.65
144,4,-1959.9
146,4,-1929.88
148,4,-1897.56
150,4,-1862.9
152,4,-1825.88
154,4,-1786.47
156,4,-1744.66
158,4,-1700.44
160,4,-1653.8
162,4,-1604.75
164,4,-1553.3
166,4,-1499.48
168,4,-1443.3
170,4,-1384.82
172,4,-1324.07
174,4,-1261.1
176,4,-1195.99
178,4,-1128.8
180,4,-1059.6
-180,6,-1127.51
-178,6,-1060.01
-176,6,-990.152
-174,6,-918.052
-172,6,-843.847
-170,6,-767.688
-168,6,-689.732
-166,6,-610.147
-164,6,-529.108
-162,6,-446.797
-160,6,-363.401
-158,6,-279.114
-156,6,-194.13
-154,6,-108.648
-152,6,-22.8649
-150,6,63.0195
-148,6,148.808
-146,6,234.307
-144,6,319.323
-142,6,403.67
-140,6,487.165
-138,6,569.632
-136,6,650.901
-134,6,730.81
-132,6,809.203
-130,6,885.934
-128,6,960.865
-126,6,1033.87
-124,6,1104.82
-122,6,1173.61
-120,6,1240.14
-118,6,1304.32
-116,6,1366.06
-114,6,1425.28
-112,6,1481.93
-110,6,1535.94
-108,6,1587.26
-106,6,1635.85
-104,6,1681.67
-102,6,1724.7
-100,6,1764.91
-98,6,1802.27
-96,6,1836.79
-94,6,1868.45
-92,6,1897.23
-90,6,1923.15
-88,6,1946.2
-86,6,1966.38
-84,6,1983.7
-82,6,1998.16
-80,6,2009.76
-78,6,2018.52
-76,6,2024.43
-74,6,2027.51
-72,6,2027.75
-70,6,2025.17
-68,6,2019.77
-66,6,2011.55
-64,6,2000.51
-62,6,1986.66
-60,6,1970
-58,6,1950.54
-56,6,1928.27
-54,6,1903.2
-52,6,1875.34
-50,6,1844.69
-48,6,1811.27
-46,6,1775.08
-44,6,1736.15
-42,6,1694.5
-40,6,1650.15
-38,6,1603.13
-36,6,1553.48
-34,6,1501.24
-32,6,1446.47
-30,6,1389.23
-28,6,1329.57
-26,6,1267.58
-24,6,1203.33
-22,6,1136.93
-20,6,1068.48
-18,6,998.075
-16,6,925.848
-14,6,851.925
-12,6,776.443
-10,6,699.547
-8,6,621.391
-6,6,542.134
-4,6,461.945
-2,6,380.994
0,6,299.46
2,6,217.524
4,6,135.37
6,6,53.1835
8,6,-28.8478
10,6,-110.537
12,6,-191.7
14,6,-272.153
16,6,-351.718
18,6,-430.22
20,6,-507.491
22,6,-583.37
24,6,-657.703
26,6,-730.347
28,6,-801.165
30,6,-870.035
32,6,-936.843
34,6,-1001.49
36,6,-1063.88
38,6,-1123.95
40,6,-1181.63
42,6,-1236.87
44,6,-1289.64
46,6,-1339.9
48,6,-1387.66
50,6,-1432.92
52,6,-1475.68
54,6,-1515.99
56,6,-1553.87
58,6,-1589.39
60,6,-1622.59
62,6,-1653.54
64,6,-1682.33
66,6,-1709.04
68,6,-1733.76
70,6,-1756.59
72,6,-1777.62
74,6,-1796.96
76,6,-1814.71
78,6,-1830.99
80,6,-1845.89
82,6,-1859.52
84,6,-1871.98
86,6,-1883.36
88,6,-1893.77
90,6,-1903.28
92,6,-1911.97
94,6,-1919.92
96,6,-1927.19
98,6,-1933.83
100,6,-1939.89
102,6,-1945.39
104,6,-1950.36
106,6,-1954.82
108,6,-1958.75
110,6,-1962.16
112,6,-1965.01
114,6,-1967.26
116,6,-1968.88
118,6,-1969.8
120,6,-1969.96
122,6,-1969.28
124,6,-1967.67
126,6,-1965.04
128,6,-1961.28
130,6,-1956.29
132,6,-1949.95
134,6,-1942.15
136,6,-1932.76
138,6,-1921.66
140,6,-1908.74
142,6,-1893.86
144,6,-1876.91
146,6,-1857.78
148,6,-1836.34
150,6,-1812.51
152,6,-1786.18
154,6,-1757.27
156,6,-1725.69
158,6,-1691.38
160,6,-1654.29
162,6,-1614.37
164,6,-1571.58
166,6,-1525.92
168,6,-1477.39
170,6,-1425.99
172,6,-1371.75
174,6,-1314.72
176,6,-1254.95
178,6,-1192.52
180,6,-1127.51
-180,8,-1160.21
-178,8,-1097.3
-176,8,-1031.46
-174,8,-962.819
-172,8,-891.574
-170,8,-817.915
-168,8,-742.048
-166,8,-664.194
-164,8,-584.582
-162,8,-503.453
-160,8,-421.051
-158,8,-337.626
-156,8,-253.432
-154,8,-168.722
-152,8,-83.7483
-150,8,1.2377
-148,8,85.9908
-146,8,170.271
-144,8,253.846
-142,8,336.493
-140,8,417.996
-138,8,498.155
-136,8,576.777
-134,8,653.684
-132,8,728.711
-130,8,801.708
-128,8,872.535
-126,8,941.07
-124,8,1007.2
-122,8,1070.84
-120,8,1131.9
-118,8,1190.31
-116,8,1246.02
-114,8,1298.98
-112,8,1349.17
-110,8,1396.55
-108,8,1441.13
-106,8,1482.91
-104,8,1521.87
-102,8,1558.05
-100,8,1591.47
-98,8,1622.14
-96,8,1650.1
-94,8,1675.38
-92,8,1698.02
-90,8,1718.05
-88,8,1735.51
-86,8,1750.44
-84,8,1762.87
-82,8,1772.84
-80,8,1780.37
-78,8,1785.49
-76,8,1788.21
-74,8,1788.57
-72,8,1786.57
-70,8,1782.21
-68,8,1775.49
-66,8,1766.42
-64,8,1754.97
-62,8,1741.14
-60,8,1724.91
-58,8,1706.25
-56,8,1685.13
-54,8,1661.53
-52,8,1635.41
-50,8,1606.73
-48,8,1575.47
-46,8,1541.6
-44,8,1505.07
-42,8,1465.88
-40,8,1424
-38,8,1379.41
-36,8,1332.11
-34,8,1282.11
-32,8,1229.41
-30,8,1174.04
-28,8,1116.04
-26,8,1055.45
-24,8,992.348
-22,8,926.805
-20,8,858.916
-18,8,788.791
-16,8,716.554
-14,8,642.346
-12,8,566.322
-10,8,488.651
-8,8,409.518
-6,8,329.12
-4,8,247.665
-2,8,165.374
0,8,82.4749
2,8,-0.794677
4,8,-84.1918
6,8,-167.469
8,8,-250.376
10,8,-332.663
12,8,-414.08
14,8,-494.38
16,8,-573.324
18,8,-650.677
20,8,-726.214
22,8,-799.721
24,8,-870.998
26,8,-939.855
28,8,-1006.12
30,8,-1069.64
32,8,-1130.28
34,8,-1187.91
36,8,-1242.44
38,8,-1293.79
40,8,-1341.91
42,8,-1386.75
44,8,-1428.29
46,8,-1466.55
48,8,-1501.54
50,8,-1533.31
52,8,-1561.93
54,8,-1587.48
56,8,-1610.05
58,8,-1629.77
60,8,-1646.75
62,8,-1661.16
64,8,-1673.14
66,8,-1682.86
68,8,-1690.5
70,8,-1696.24
72,8,-1700.28
74,8,-1702.79
76,8,-1703.99
78,8,-1704.06
80,8,-1703.19
82,8,-1701.59
84,8,-1699.43
86,8,-1696.88
88,8,-1694.12
90,8,-1691.32
92,8,-1688.6
94,8,-1686.11
96,8,-1683.97
98,8,-1682.28
100,8,-1681.13
102,8,-1680.58
104,8,-1680.69
106,8,-1681.48
108,8,-1682.96
110,8,-1685.14
112,8,-1687.97
114,8,-1691.41
116,8,-1695.39
118,8,-1699.83
120,8,-1704.61
122,8,-1709.62
124,8,-1714.7
126,8,-1719.72
128,8,-1724.5
130,8,-1728.86
132,8,-1732.6
134,8,-1735.53
136,8,-1737.44
138,8,-1738.12
140,8,-1737.36
142,8,-1734.94
144,8,-1730.66
146,8,-1724.3
148,8,-1715.67
150,8,-1704.58
152,8,-1690.84
154,8,-1674.29
156,8,-1654.78
158,8,-1632.17
160,8,-1606.35
162,8,-1577.21
164,8,-1544.67
166,8,-1508.69
168,8,-1469.22
170,8,-1426.26
172,8,-1379.81
174,8,-1329.91
176,8,-1276.62
178,8,-1220.02
180,8,-1160.21
-180,10,-1154.61
-178,10,-1097.57
-176,10,-1036.99
-174,10,-973.109
-172,10,-906.14
-170,10,-836.336
-168,10,-763.967
-166,10,-689.315
-164,10,-612.678
-162,10,-534.36
-160,10,-454.673
-158,10,-373.933
-156,10,-292.456
-154,10,-210.557
-152,10,-128.545
-150,10,-46.7235
-148,10,34.6136
-146,10,115.184
-144,10,194.718
-142,10,272.961
-140,10,349.675
-138,10,424.64
-136,10,497.653
-134,10,568.531
-132,10,637.11
-130,10,703.247
-128,10,766.818
-126,10,827.719
-124,10,885.865
-122,10,941.192
-120,10,993.651
-118,10,1043.21
-116,10,1089.86
-114,10,1133.6
-112,10,1174.45
-110,10,1212.44
-108,10,1247.6
-106,10,1279.98
-104,10,1309.66
-102,10,1336.69
-100,10,1361.14
-98,10,1383.1
-96,10,1402.65
-94,10,1419.86
-92,10,1434.82
-90,10,1447.62
-88,10,1458.32
-86,10,1467.01
-84,10,1473.74
-82,10,1478.59
-80,10,1481.61
-78,10,1482.85
-76,10,1482.33
-74,10,1480.1
-72,10,1476.16
-70,10,1470.52
-68,10,1463.17
-66,10,1454.1
-64,10,1443.27
-62,10,1430.65
-60,10,1416.19
-58,10,1399.81
-56,10,1381.47
-54,10,1361.06
-52,10,1338.53
-50,10,1313.76
-48,10,1286.69
-46,10,1257.2
-44,10,1225.22
-42,10,1190.65
-40,10,1153.41
-38,10,1113.42
-36,10,1070.63
-34,10,1024.96
-32,10,976.396
-30,10,924.898
-28,10,870.464
-26,10,813.108
-24,10,752.864
-22,10,689.788
-20,10,623.96
-18,10,555.484
-16,10,484.488
-14,10,411.124
-12,10,335.568
-10,10,258.019
-8,10,178.698
-6,10,97.8492
-4,10,15.7331
-2,10,-67.3708
0,10,-151.168
2,10,-235.351
4,10,-319.603
6,10,-403.599
8,10,-487.008
10,10,-569.5
12,10,-650.745
14,10,-730.418
16,10,-808.202
18,10,-883.788
20,10,-956.883
22,10,-1027.21
24,10,-1094.51
26,10,-1158.54
28,10,-1219.09
30,10,-1275.96
32,10,-1328.99
34,10,-1378.05
36,10,-1423.02
38,10,-1463.83
40,10,-1500.42
42,10,-1532.78
44,10,-1560.91
46,10,-1584.86
48,10,-1604.69
50,10,-1620.49
52,10,-1632.39
54,10,-1640.54
56,10,-1645.11
58,10,-1646.28
60,10,-1644.28
62,10,-1639.33
64,10,-1631.67
66,10,-1621.59
68,10,-1609.33
70,10,-1595.19
72,10,-1579.45
74,10,-1562.41
76,10,-1544.36
78,10,-1525.6
80,10,-1506.41
82,10,-1487.08
84,10,-1467.89
86,10,-1449.1
88,10,-1430.97
90,10,-1413.74
92,10,-1397.63
94,10,-1382.84
96,10,-1369.57
98,10,-1357.95
100,10,-1348.14
102,10,-1340.25
104,10,-1334.35
106,10,-1330.5
108,10,-1328.73
110,10,-1329.04
112,10,-1331.39
114,10,-1335.73
116,10,-1341.96
118,10,-1349.97
120,10,-1359.6
122,10,-1370.69
124,10,-1383.04
126,10,-1396.43
128,10,-1410.6
130,10,-1425.31
132,10,-1440.27
134,10,-1455.19
136,10,-1469.76
138,10,-1483.68
140,10,-1496.62
142,10,-1508.26
144,10,-1518.3
146,10,-1526.42
148,10,-1532.32
150,10,-1535.7
152,10,-1536.3
154,10,-1533.84
156,10,-1528.11
158,10,-1518.88
160,10,-1505.97
162,10,-1489.22
164,10,-1468.49
166,10,-1443.7
168,10,-1414.76
170,10,-1381.65
172,10,-1344.37
174,10,-1302.95
176,10,-1257.45
178,10,-1207.96
180,10,-1154.61
-180,12,-1107.77
-178,12,-1058.13
-176,12,-1004.43
-174,12,-946.962
-172,12,-886
-170,12,-821.867
-168,12,-754.901
-166,12,-685.458
-164,12,-613.906
-162,12,-540.623
-160,12,-465.993
-158,12,-390.397
-156,12,-314.218
-154,12,-237.828
-152,12,-161.593
-150,12,-85.8635
-148,12,-10.9742
-146,12,62.7579
-144,12,135.037
-142,12,205.589
-140,12,274.166
-138,12,340.542
-136,12,404.52
-134,12,465.928
-132,12,524.621
-130,12,580.479
-128,12,633.41
-126,12,683.345
-124,12,730.243
-122,12,774.081
-120,12,814.862
-118,12,852.607
-116,12,887.357
-114,12,919.17
-112,12,948.119
-110,12,974.291
-108,12,997.785
-106,12,1018.71
-104,12,1037.18
-102,12,1053.32
-100,12,1067.26
-98,12,1079.12
-96,12,1089.05
-94,12,1097.16
-92,12,1103.58
-90,12,1108.45
-88,12,1111.87
-86,12,1113.96
-84,12,1114.81
-82,12,1114.51
-80,12,1113.14
-78,12,1110.77
-76,12,1107.44
-74,12,1103.19
-72,12,1098.04
-70,12,1091.97
-68,12,1084.99
-66,12,1077.04
-64,12,1068.08
-62,12,1058.03
-60,12,1046.81
-58,12,1034.31
-56,12,1020.41
-54,12,1004.98
-52,12,987.867
-50,12,968.926
-48,12,947.993
-46,12,924.901
-44,12,899.485
-42,12,871.578
-40,12,841.022
-38,12,807.663
-36,12,771.363
-34,12,731.997
-32,12,689.459
-30,12,643.665
-28,12,594.554
-26,12,542.096
-24,12,486.286
-22,12,427.155
-20,12,364.764
-18,12,299.21
-16,12,230.626
-14,12,159.179
-12,12,85.069
-10,12,8.53365
-8,12,-70.1593
-6,12,-150.711
-4,12,-232.794
-2,12,-316.057
0,12,-400.124
2,12,-484.603
4,12,-569.085
6,12,-653.152
8,12,-736.38
10,12,-818.341
12,12,-898.611
14,12,-976.773
16,12,-1052.42
18,12,-1125.16
20,12,-1194.63
22,12,-1260.47
24,12,-1322.36
26,12,-1380.01
28,12,-1433.16
30,12,-1481.58
32,12,-1525.09
34,12,-1563.53
36,12,-1596.79
38,12,-1624.8
40,12,-1647.53
42,12,-1664.98
44,12,-1677.2
46,12,-1684.28
48,12,-1686.35
50,12,-1683.55
52,12,-1676.08
54,12,-1664.17
56,12,-1648.06
58,12,-1628.05
60,12,-1604.43
62,12,-1577.54
64,12,-1547.71
66,12,-1515.32
68,12,-1480.73
70,12,-1444.33
72,12,-1406.52
74,12,-1367.7
76,12,-1328.25
78,12,-1288.57
80,12,-1249.07
82,12,-1210.11
84,12,-1172.07
86,12,-1135.31
88,12,-1100.18
90,12,-1066.98
92,12,-1036.03
94,12,-1007.6
96,12,-981.939
98,12,-959.267
100,12,-939.771
102,12,-923.608
104,12,-910.898
106,12,-901.725
108,12,-896.135
110,12,-894.135
112,12,-895.695
114,12,-900.744
116,12,-909.17
118,12,-920.825
120,12,-935.521
122,12,-953.036
124,12,-973.11
126,12,-995.451
128,12,-1019.74
130,12,-1045.62
132,12,-1072.73
134,12,-1100.67
136,12,-1129.02
138,12,-1157.38
140,12,-1185.3
142,12,-1212.35
144,12,-1238.11
146,12,-1262.14
148,12,-1284.03
150,12,-1303.39
152,12,-1319.82
154,12,-1332.98
156,12,-1342.54
158,12,-1348.2
160,12,-1349.7
162,12,-1346.82
164,12,-1339.38
166,12,-1327.23
168,12,-1310.28
170,12,-1288.47
172,12,-1261.8
174,12,-1230.29
176,12,-1194.03
178,12,-1153.14
180,12,-1107.77
-180,14,-1016.97
-178,14,-976.54
-176,14,-931.641
-174,14,-882.606
-172,14,-829.799
-170,14,-773.61
-168,14,-714.456
-166,14,-652.768
-164,14,-588.992
-162,14,-523.578
-160,14,-456.98
-158,14,-389.645
-156,14,-322.015
-154,14,-254.515
-152,14,-187.556
-150,14,-121.524
-148,14,-56.7833
-146,14,6.33053
-144,14,67.512
-142,14,126.487
-140,14,183.014
-138,14,236.887
-136,14,287.933
-134,14,336.011
-132,14,381.018
-130,14,422.88
-128,14,461.556
-126,14,497.034
-124,14,529.33
-122,14,558.485
-120,14,584.567
-118,14,607.661
-116,14,627.875
-114,14,645.33
-112,14,660.165
-110,14,672.529
-108,14,682.58
-106,14,690.487
-104,14,696.42
-102,14,700.555
-100,14,703.069
-98,14,704.138
-96,14,703.935
-94,14,702.63
-92,14,700.385
-90,14,697.356
-88,14,693.689
-86,14,689.518
-84,14,684.965
-82,14,680.136
-80,14,675.123
-78,14,669.998
-76,14,664.815
-74,14,659.609
-72,14,654.389
-70,14,649.146
-68,14,643.844
-66,14,638.424
-64,14,632.802
-62,14,626.872
-60,14,620.501
-58,14,613.535
-56,14,605.797
-54,14,597.092
-52,14,587.207
-50,14,575.912
-48,14,562.968
-46,14,548.128
-44,14,531.138
-42,14,511.747
-40,14,489.708
-38,14,464.783
-36,14,436.748
-34,14,405.4
-32,14,370.556
-30,14,332.065
-28,14,289.808
-26,14,243.7
-24,14,193.699
-22,14,139.805
-20,14,82.0635
-18,14,20.566
-16,14,-44.5471
-14,14,-113.087
-12,14,-184.819
-10,14,-259.46
-8,14,-336.682
-6,14,-416.119
-4,14,-497.363
-2,14,-579.974
0,14,-663.482
2,14,-747.392
4,14,-831.19
6,14,-914.349
8,14,-996.336
10,14,-1076.62
12,14,-1154.66
14,14,-1229.94
16,14,-1301.96
18,14,-1370.24
20,14,-1434.32
22,14,-1493.79
24,14,-1548.26
26,14,-1597.38
28,14,-1640.87
30,14,-1678.46
32,14,-1709.95
34,14,-1735.2
36,14,-1754.09
38,14,-1766.58
40,14,-1772.66
42,14,-1772.4
44,14,-1765.88
46,14,-1753.27
48,14,-1734.75
50,14,-1710.56
52,14,-1680.97
54,14,-1646.32
56,14,-1606.93
58,14,-1563.2
60,14,-1515.53
62,14,-1464.35
64,14,-1410.12
66,14,-1353.3
68,14,-1294.38
70,14,-1233.84
72,14,-1172.18
74,14,-1109.91
76,14,-1047.52
78,14,-985.505
80,14,-924.354
82,14,-864.542
84,14,-806.532
86,14,-750.768
88,14,-697.674
90,14,-647.652
92,14,-601.077
94,14,-558.292
96,14,-519.611
98,14,-485.311
100,14,-455.633
102,14,-430.776
104,14,-410.896
106,14,-396.108
108,14,-386.478
110,14,-382.024
112,14,-382.718
114,14,-388.48
116,14,-399.181
118,14,-414.644
120,14,-434.642
122,14,-458.901
124,14,-487.102
126,14,-518.884
128,14,-553.844
130,14,-591.544
132,14,-631.515
134,14,-673.257
136,14,-716.251
138,14,-759.959
140,14,-803.831
142,14,-847.313
144,14,-889.853
146,14,-930.902
148,14,-969.929
150,14,-1006.42
152,14,-1039.88
