Phi[deg],Theta[deg],RealizedGainPhi
-180,0,0.0413736
-178,0,0.0466064
-176,0,0.0521071
-174,0,0.057849
-172,0,0.063804
-170,0,0.0699432
-168,0,0.0762366
-166,0,0.0826536
-164,0,0.0891629
-162,0,0.0957328
-160,0,0.102331
-158,0,0.108926
-156,0,0.115486
-154,0,0.121977
-152,0,0.128369
-150,0,0.134631
-148,0,0.140732
-146,0,0.146643
-144,0,0.152334
-142,0,0.157778
-140,0,0.162948
-138,0,0.167819
-136,0,0.172368
-134,0,0.176571
-132,0,0.18041
-130,0,0.183865
-128,0,0.186919
-126,0,0.189557
-124,0,0.191767
-122,0,0.193537
-120,0,0.19486
-118,0,0.195728
-116,0,0.196138
-114,0,0.196087
-112,0,0.195575
-110,0,0.194606
-108,0,0.193184
-106,0,0.191316
-104,0,0.18901
-102,0,0.186279
-100,0,0.183135
-98,0,0.179594
-96,0,0.175673
-94,0,0.171391
-92,0,0.16677
-90,0,0.16183
-88,0,0.156597
-86,0,0.151097
-84,0,0.145355
-82,0,0.1394
-80,0,0.133261
-78,0,0.126967
-76,0,0.12055
-74,0,0.114041
-72,0,0.107471
-70,0,0.100872
-68,0,0.0942775
-66,0,0.0877182
-64,0,0.0812266
-62,0,0.0748342
-60,0,0.0685723
-58,0,0.0624713
-56,0,0.0565609
-54,0,0.0508699
-52,0,0.0454261
-50,0,0.040256
-48,0,0.0353848
-46,0,0.0308361
-44,0,0.0266323
-42,0,0.0227936
-40,0,0.0193389
-38,0,0.016285
-36,0,0.0136468
-34,0,0.011437
-32,0,0.00966657
-30,0,0.008344
-28,0,0.00747577
-26,0,0.00706612
-24,0,0.00711703
-22,0,0.00762827
-20,0,0.00859733
-18,0,0.0100195
-16,0,0.0118879
-14,0,0.0141933
-12,0,0.0169246
-10,0,0.0200684
-8,0,0.0236094
-6,0,0.0275304
-4,0,0.0318123
-2,0,0.0364342
0,0,0.0413736
2,0,0.0466064
4,0,0.0521071
6,0,0.057849
8,0,0.063804
10,0,0.0699432
12,0,0.0762366
14,0,0.0826536
16,0,0.0891629
18,0,0.0957328
20,0,0.102331
22,0,0.108926
24,0,0.115486
26,0,0.121977
28,0,0.128369
30,0,0.134631
32,0,0.140732
34,0,0.146643
36,0,0.152334
38,0,0.157778
40,0,0.162948
42,0,0.167819
44,0,0.172368
46,0,0.176571
48,0,0.18041
50,0,0.183865
52,0,0.186919
54,0,0.189557
56,0,0.191767
58,0,0.193537
60,0,0.19486
62,0,0.195728
64,0,0.196138
66,0,0.196087
68,0,0.195575
70,0,0.194606
72,0,0.193184
74,0,0.191316
76,0,0.18901
78,0,0.186279
80,0,0.183135
82,0,0.179594
84,0,0.175673
86,0,0.171391
88,0,0.16677
90,0,0.16183
92,0,0.156597
94,0,0.151097
96,0,0.145355
98,0,0.1394
100,0,0.133261
102,0,0.126967
104,0,0.12055
106,0,0.114041
108,0,0.107471
110,0,0.100872
112,0,0.0942775
114,0,0.0877182
116,0,0.0812266
118,0,0.0748342
120,0,0.0685723
122,0,0.0624713
124,0,0.0565609
126,0,0.0508699
128,0,0.0454261
130,0,0.040256
132,0,0.0353848
134,0,0.0308361
136,0,0.0266323
138,0,0.0227936
140,0,0.0193389
142,0,0.016285
144,0,0.0136468
146,0,0.011437
148,0,0.00966657
150,0,0.008344
152,0,0.00747577
154,0,0.00706612
156,0,0.00711703
158,0,0.00762827
160,0,0.00859733
162,0,0.0100195
164,0,0.0118879
166,0,0.0141933
168,0,0.0169246
170,0,0.0200684
172,0,0.0236094
174,0,0.0275304
176,0,0.0318123
178,0,0.0364342
180,0,0.0413736
-180,2,0.0373657
-178,2,0.0424552
-176,2,0.047857
-174,2,0.0535472
-172,2,0.0595006
-170,2,0.06569
-168,2,0.0720869
-166,2,0.0786616
-164,2,0.085383
-162,2,0.0922189
-160,2,0.0991363
-158,2,0.106101
-156,2,0.113079
-154,2,0.120035
-152,2,0.126935
-150,2,0.133742
-148,2,0.140421
-146,2,0.146939
-144,2,0.153261
-142,2,0.159353
-140,2,0.165183
-138,2,0.17072
-136,2,0.175934
-134,2,0.180796
-132,2,0.18528
-130,2,0.18936
-128,2,0.193016
-126,2,0.196225
-124,2,0.198969
-122,2,0.201234
-120,2,0.203006
-118,2,0.204275
-116,2,0.205034
-114,2,0.205277
-112,2,0.205002
-110,2,0.204211
-108,2,0.202908
-106,2,0.201099
-104,2,0.198794
-102,2,0.196004
-100,2,0.192746
-98,2,0.189036
-96,2,0.184894
-94,2,0.180343
-92,2,0.175406
-90,2,0.170112
-88,2,0.164487
-86,2,0.158562
-84,2,0.152368
-82,2,0.145939
-80,2,0.139309
-78,2,0.132511
-76,2,0.125583
-74,2,0.118559
-72,2,0.111478
-70,2,0.104374
-68,2,0.0972849
-66,2,0.0902467
-64,2,0.0832949
-62,2,0.0764647
-60,2,0.0697902
-58,2,0.0633046
-56,2,0.05704
-54,2,0.051027
-52,2,0.0452949
-50,2,0.0398713
-48,2,0.0347821
-46,2,0.0300514
-44,2,0.0257015
-42,2,0.0217524
-40,2,0.0182222
-38,2,0.0151269
-36,2,0.01248
-34,2,0.010293
-32,2,0.00857502
-30,2,0.00733279
-28,2,0.00657077
-26,2,0.00629102
-24,2,0.0064933
-22,2,0.00717502
-20,2,0.00833128
-18,2,0.00995494
-16,2,0.0120366
-14,2,0.0145647
-12,2,0.0175256
-10,2,0.0209036
-8,2,0.024681
-6,2,0.0288383
-4,2,0.0333542
-2,2,0.0382057
0,2,0.0433683
2,2,0.048816
4,2,0.0545216
6,2,0.0604564
8,2,0.0665911
10,2,0.0728952
12,2,0.0793375
