Phi[deg],Theta[deg],RealizedGainTheta
-180,0,0.166291
-178,0,0.166528
-176,0,0.166404
-174,0,0.165918
-172,0,0.165073
-170,0,0.163873
-168,0,0.162324
-166,0,0.160433
-164,0,0.15821
-162,0,0.155666
-160,0,0.152813
-158,0,0.149664
-156,0,0.146236
-154,0,0.142544
-152,0,0.138608
-150,0,0.134445
-148,0,0.130077
-146,0,0.125524
-144,0,0.120809
-142,0,0.115955
-140,0,0.110985
-138,0,0.105923
-136,0,0.100795
-134,0,0.0956256
-132,0,0.0904392
-130,0,0.0852615
-128,0,0.0801177
-126,0,0.0750329
-124,0,0.0700319
-122,0,0.065139
-120,0,0.060378
-118,0,0.0557722
-116,0,0.051344
-114,0,0.0471149
-112,0,0.0431056
-110,0,0.0393356
-108,0,0.0358232
-106,0,0.0325857
-104,0,0.0296387
-102,0,0.0269966
-100,0,0.0246722
-98,0,0.022677
-96,0,0.0210206
-94,0,0.0197111
-92,0,0.0187549
-90,0,0.0181566
-88,0,0.0179191
-86,0,0.0180437
-84,0,0.0185296
-82,0,0.0193746
-80,0,0.0205745
-78,0,0.0221234
-76,0,0.0240139
-74,0,0.0262367
-72,0,0.028781
-70,0,0.0316343
-68,0,0.0347829
-66,0,0.0382112
-64,0,0.0419028
-62,0,0.0458395
-60,0,0.0500021
-58,0,0.0543705
-56,0,0.0589233
-54,0,0.0636383
-52,0,0.0684926
-50,0,0.0734625
-48,0,0.0785238
-46,0,0.0836518
-44,0,0.0888216
-42,0,0.094008
-40,0,0.0991857
-38,0,0.104329
-36,0,0.109414
-34,0,0.114415
-32,0,0.119308
-30,0,0.124069
-28,0,0.128675
-26,0,0.133103
-24,0,0.137332
-22,0,0.141342
-20,0,0.145112
-18,0,0.148624
-16,0,0.151861
-14,0,0.154808
-12,0,0.157451
-10,0,0.159775
-8,0,0.16177
-6,0,0.163427
-4,0,0.164736
-2,0,0.165692
0,0,0.166291
2,0,0.166528
4,0,0.166404
6,0,0.165918
8,0,0.165073
10,0,0.163873
12,0,0.162324
14,0,0.160433
16,0,0.15821
18,0,0.155666
20,0,0.152813
22,0,0.149664
24,0,0.146236
26,0,0.142544
28,0,0.138608
30,0,0.134445
32,0,0.130077
34,0,0.125524
36,0,0.120809
38,0,0.115955
40,0,0.110985
42,0,0.105923
44,0,0.100795
46,0,0.0956256
48,0,0.0904392
50,0,0.0852615
52,0,0.0801177
54,0,0.0750329
56,0,0.0700319
58,0,0.065139
60,0,0.060378
62,0,0.0557722
64,0,0.051344
66,0,0.0471149
68,0,0.0431056
70,0,0.0393356
72,0,0.0358232
74,0,0.0325857
76,0,0.0296387
78,0,0.0269966
80,0,0.0246722
82,0,0.022677
84,0,0.0210206
86,0,0.0197111
88,0,0.0187549
90,0,0.0181566
92,0,0.0179191
94,0,0.0180437
96,0,0.0185296
98,0,0.0193746
100,0,0.0205745
102,0,0.0221234
104,0,0.0240139
106,0,0.0262367
108,0,0.028781
110,0,0.0316343
112,0,0.0347829
114,0,0.0382112
116,0,0.0419028
118,0,0.0458395
120,0,0.0500021
122,0,0.0543705
124,0,0.0589233
126,0,0.0636383
128,0,0.0684926
130,0,0.0734625
132,0,0.0785238
134,0,0.0836518
136,0,0.0888216
138,0,0.094008
140,0,0.0991857
142,0,0.104329
144,0,0.109414
146,0,0.114415
148,0,0.119308
150,0,0.124069
152,0,0.128675
154,0,0.133103
156,0,0.137332
158,0,0.141342
160,0,0.145112
162,0,0.148624
164,0,0.151861
166,0,0.154808
168,0,0.157451
170,0,0.159775
172,0,0.16177
174,0,0.163427
176,0,0.164736
178,0,0.165692
180,0,0.166291
-180,2,0.164455
-178,2,0.164683
-176,2,0.164581
-174,2,0.164149
-172,2,0.16339
-170,2,0.162306
-168,2,0.1609
-166,2,0.15918
-164,2,0.15715
-162,2,0.15482
-160,2,0.152199
-158,2,0.149298
-156,2,0.14613
-154,2,0.142706
-152,2,0.139043
-150,2,0.135155
-148,2,0.131059
