Phi[deg],Theta[deg],RealizedGainPhi
-180,0,0.0480994
-178,0,0.0305755
-176,0,0.0186959
-174,0,0.0125186
-172,0,0.0120736
-170,0,0.0173632
-168,0,0.0283615
-166,0,0.045015
-164,0,0.0672425
-162,0,0.0949358
-160,0,0.12796
-158,0,0.166154
-156,0,0.209332
-154,0,0.257283
-152,0,0.309774
-150,0,0.36655
-148,0,0.427333
-146,0,0.491827
-144,0,0.559719
-142,0,0.630677
-140,0,0.704356
-138,0,0.780396
-136,0,0.858428
-134,0,0.938071
-132,0,1.01894
-130,0,1.10063
-128,0,1.18276
-126,0,1.26492
-124,0,1.34671
-122,0,1.42773
-120,0,1.50759
-118,0,1.58589
-116,0,1.66227
-114,0,1.73633
-112,0,1.80774
-110,0,1.87613
-108,0,1.94117
-106,0,2.00255
-104,0,2.05996
-102,0,2.11314
-100,0,2.16181
-98,0,2.20574
-96,0,2.24472
-94,0,2.27856
-92,0,2.30709
-90,0,2.33017
-88,0,2.34769
-86,0,2.35957
-84,0,2.36575
-82,0,2.3662
-80,0,2.36091
-78,0,2.34991
-76,0,2.33325
-74,0,2.31103
-72,0,2.28333
-70,0,2.25031
-68,0,2.21212
-66,0,2.16894
-64,0,2.12099
-62,0,2.06849
-60,0,2.01172
-58,0,1.95094
-56,0,1.88644
-54,0,1.81855
-52,0,1.74759
-50,0,1.67391
-48,0,1.59787
-46,0,1.51984
-44,0,1.4402
-42,0,1.35933
-40,0,1.27764
-38,0,1.19551
-36,0,1.11335
-34,0,1.03156
-32,0,0.950542
-30,0,0.870684
-28,0,0.792377
-26,0,0.716003
-24,0,0.641934
-22,0,0.570531
-20,0,0.502142
-18,0,0.4371
-16,0,0.375721
-14,0,0.318306
-12,0,0.265133
-10,0,0.216461
-8,0,0.172529
-6,0,0.133549
-4,0,0.0997119
-2,0,0.0711824
0,0,0.0480994
2,0,0.0305755
4,0,0.0186959
6,0,0.0125186
8,0,0.0120736
10,0,0.0173632
12,0,0.0283615
14,0,0.045015
16,0,0.0672425
18,0,0.0949358
20,0,0.12796
22,0,0.166154
24,0,0.209332
26,0,0.257283
28,0,0.309774
30,0,0.36655
32,0,0.427333
34,0,0.491827
36,0,0.559719
38,0,0.630677
40,0,0.704356
42,0,0.780396
44,0,0.858428
46,0,0.938071
48,0,1.01894
50,0,1.10063
52,0,1.18276
54,0,1.26492
56,0,1.34671
58,0,1.42773
60,0,1.50759
62,0,1.58589
64,0,1.66227
66,0,1.73633
68,0,1.80774
70,0,1.87613
72,0,1.94117
74,0,2.00255
76,0,2.05996
78,0,2.11314
80,0,2.16181
82,0,2.20574
84,0,2.24472
86,0,2.27856
88,0,2.30709
90,0,2.33017
92,0,2.34769
94,0,2.35957
96,0,2.36575
98,0,2.3662
100,0,2.36091
102,0,2.34991
104,0,2.33325
106,0,2.31103
108,0,2.28333
110,0,2.25031
112,0,2.21212
114,0,2.16894
116,0,2.12099
118,0,2.06849
120,0,2.01172
122,0,1.95094
124,0,1.88644
126,0,1.81855
128,0,1.74759
130,0,1.67391
132,0,1.59787
134,0,1.51984
136,0,1.4402
138,0,1.35933
140,0,1.27764
142,0,1.19551
144,0,1.11335
146,0,1.03156
148,0,0.950542
150,0,0.870684
152,0,0.792377
154,0,0.716003
156,0,0.641934
158,0,0.570531
160,0,0.502142
162,0,0.4371
164,0,0.375721
166,0,0.318306
168,0,0.265133
170,0,0.216461
172,0,0.172529
174,0,0.133549
176,0,0.0997119
178,0,0.0711824
180,0,0.0480994
-180,2,0.0480575
-178,2,0.0305381
-176,2,0.0186577
-174,2,0.0124743
-172,2,0.0120179
-170,2,0.0172906
-168,2,0.0282667
-166,2,0.0448926
-164,2,0.0670873
-162,2,0.0947426
-160,2,0.127724
-158,2,0.16587
-156,2,0.208995
-154,2,0.256889
-152,2,0.309319
-150,2,0.366028
-148,2,0.426742
-146,2,0.491163
-144,2,0.558978
-142,2,0.629857
-140,2,0.703454
-138,2,0.779411
-136,2,0.857357
-134,2,0.936913
-132,2,1.01769
-130,2,1.0993
-128,2,1.18134
-126,2,1.2634
-124,2,1.34511
-122,2,1.42604
-120,2,1.50581
-118,2,1.58404
-116,2,1.66033
-114,2,1.73432
-112,2,1.80565
-110,2,1.87397
-108,2,1.93895
-106,2,2.00027
-104,2,2.05763
-102,2,2.11075
-100,2,2.15937
-98,2,2.20326
-96,2,2.24221
-94,2,2.27602
-92,2,2.30452
-90,2,2.32759
-88,2,2.3451
-86,2,2.35698
-84,2,2.36316
-82,2,2.36361
-80,2,2.35833
-78,2,2.34735
-76,2,2.33073
-74,2,2.30853
-72,2,2.28088
-70,2,2.24789
-68,2,2.20975
-66,2,2.16662
-64,2,2.11873
-62,2,2.0663
-60,2,2.00959
-58,2,1.94887
-56,2,1.88445
-54,2,1.81663
-52,2,1.74575
-50,2,1.67215
-48,2,1.59619
-46,2,1.51824
-44,2,1.43868
-42,2,1.3579
-40,2,1.27629
-38,2,1.19425
-36,2,1.11217
-34,2,1.03047
-32,2,0.949531
-30,2,0.869754
-28,2,0.791526
-26,2,0.71523
-24,2,0.641236
-22,2,0.569906
-20,2,0.501587
-18,2,0.436612
-16,2,0.375298
-14,2,0.317943
-12,2,0.264827
-10,2,0.21621
-8,2,0.172326
-6,2,0.133392
-4,2,0.0995962
-2,2,0.0711035
0,2,0.0480528
2,2,0.0305566
4,2,0.0187
6,2,0.012541
8,2,0.0121095
10,2,0.0174076
12,2,0.0284096
14,2,0.0450619
16,2,0.0672834
18,2,0.0949657
20,2,0.127974
22,2,0.166148
24,2,0.2093
26,2,0.257222
28,2,0.309679
30,2,0.366416
32,2,0.427157
34,2,0.491605
36,2,0.559446
38,2,0.630351
40,2,0.703973
42,2,0.779954
44,2,0.857924
46,2,0.937503
48,2,1.0183
50,2,1.09993
52,2,1.18199
54,2,1.26407
56,2,1.34579
58,2,1.42674
60,2,1.50653
62,2,1.58477
64,2,1.66107
66,2,1.73507
68,2,1.80641
70,2,1.87474
72,2,1.93972
74,2,2.00104
76,2,2.0584
78,2,2.11152
80,2,2.16014
82,2,2.20403
84,2,2.24297
86,2,2.27678
88,2,2.30528
90,2,2.32833
92,2,2.34584
94,2,2.3577
96,2,2.36387
98,2,2.36431
100,2,2.35902
102,2,2.34803
104,2,2.33139
106,2,2.30918
108,2,2.28151
110,2,2.24851
112,2,2.21035
114,2,2.16721
116,2,2.1193
118,2,2.06685
120,2,2.01012
122,2,1.94939
124,2,1.88495
126,2,1.81712
128,2,1.74622
130,2,1.67261
132,2,1.59663
134,2,1.51866
136,2,1.43909
138,2,1.35829
140,2,1.27666
142,2,1.1946
144,2,1.11251
146,2,1.03079
148,2,0.949838
150,2,0.870044
152,2,0.7918
154,2,0.715487
156,2,0.641477
158,2,0.57013
160,2,0.501793
162,2,0.4368
164,2,0.375468
166,2,0.318094
168,2,0.264959
170,2,0.216321
172,2,0.172418
174,2,0.133463
176,2,0.0996455
178,2,0.0711308
180,2,0.0480575
-180,4,0.0479273
-178,4,0.0304446
-176,4,0.0185857
-174,4,0.0124084
-172,4,0.0119426
-170,4,0.0171903
-168,4,0.0281258
-166,4,0.0446956
-164,4,0.0668188
-162,4,0.0943874
-160,4,0.127267
-158,4,0.165297
-156,4,0.208292
-154,4,0.256042
-152,4,0.308314
-150,4,0.364855
-148,4,0.425387
-146,4,0.489616
-144,4,0.557229
-142,4,0.627896
-140,4,0.701274
-138,4,0.777003
-136,4,0.854716
-134,4,0.934034
-132,4,1.01457
-130,4,1.09593
-128,4,1.17772
-126,4,1.25955
-124,4,1.341
-122,4,1.42169
-120,4,1.50123
-118,4,1.57922
-116,4,1.65528
-114,4,1.72905
-112,4,1.80017
-110,4,1.86829
-108,4,1.93307
-106,4,1.99421
-104,4,2.0514
-102,4,2.10436
-100,4,2.15285
-98,4,2.19662
-96,4,2.23545
-94,4,2.26917
-92,4,2.2976
-90,4,2.32061
-88,4,2.33808
-86,4,2.34993
-84,4,2.3561
-82,4,2.35657
-80,4,2.35132
-78,4,2.34039
-76,4,2.32383
-74,4,2.30171
-72,4,2.27415
-70,4,2.24128
-68,4,2.20326
-66,4,2.16028
-64,4,2.11254
-62,4,2.06028
-60,4,2.00374
-58,4,1.94322
-56,4,1.87899
-54,4,1.81138
-52,4,1.74071
-50,4,1.66734
-48,4,1.5916
-46,4,1.51388
-44,4,1.43456
-42,4,1.35401
-40,4,1.27264
-38,4,1.19083
-36,4,1.10899
-34,4,1.02752
-32,4,0.946812
-30,4,0.867261
-28,4,0.789254
-26,4,0.713173
-24,4,0.639389
-22,4,0.568259
-20,4,0.500133
-18,4,0.435342
-16,4,0.374201
-14,4,0.317009
-12,4,0.264046
-10,4,0.215568
-8,4,0.171813
-6,4,0.132993
-4,4,0.0992993
-2,4,0.0708947
0,4,0.0479181
2,4,0.0304816
4,4,0.0186701
6,4,0.0125413
8,4,0.0121251
10,4,0.0174235
12,4,0.0284107
14,4,0.045033
16,4,0.0672095
18,4,0.0948321
20,4,0.127766
22,4,0.165851
24,4,0.208901
26,4,0.256706
28,4,0.309033
30,4,0.365628
32,4,0.426215
34,4,0.490497
36,4,0.558163
38,4,0.628882
40,4,0.702309
42,4,0.778087
44,4,0.855847
46,4,0.93521
48,4,1.01579
50,4,1.09719
52,4,1.17902
54,4,1.26088
56,4,1.34237
58,4,1.42309
60,4,1.50266
62,4,1.58067
64,4,1.65676
66,4,1.73055
68,4,1.80168
70,4,1.86981
72,4,1.9346
74,4,1.99574
76,4,2.05294
78,4,2.10591
80,4,2.15439
82,4,2.19815
84,4,2.23698
86,4,2.27068
88,4,2.2991
90,4,2.32209
92,4,2.33955
94,4,2.35138
96,4,2.35753
98,4,2.35797
100,4,2.3527
102,4,2.34174
104,4,2.32515
106,4,2.30301
108,4,2.27542
110,4,2.24252
112,4,2.20446
114,4,2.16145
116,4,2.11367
118,4,2.06138
120,4,2.00481
122,4,1.94425
124,4,1.87999
126,4,1.81235
128,4,1.74165
130,4,1.66824
132,4,1.59247
134,4,1.51472
136,4,1.43536
138,4,1.35478
140,4,1.27338
142,4,1.19154
144,4,1.10967
146,4,1.02816
148,4,0.947422
150,4,0.867839
152,4,0.7898
154,4,0.713685
156,4,0.639867
158,4,0.568704
160,4,0.500542
162,4,0.435715
164,4,0.374538
166,4,0.317309
168,4,0.264307
170,4,0.21579
172,4,0.171995
174,4,0.133134
176,4,0.0993973
178,4,0.0709489
180,4,0.0479273
-180,6,0.0477094
-178,6,0.0302953
-176,6,0.0184802
-174,6,0.0123211
-172,6,0.011848
-170,6,0.0170627
-168,6,0.0279395
-166,6,0.044425
-164,6,0.0664386
-162,6,0.0938724
-160,6,0.126592
-158,6,0.164439
-156,6,0.207227
-154,6,0.254747
-152,6,0.306769
-150,6,0.363037
-148,6,0.423278
-146,6,0.487197
-144,6,0.554483
-142,6,0.624808
