Phi[deg],Theta[deg],dB(RealizedGainTotal)
-180,0,7.1381
-178,0,7.1381
-176,0,7.1381
-174,0,7.1381
-172,0,7.1381
-170,0,7.1381
-168,0,7.1381
-166,0,7.1381
-164,0,7.1381
-162,0,7.1381
-160,0,7.1381
-158,0,7.1381
-156,0,7.1381
-154,0,7.1381
-152,0,7.1381
-150,0,7.1381
-148,0,7.1381
-146,0,7.1381
-144,0,7.1381
-142,0,7.1381
-140,0,7.1381
-138,0,7.1381
-136,0,7.1381
-134,0,7.1381
-132,0,7.1381
-130,0,7.1381
-128,0,7.1381
-126,0,7.1381
-124,0,7.1381
-122,0,7.1381
-120,0,7.1381
-118,0,7.1381
-116,0,7.1381
-114,0,7.1381
-112,0,7.1381
-110,0,7.1381
-108,0,7.1381
-106,0,7.1381
-104,0,7.1381
-102,0,7.1381
-100,0,7.1381
-98,0,7.1381
-96,0,7.1381
-94,0,7.1381
-92,0,7.1381
-90,0,7.1381
-88,0,7.1381
-86,0,7.1381
-84,0,7.1381
-82,0,7.1381
-80,0,7.1381
-78,0,7.1381
-76,0,7.1381
-74,0,7.1381
-72,0,7.1381
-70,0,7.1381
-68,0,7.1381
-66,0,7.1381
-64,0,7.1381
-62,0,7.1381
-60,0,7.1381
-58,0,7.1381
-56,0,7.1381
-54,0,7.1381
-52,0,7.1381
-50,0,7.1381
-48,0,7.1381
-46,0,7.1381
-44,0,7.1381
-42,0,7.1381
-40,0,7.1381
-38,0,7.1381
-36,0,7.1381
-34,0,7.1381
-32,0,7.1381
-30,0,7.1381
-28,0,7.1381
-26,0,7.1381
-24,0,7.1381
-22,0,7.1381
-20,0,7.1381
-18,0,7.1381
-16,0,7.1381
-14,0,7.1381
-12,0,7.1381
-10,0,7.1381
-8,0,7.1381
-6,0,7.1381
-4,0,7.1381
-2,0,7.1381
0,0,7.1381
2,0,7.1381
4,0,7.1381
6,0,7.1381
8,0,7.1381
10,0,7.1381
12,0,7.1381
14,0,7.1381
16,0,7.1381
18,0,7.1381
20,0,7.1381
22,0,7.1381
24,0,7.1381
26,0,7.1381
28,0,7.1381
30,0,7.1381
32,0,7.1381
34,0,7.1381
36,0,7.1381
38,0,7.1381
40,0,7.1381
42,0,7.1381
44,0,7.1381
46,0,7.1381
48,0,7.1381
50,0,7.1381
52,0,7.1381
54,0,7.1381
56,0,7.1381
58,0,7.1381
60,0,7.1381
62,0,7.1381
64,0,7.1381
66,0,7.1381
68,0,7.1381
70,0,7.1381
72,0,7.1381
74,0,7.1381
76,0,7.1381
78,0,7.1381
80,0,7.1381
82,0,7.1381
84,0,7.1381
86,0,7.1381
88,0,7.1381
90,0,7.1381
92,0,7.1381
94,0,7.1381
96,0,7.1381
98,0,7.1381
100,0,7.1381
102,0,7.1381
104,0,7.1381
106,0,7.1381
108,0,7.1381
110,0,7.1381
112,0,7.1381
114,0,7.1381
116,0,7.1381
118,0,7.1381
120,0,7.1381
122,0,7.1381
124,0,7.1381
126,0,7.1381
128,0,7.1381
130,0,7.1381
132,0,7.1381
134,0,7.1381
136,0,7.1381
138,0,7.1381
140,0,7.1381
142,0,7.1381
144,0,7.1381
146,0,7.1381
148,0,7.1381
150,0,7.1381
152,0,7.1381
154,0,7.1381
156,0,7.1381
158,0,7.1381
160,0,7.1381
162,0,7.1381
164,0,7.1381
166,0,7.1381
168,0,7.1381
170,0,7.1381
172,0,7.1381
174,0,7.1381
176,0,7.1381
178,0,7.1381
180,0,7.1381
-180,2,7.11989
-178,2,7.1202
-176,2,7.12053
-174,2,7.12087
-172,2,7.12121
-170,2,7.12157
-168,2,7.12194
-166,2,7.12232
-164,2,7.1227
-162,2,7.1231
-160,2,7.1235
-158,2,7.12391
-156,2,7.12432
-154,2,7.12475
-152,2,7.12517
-150,2,7.12561
-148,2,7.12604
-146,2,7.12648
-144,2,7.12693
-142,2,7.12738
-140,2,7.12783
-138,2,7.12828
-136,2,7.12873
-134,2,7.12918
-132,2,7.12964
-130,2,7.13009
-128,2,7.13054
-126,2,7.13099
-124,2,7.13144
-122,2,7.13188
-120,2,7.13232
-118,2,7.13276
-116,2,7.13319
-114,2,7.13362
-112,2,7.13404
-110,2,7.13446
-108,2,7.13487
-106,2,7.13527
-104,2,7.13566
-102,2,7.13605
-100,2,7.13643
-98,2,7.13679
-96,2,7.13715
-94,2,7.1375
-92,2,7.13784
-90,2,7.13817
-88,2,7.13849
-86,2,7.13879
-84,2,7.13908
-82,2,7.13937
-80,2,7.13963
-78,2,7.13989
-76,2,7.14013
-74,2,7.14036
-72,2,7.14058
-70,2,7.14078
-68,2,7.14097
-66,2,7.14114
-64,2,7.1413
-62,2,7.14144
-60,2,7.14157
-58,2,7.14168
-56,2,7.14178
-54,2,7.14186
-52,2,7.14193
-50,2,7.14198
-48,2,7.14202
-46,2,7.14204
-44,2,7.14205
-42,2,7.14204
-40,2,7.14202
-38,2,7.14198
-36,2,7.14192
-34,2,7.14186
-32,2,7.14177
-30,2,7.14167
-28,2,7.14156
-26,2,7.14143
-24,2,7.14129
-22,2,7.14113
-20,2,7.14096
-18,2,7.14078
-16,2,7.14058
-14,2,7.14037
-12,2,7.14015
-10,2,7.13991
-8,2,7.13966
-6,2,7.1394
-4,2,7.13913
-2,2,7.13885
0,2,7.13856
2,2,7.13825
4,2,7.13794
6,2,7.13761
8,2,7.13728
10,2,7.13694
12,2,7.13659
14,2,7.13623
16,2,7.13586
18,2,7.13548
20,2,7.1351
22,2,7.13471
24,2,7.13432
26,2,7.13392
28,2,7.13351
30,2,7.1331
32,2,7.13268
34,2,7.13227
36,2,7.13184
38,2,7.13142
40,2,7.13099
42,2,7.13056
44,2,7.13013
46,2,7.12969
48,2,7.12926
50,2,7.12883
52,2,7.12839
54,2,7.12796
56,2,7.12753
58,2,7.1271
60,2,7.12667
62,2,7.12625
64,2,7.12583
66,2,7.12541
68,2,7.12499
70,2,7.12459
72,2,7.12418
74,2,7.12378
76,2,7.12339
78,2,7.12301
80,2,7.12263
82,2,7.12226
84,2,7.12189
86,2,7.12154
88,2,7.12119
90,2,7.12086
92,2,7.12053
94,2,7.12021
96,2,7.11991
98,2,7.11961
100,2,7.11933
102,2,7.11906
104,2,7.1188
106,2,7.11855
108,2,7.11832
110,2,7.1181
112,2,7.11789
114,2,7.1177
116,2,7.11752
118,2,7.11735
120,2,7.1172
122,2,7.11706
124,2,7.11694
126,2,7.11684
128,2,7.11675
130,2,7.11667
132,2,7.11662
134,2,7.11657
136,2,7.11655
138,2,7.11653
140,2,7.11654
142,2,7.11656
144,2,7.1166
146,2,7.11665
148,2,7.11672
150,2,7.11681
152,2,7.11691
154,2,7.11702
156,2,7.11716
158,2,7.11731
160,2,7.11747
162,2,7.11765
164,2,7.11784
166,2,7.11805
168,2,7.11827
170,2,7.11851
172,2,7.11876
174,2,7.11902
176,2,7.1193
178,2,7.11959
180,2,7.11989
-180,4,7.08399
-178,4,7.08464
-176,4,7.08531
-174,4,7.086
-172,4,7.08671
-170,4,7.08745
-168,4,7.0882
-166,4,7.08898
-164,4,7.08977
-162,4,7.09058
-160,4,7.0914
-158,4,7.09224
-156,4,7.09309
-154,4,7.09395
-152,4,7.09482
-150,4,7.09571
-148,4,7.0966
-146,4,7.0975
-144,4,7.0984
-142,4,7.09931
-140,4,7.10023
-138,4,7.10114
-136,4,7.10206
-134,4,7.10298
-132,4,7.1039
-130,4,7.10481
-128,4,7.10572
-126,4,7.10663
-124,4,7.10753
-122,4,7.10843
-120,4,7.10932
-118,4,7.1102
-116,4,7.11107
-114,4,7.11193
-112,4,7.11278
-110,4,7.11361
-108,4,7.11444
-106,4,7.11524
-104,4,7.11603
-102,4,7.11681
-100,4,7.11756
-98,4,7.1183
-96,4,7.11902
-94,4,7.11971
-92,4,7.12039
-90,4,7.12104
-88,4,7.12167
-86,4,7.12228
-84,4,7.12286
-82,4,7.12342
-80,4,7.12395
-78,4,7.12446
-76,4,7.12493
-74,4,7.12538
-72,4,7.1258
-70,4,7.12619
-68,4,7.12656
-66,4,7.12689
-64,4,7.12719
-62,4,7.12747
-60,4,7.12771
-58,4,7.12792
-56,4,7.1281
-54,4,7.12825
-52,4,7.12837
-50,4,7.12845
-48,4,7.12851
-46,4,7.12853
-44,4,7.12853
-42,4,7.12849
-40,4,7.12842
-38,4,7.12832
-36,4,7.12819
-34,4,7.12804
-32,4,7.12785
-30,4,7.12763
-28,4,7.12738
-26,4,7.12711
-24,4,7.12681
-22,4,7.12648
-20,4,7.12613
-18,4,7.12574
-16,4,7.12534
-14,4,7.12491
-12,4,7.12445
-10,4,7.12397
-8,4,7.12347
-6,4,7.12295
-4,4,7.1224
-2,4,7.12184
0,4,7.12125
2,4,7.12065
4,4,7.12003
6,4,7.11939
8,4,7.11873
10,4,7.11806
12,4,7.11737
14,4,7.11666
16,4,7.11594
18,4,7.11521
20,4,7.11447
22,4,7.11371
24,4,7.11295
26,4,7.11217
28,4,7.11138
30,4,7.11059
32,4,7.10979
34,4,7.10898
36,4,7.10816
38,4,7.10733
40,4,7.10651
42,4,7.10567
44,4,7.10484
46,4,7.104
48,4,7.10316
50,4,7.10232
52,4,7.10147
54,4,7.10063
56,4,7.09979
58,4,7.09895
60,4,7.09812
62,4,7.09728
64,4,7.09646
66,4,7.09563
68,4,7.09482
70,4,7.09401
72,4,7.09321
74,4,7.09242
76,4,7.09163
78,4,7.09086
80,4,7.0901
82,4,7.08936
84,4,7.08862
86,4,7.08791
88,4,7.0872
90,4,7.08652
92,4,7.08585
94,4,7.0852
96,4,7.08456
98,4,7.08395
100,4,7.08336
102,4,7.0828
104,4,7.08225
106,4,7.08173
108,4,7.08124
110,4,7.08077
112,4,7.08032
114,4,7.07991
116,4,7.07952
118,4,7.07916
120,4,7.07883
122,4,7.07853
124,4,7.07826
126,4,7.07802
128,4,7.07781
130,4,7.07764
132,4,7.0775
134,4,7.07739
136,4,7.07731
138,4,7.07727
140,4,7.07726
142,4,7.07729
144,4,7.07735
146,4,7.07744
148,4,7.07757
150,4,7.07773
152,4,7.07793
154,4,7.07816
156,4,7.07842
158,4,7.07872
160,4,7.07905
162,4,7.07941
164,4,7.0798
166,4,7.08022
168,4,7.08067
170,4,7.08116
172,4,7.08167
174,4,7.08221
176,4,7.08278
178,4,7.08337
180,4,7.08399
-180,6,7.0305
-178,6,7.0315
-176,6,7.03254
-174,6,7.03362
-172,6,7.03472
-170,6,7.03586
-168,6,7.03702
-166,6,7.03822
-164,6,7.03944
-162,6,7.04068
-160,6,7.04195
-158,6,7.04323
-156,6,7.04453
-154,6,7.04585
-152,6,7.04719
-150,6,7.04853
-148,6,7.04989
-146,6,7.05126
-144,6,7.05263
-142,6,7.05401
-140,6,7.0554
-138,6,7.05678
-136,6,7.05817
-134,6,7.05956
-132,6,7.06094
-130,6,7.06232
-128,6,7.0637
-126,6,7.06506
-124,6,7.06642
-122,6,7.06777
-120,6,7.06911
-118,6,7.07043
-116,6,7.07174
-114,6,7.07303
-112,6,7.0743
-110,6,7.07556
-108,6,7.07679
-106,6,7.07801
-104,6,7.0792
-102,6,7.08036
-100,6,7.0815
-98,6,7.08261
-96,6,7.08368
-94,6,7.08473
-92,6,7.08575
-90,6,7.08673
-88,6,7.08768
-86,6,7.08859
-84,6,7.08947
-82,6,7.0903
-80,6,7.0911
-78,6,7.09185
-76,6,7.09257
-74,6,7.09324
-72,6,7.09386
-70,6,7.09444
-68,6,7.09498
-66,6,7.09547
-64,6,7.09591
-62,6,7.0963
-60,6,7.09665
-58,6,7.09695
-56,6,7.0972
-54,6,7.0974
-52,6,7.09756
-50,6,7.09766
-48,6,7.09772
-46,6,7.09772
-44,6,7.09768
-42,6,7.0976
-40,6,7.09746
-38,6,7.09728
-36,6,7.09705
-34,6,7.09678
-32,6,7.09646
-30,6,7.0961
-28,6,7.0957
-26,6,7.09526
-24,6,7.09477
-22,6,7.09425
-20,6,7.09368
-18,6,7.09309
-16,6,7.09245
-14,6,7.09178
-12,6,7.09108
-10,6,7.09034
-8,6,7.08957
-6,6,7.08878
-4,6,7.08795
-2,6,7.0871
0,6,7.08622
2,6,7.08531
4,6,7.08438
6,6,7.08343
8,6,7.08246
10,6,7.08146
12,6,7.08045
14,6,7.07942
16,6,7.07837
18,6,7.0773
20,6,7.07621
22,6,7.07512
24,6,7.07401
26,6,7.07288
28,6,7.07174
30,6,7.07059
32,6,7.06943
34,6,7.06827
36,6,7.06709
38,6,7.0659
40,6,7.06471
42,6,7.06351
44,6,7.0623
46,6,7.06109
48,6,7.05987
50,6,7.05866
52,6,7.05743
54,6,7.05621
56,6,7.05499
58,6,7.05376
60,6,7.05254
62,6,7.05132
64,6,7.05011
66,6,7.0489
68,6,7.04769
70,6,7.04649
72,6,7.0453
74,6,7.04412
76,6,7.04295
78,6,7.04179
80,6,7.04065
82,6,7.03952
84,6,7.0384
86,6,7.03731
88,6,7.03623
90,6,7.03517
92,6,7.03414
94,6,7.03313
96,6,7.03215
98,6,7.03119
100,6,7.03027
102,6,7.02937
104,6,7.02851
106,6,7.02768
108,6,7.02689
110,6,7.02613
112,6,7.02542
114,6,7.02474
116,6,7.02411
118,6,7.02351
120,6,7.02297
122,6,7.02247
124,6,7.02202
126,6,7.02161
128,6,7.02126
130,6,7.02095
132,6,7.0207
134,6,7.0205
136,6,7.02036
138,6,7.02026
140,6,7.02022
142,6,7.02024
144,6,7.02031
146,6,7.02044
148,6,7.02062
150,6,7.02085
152,6,7.02114
154,6,7.02148
156,6,7.02188
158,6,7.02233
160,6,7.02283
162,6,7.02339
164,6,7.02399
166,6,7.02464
168,6,7.02535
170,6,7.0261
172,6,7.02689
174,6,7.02773
176,6,7.02861
178,6,7.02954
180,6,7.0305
-180,8,6.95956
-178,8,6.96095
-176,8,6.9624
-174,8,6.96389
-172,8,6.96542
-170,8,6.96699
-168,8,6.9686
-166,8,6.97024
-164,8,6.97191
-162,8,6.97362
-160,8,6.97534
-158,8,6.9771
-156,8,6.97887
-154,8,6.98066
-152,8,6.98246
-150,8,6.98428
-148,8,6.98611
-146,8,6.98795
-144,8,6.98979
-142,8,6.99164
-140,8,6.9935
-138,8,6.99535
-136,8,6.9972
-134,8,6.99905
-132,8,7.00089
-130,8,7.00272
-128,8,7.00455
-126,8,7.00637
-124,8,7.00817
-122,8,7.00996
-120,8,7.01173
-118,8,7.01349
-116,8,7.01523
-114,8,7.01695
-112,8,7.01865
-110,8,7.02032
-108,8,7.02196
-106,8,7.02358
-104,8,7.02517
-102,8,7.02672
-100,8,7.02825
-98,8,7.02973
-96,8,7.03118
-94,8,7.03259
-92,8,7.03396
-90,8,7.03528
-88,8,7.03656
-86,8,7.03779
-84,8,7.03897
-82,8,7.04009
-80,8,7.04117
-78,8,7.04218
-76,8,7.04314
-74,8,7.04404
-72,8,7.04488
-70,8,7.04566
-68,8,7.04637
-66,8,7.04702
-64,8,7.04761
-62,8,7.04812
-60,8,7.04857
-58,8,7.04896
-56,8,7.04927
-54,8,7.04951
-52,8,7.04969
-50,8,7.0498
-48,8,7.04984
-46,8,7.04981
-44,8,7.04971
-42,8,7.04955
-40,8,7.04932
-38,8,7.04903
-36,8,7.04868
-34,8,7.04826
-32,8,7.04778
-30,8,7.04725
-28,8,7.04666
-26,8,7.04601
-24,8,7.04531
-22,8,7.04456
-20,8,7.04376
-18,8,7.04292
-16,8,7.04203
-14,8,7.04109
-12,8,7.04012
-10,8,7.0391
-8,8,7.03805
-6,8,7.03696
-4,8,7.03584
-2,8,7.03469
0,8,7.03351
2,8,7.0323
4,8,7.03107
6,8,7.02981
8,8,7.02852
10,8,7.02722
12,8,7.02589
14,8,7.02455
16,8,7.02318
18,8,7.0218
20,8,7.0204
22,8,7.01899
24,8,7.01756
26,8,7.01612
28,8,7.01467
30,8,7.0132
32,8,7.01172
34,8,7.01023
36,8,7.00873
38,8,7.00722
40,8,7.0057
42,8,7.00417
44,8,7.00263
46,8,7.00109
48,8,6.99954
50,8,6.99798
52,8,6.99641
54,8,6.99484
56,8,6.99327
58,8,6.99169
60,8,6.99011
62,8,6.98852
64,8,6.98694
66,8,6.98536
68,8,6.98378
70,8,6.9822
72,8,6.98063
74,8,6.97906
76,8,6.9775
78,8,6.97595
80,8,6.97441
82,8,6.97289
84,8,6.97138
86,8,6.96989
88,8,6.96842
90,8,6.96697
92,8,6.96555
94,8,6.96415
96,8,6.96278
98,8,6.96145
100,8,6.96015
102,8,6.95889
104,8,6.95767
106,8,6.95649
108,8,6.95535
110,8,6.95427
112,8,6.95323
114,8,6.95225
116,8,6.95133
