Phi[deg],Theta[deg],RealizedGainPhi
34,2,4.36441
36,2,4.40745
38,2,4.44275
40,2,4.47009
42,2,4.48931
44,2,4.50028
46,2,4.50291
48,2,4.49715
50,2,4.48299
52,2,4.46045
54,2,4.42962
56,2,4.39059
58,2,4.34354
60,2,4.28864
62,2,4.22614
64,2,4.15631
66,2,4.07947
68,2,3.99597
70,2,3.9062
72,2,3.81057
74,2,3.70955
76,2,3.60362
78,2,3.49329
80,2,3.37911
82,2,3.26163
84,2,3.14144
86,2,3.01915
88,2,2.89536
90,2,2.7707
92,2,2.64581
94,2,2.52132
96,2,2.39787
98,2,2.2761
100,2,2.15664
102,2,2.0401
104,2,1.92711
106,2,1.81823
108,2,1.71406
110,2,1.61512
112,2,1.52195
114,2,1.43502
116,2,1.35481
118,2,1.28173
120,2,1.21617
122,2,1.15847
124,2,1.10893
126,2,1.06781
128,2,1.03534
130,2,1.01166
132,2,0.996907
134,2,0.991145
136,2,0.994396
138,2,1.00663
140,2,1.02778
142,2,1.05771
144,2,1.09625
146,2,1.14318
148,2,1.19824
150,2,1.26112
152,2,1.33146
154,2,1.40889
156,2,1.49297
158,2,1.58324
160,2,1.67921
162,2,1.78035
164,2,1.88611
166,2,1.99592
168,2,2.1092
170,2,2.22532
172,2,2.34368
174,2,2.46363
176,2,2.58456
178,2,2.7058
180,2,2.82674
-180,4,2.75314
-178,4,2.87113
-176,4,2.9869
-174,4,3.09982
-172,4,3.20929
-170,4,3.31474
-168,4,3.41561
-166,4,3.51139
-164,4,3.60159
-162,4,3.68578
-160,4,3.76355
-158,4,3.83453
-156,4,3.89839
-154,4,3.95486
-152,4,4.00371
-150,4,4.04473
-148,4,4.07777
-146,4,4.10274
-144,4,4.11957
-142,4,4.12824
-140,4,4.12878
-138,4,4.12125
-136,4,4.10576
-134,4,4.08245
-132,4,4.05151
-130,4,4.01315
-128,4,3.96763
-126,4,3.91523
-124,4,3.85626
-122,4,3.79107
-120,4,3.72001
-118,4,3.64349
-116,4,3.56192
-114,4,3.47571
-112,4,3.38532
-110,4,3.2912
-108,4,3.19383
-106,4,3.09368
-104,4,2.99123
-102,4,2.88699
-100,4,2.78143
-98,4,2.67506
-96,4,2.56836
-94,4,2.46182
-92,4,2.35591
-90,4,2.25111
-88,4,2.14788
-86,4,2.04667
-84,4,1.94793
-82,4,1.85207
-80,4,1.7595
-78,4,1.67062
-76,4,1.58579
-74,4,1.50537
-72,4,1.4297
-70,4,1.35909
-68,4,1.29383
-66,4,1.23417
-64,4,1.18038
-62,4,1.13267
-60,4,1.09122
-58,4,1.05622
-56,4,1.0278
-54,4,1.00608
-52,4,0.99115
-50,4,0.983076
-48,4,0.981894
-46,4,0.987616
-44,4,1.00022
-42,4,1.01968
-40,4,1.0459
-38,4,1.07881
-36,4,1.11828
-34,4,1.16416
-32,4,1.21629
-30,4,1.27446
-28,4,1.33846
-26,4,1.40804
-24,4,1.48295
-22,4,1.5629
-20,4,1.64758
-18,4,1.73667
-16,4,1.82982
-14,4,1.92667
-12,4,2.02685
-10,4,2.12995
-8,4,2.23558
-6,4,2.34332
-4,4,2.45273
-2,4,2.56336
0,4,2.67478
2,4,2.78652
4,4,2.89812
6,4,3.00911
8,4,3.11901
10,4,3.22736
12,4,3.33368
14,4,3.4375
16,4,3.53836
18,4,3.6358
20,4,3.72936
22,4,3.8186
24,4,3.90309
26,4,3.98241
28,4,4.05617
30,4,4.12398
32,4,4.18547
34,4,4.24032
36,4,4.28821
38,4,4.32884
40,4,4.36196
42,4,4.38735
44,4,4.40481
46,4,4.41419
48,4,4.41535
50,4,4.40822
52,4,4.39275
54,4,4.36894
56,4,4.33683
58,4,4.2965
60,4,4.24808
62,4,4.19174
64,4,4.12768
66,4,4.05617
68,4,3.97751
70,4,3.89203
72,4,3.80012
74,4,3.70221
76,4,3.59875
78,4,3.49024
80,4,3.3772
82,4,3.26021
84,4,3.13985
86,4,3.01673
88,4,2.89149
90,4,2.76479
92,4,2.63728
94,4,2.50966
96,4,2.38261
98,4,2.25681
100,4,2.13295
102,4,2.01171
104,4,1.89376
106,4,1.77976
108,4,1.67035
110,4,1.56612
112,4,1.46768
114,4,1.37558
116,4,1.29033
118,4,1.21243
120,4,1.1423
122,4,1.08035
124,4,1.02692
126,4,0.982306
128,4,0.946763
130,4,0.92048
132,4,0.903594
134,4,0.896185
136,4,0.898278
138,4,0.909839
140,4,0.93078
142,4,0.960954
144,4,1.00016
146,4,1.04815
148,4,1.1046
150,4,1.16917
152,4,1.24145
154,4,1.32099
156,4,1.40731
158,4,1.49987
160,4,1.59811
162,4,1.70144
164,4,1.80925
166,4,1.92088
168,4,2.03569
170,4,2.153
172,4,2.27213
174,4,2.3924
176,4,2.5131
178,4,2.63358
180,4,2.75314
-180,6,2.6224
-178,6,2.73605
-176,6,2.84683
-174,6,2.9541
-172,6,3.05728
-170,6,3.15581
-168,6,3.24917
-166,6,3.33687
-164,6,3.41848
-162,6,3.4936
-160,6,3.56188
-158,6,3.62301
-156,6,3.67674
-154,6,3.72286
-152,6,3.7612
-150,6,3.79165
-148,6,3.81412
-146,6,3.8286
-144,6,3.8351
-142,6,3.83368
-140,6,3.82444
-138,6,3.80753
-136,6,3.78312
-134,6,3.75142
-132,6,3.71269
-130,6,3.6672
-128,6,3.61526
-126,6,3.55721
-124,6,3.49341
-122,6,3.42424
-120,6,3.35009
-118,6,3.27139
-116,6,3.18857
-114,6,3.10207
-112,6,3.01233
-110,6,2.91983
-108,6,2.82501
-106,6,2.72834
-104,6,2.63029
-102,6,2.53132
-100,6,2.43188
-98,6,2.33241
-96,6,2.23337
-94,6,2.13519
-92,6,2.03828
-90,6,1.94305
-88,6,1.8499
-86,6,1.75922
-84,6,1.67136
-82,6,1.58667
-80,6,1.5055
-78,6,1.42814
-76,6,1.35491
-74,6,1.28607
-72,6,1.22189
-70,6,1.16261
-68,6,1.10845
-66,6,1.0596
-64,6,1.01625
-62,6,0.978556
-60,6,0.946659
-58,6,0.920675
-56,6,0.9007
-54,6,0.886808
-52,6,0.879054
-50,6,0.877467
-48,6,0.882058
-46,6,0.892814
-44,6,0.909702
-42,6,0.932666
-40,6,0.961627
-38,6,0.996489
-36,6,1.03713
-34,6,1.08341
-32,6,1.13518
-30,6,1.19224
-28,6,1.25441
-26,6,1.32146
-24,6,1.39317
-22,6,1.46928
-20,6,1.54953
-18,6,1.63364
-16,6,1.7213
-14,6,1.81222
-12,6,1.90607
-10,6,2.00253
-8,6,2.10124
-6,6,2.20186
-4,6,2.30402
-2,6,2.40736
0,6,2.51149
2,6,2.61604
4,6,2.72061
6,6,2.8248
8,6,2.92821
10,6,3.03045
12,6,3.13109
14,6,3.22973
16,6,3.32595
18,6,3.41934
20,6,3.5095
22,6,3.59601
24,6,3.67846
26,6,3.75646
28,6,3.82962
30,6,3.89755
32,6,3.95989
34,6,4.01627
36,6,4.06637
38,6,4.10986
40,6,4.14644
42,6,4.17584
44,6,4.19782
46,6,4.21217
48,6,4.21869
50,6,4.21725
52,6,4.20773
54,6,4.19006
56,6,4.16421
58,6,4.1302
60,6,4.08809
62,6,4.03799
64,6,3.98004
66,6,3.91444
68,6,3.84144
70,6,3.76134
72,6,3.67447
74,6,3.58121
76,6,3.48201
78,6,3.37731
80,6,3.26765
82,6,3.15355
84,6,3.0356
86,6,2.91442
88,6,2.79065
90,6,2.66494
92,6,2.53799
