Phi[deg],Theta[deg],dB(RealizedGainTotal)
34,2,6.9176
36,2,6.9193
38,2,6.92093
40,2,6.92251
42,2,6.92402
44,2,6.92548
46,2,6.92688
48,2,6.92822
50,2,6.9295
52,2,6.93073
54,2,6.93191
56,2,6.93303
58,2,6.9341
60,2,6.93512
62,2,6.93609
64,2,6.93702
66,2,6.9379
68,2,6.93873
70,2,6.93952
72,2,6.94026
74,2,6.94097
76,2,6.94163
78,2,6.94226
80,2,6.94284
82,2,6.94339
84,2,6.9439
86,2,6.94437
88,2,6.9448
90,2,6.9452
92,2,6.94556
94,2,6.94588
96,2,6.94616
98,2,6.94641
100,2,6.94662
102,2,6.94679
104,2,6.94692
106,2,6.94701
108,2,6.94706
110,2,6.94706
112,2,6.94702
114,2,6.94693
116,2,6.9468
118,2,6.94661
120,2,6.94638
122,2,6.94609
124,2,6.94575
126,2,6.94535
128,2,6.94489
130,2,6.94437
132,2,6.94379
134,2,6.94314
136,2,6.94243
138,2,6.94165
140,2,6.9408
142,2,6.93988
144,2,6.93888
146,2,6.93781
148,2,6.93666
150,2,6.93544
152,2,6.93413
154,2,6.93274
156,2,6.93128
158,2,6.92973
160,2,6.9281
162,2,6.92638
164,2,6.92459
166,2,6.92271
168,2,6.92075
170,2,6.91871
172,2,6.91659
174,2,6.91439
176,2,6.91212
178,2,6.90977
180,2,6.90734
-180,4,6.75069
-178,4,6.74584
-176,4,6.74073
-174,4,6.73537
-172,4,6.72977
-170,4,6.72394
-168,4,6.71788
-166,4,6.71161
-164,4,6.70513
-162,4,6.69847
-160,4,6.69162
-158,4,6.68461
-156,4,6.67746
-154,4,6.67017
-152,4,6.66276
-150,4,6.65526
-148,4,6.64768
-146,4,6.64004
-144,4,6.63236
-142,4,6.62466
-140,4,6.61696
-138,4,6.60929
-136,4,6.60165
-134,4,6.59409
-132,4,6.58661
-130,4,6.57924
-128,4,6.572
-126,4,6.56491
-124,4,6.558
-122,4,6.55128
-120,4,6.54477
-118,4,6.53849
-116,4,6.53247
-114,4,6.52672
-112,4,6.52125
-110,4,6.51609
-108,4,6.51124
-106,4,6.50673
-104,4,6.50256
-102,4,6.49875
-100,4,6.49531
-98,4,6.49224
-96,4,6.48956
-94,4,6.48727
-92,4,6.48538
-90,4,6.48389
-88,4,6.4828
-86,4,6.48212
-84,4,6.48185
-82,4,6.48197
-80,4,6.4825
-78,4,6.48343
-76,4,6.48475
-74,4,6.48645
-72,4,6.48853
-70,4,6.49098
-68,4,6.49379
-66,4,6.49695
-64,4,6.50044
-62,4,6.50426
-60,4,6.50839
-58,4,6.51281
-56,4,6.51751
-54,4,6.52247
-52,4,6.52768
-50,4,6.53312
-48,4,6.53878
-46,4,6.54463
-44,4,6.55065
-42,4,6.55684
-40,4,6.56316
-38,4,6.56961
-36,4,6.57616
-34,4,6.58279
-32,4,6.58949
-30,4,6.59623
-28,4,6.603
-26,4,6.60979
-24,4,6.61657
-22,4,6.62332
-20,4,6.63004
-18,4,6.6367
-16,4,6.64329
-14,4,6.6498
-12,4,6.65621
-10,4,6.66251
-8,4,6.66868
-6,4,6.67471
-4,4,6.6806
-2,4,6.68633
0,4,6.6919
2,4,6.69729
4,4,6.70251
6,4,6.70753
8,4,6.71237
10,4,6.71701
12,4,6.72144
14,4,6.72568
16,4,6.72971
18,4,6.73354
20,4,6.73716
22,4,6.74058
24,4,6.7438
26,4,6.74682
28,4,6.74965
30,4,6.75228
32,4,6.75473
34,4,6.75701
36,4,6.75911
38,4,6.76104
40,4,6.76281
42,4,6.76444
44,4,6.76592
46,4,6.76727
48,4,6.76849
50,4,6.7696
52,4,6.7706
54,4,6.77151
56,4,6.77233
58,4,6.77307
60,4,6.77374
62,4,6.77436
64,4,6.77492
66,4,6.77545
68,4,6.77594
70,4,6.77641
72,4,6.77686
74,4,6.7773
76,4,6.77775
78,4,6.77819
80,4,6.77865
82,4,6.77912
84,4,6.77962
86,4,6.78013
88,4,6.78067
90,4,6.78125
92,4,6.78185
94,4,6.78248
96,4,6.78314
98,4,6.78383
100,4,6.78455
102,4,6.7853
104,4,6.78606
106,4,6.78685
108,4,6.78765
110,4,6.78846
112,4,6.78927
114,4,6.79007
116,4,6.79086
118,4,6.79163
120,4,6.79237
122,4,6.79308
124,4,6.79373
126,4,6.79433
128,4,6.79485
130,4,6.7953
132,4,6.79566
134,4,6.79591
136,4,6.79606
138,4,6.79608
140,4,6.79596
142,4,6.7957
144,4,6.79528
146,4,6.79469
148,4,6.79392
150,4,6.79296
152,4,6.7918
154,4,6.79044
156,4,6.78885
158,4,6.78705
160,4,6.785
162,4,6.78272
164,4,6.78019
166,4,6.77741
168,4,6.77438
170,4,6.77109
172,4,6.76753
174,4,6.76372
176,4,6.75964
178,4,6.7553
180,4,6.75069
-180,6,6.48268
-178,6,6.47559
-176,6,6.46793
-174,6,6.45971
-172,6,6.45093
-170,6,6.4416
-168,6,6.43174
-166,6,6.42137
-164,6,6.4105
-162,6,6.39916
-160,6,6.38738
-158,6,6.37517
-156,6,6.36258
-154,6,6.34962
-152,6,6.33635
-150,6,6.32279
-148,6,6.30898
-146,6,6.29497
-144,6,6.2808
-142,6,6.26651
-140,6,6.25215
-138,6,6.23776
-136,6,6.22339
-134,6,6.20909
-132,6,6.1949
-130,6,6.18088
-128,6,6.16708
-126,6,6.15354
-124,6,6.1403
-122,6,6.12742
-120,6,6.11494
-118,6,6.10291
-116,6,6.09136
-114,6,6.08033
-112,6,6.06987
-110,6,6.06001
-108,6,6.05078
-106,6,6.04221
-104,6,6.03434
-102,6,6.02718
-100,6,6.02076
-98,6,6.01509
-96,6,6.0102
-94,6,6.00609
-92,6,6.00277
-90,6,6.00026
-88,6,5.99855
-86,6,5.99764
-84,6,5.99754
-82,6,5.99823
-80,6,5.9997
-78,6,6.00195
-76,6,6.00496
-74,6,6.00871
-72,6,6.01319
-70,6,6.01837
-68,6,6.02422
-66,6,6.03073
-64,6,6.03786
-62,6,6.04558
-60,6,6.05387
-58,6,6.06269
-56,6,6.072
-54,6,6.08178
-52,6,6.09198
-50,6,6.10257
-48,6,6.11351
-46,6,6.12476
-44,6,6.13628
-42,6,6.14804
-40,6,6.16
-38,6,6.17211
-36,6,6.18434
-34,6,6.19664
-32,6,6.20899
-30,6,6.22135
-28,6,6.23367
-26,6,6.24592
-24,6,6.25807
-22,6,6.27009
-20,6,6.28193
-18,6,6.29358
-16,6,6.30499
-14,6,6.31615
-12,6,6.32703
-10,6,6.33759
-8,6,6.34783
-6,6,6.35771
-4,6,6.36722
-2,6,6.37634
0,6,6.38506
2,6,6.39336
4,6,6.40123
6,6,6.40867
8,6,6.41566
10,6,6.4222
12,6,6.42829
14,6,6.43393
16,6,6.43912
18,6,6.44385
20,6,6.44815
22,6,6.45201
24,6,6.45545
26,6,6.45847
28,6,6.46108
30,6,6.46331
32,6,6.46517
34,6,6.46667
36,6,6.46784
38,6,6.46869
40,6,6.46925
42,6,6.46953
44,6,6.46956
46,6,6.46937
48,6,6.46897
50,6,6.4684
52,6,6.46767
54,6,6.46682
56,6,6.46587
58,6,6.46484
60,6,6.46376
62,6,6.46265
64,6,6.46154
66,6,6.46045
68,6,6.4594
70,6,6.45841
72,6,6.45751
74,6,6.45672
76,6,6.45604
78,6,6.45551
80,6,6.45513
82,6,6.45491
84,6,6.45487
86,6,6.45503
88,6,6.45537
90,6,6.45593
92,6,6.45668
94,6,6.45765
96,6,6.45883
98,6,6.46022
100,6,6.46181
102,6,6.46361
104,6,6.46559
106,6,6.46777
108,6,6.47011
110,6,6.47261
112,6,6.47526
114,6,6.47804
116,6,6.48092
118,6,6.4839
120,6,6.48695
122,6,6.49005
124,6,6.49317
126,6,6.49629
128,6,6.49938
130,6,6.50242
132,6,6.50538
134,6,6.50823
136,6,6.51094
138,6,6.51349
140,6,6.51585
142,6,6.51798
144,6,6.51986
146,6,6.52146
148,6,6.52275
150,6,6.52371
152,6,6.5243
154,6,6.5245
156,6,6.52429
158,6,6.52365
160,6,6.52255
162,6,6.52096
164,6,6.51888
166,6,6.51629
168,6,6.51316
170,6,6.50949
172,6,6.50527
174,6,6.50048
176,6,6.49512
178,6,6.48919
180,6,6.48268
-180,8,6.10492
-178,8,6.09577
-176,8,6.08557
-174,8,6.07433
-172,8,6.06204
-170,8,6.04873
-168,8,6.03442
-166,8,6.01912
-164,8,6.00288
-162,8,5.98571
-160,8,5.96767
-158,8,5.9488
-156,8,5.92915
-154,8,5.90876
-152,8,5.88771
-150,8,5.86606
-148,8,5.84387
-146,8,5.82122
-144,8,5.79818
-142,8,5.77484
-140,8,5.75128
-138,8,5.72758
-136,8,5.70383
-134,8,5.68013
-132,8,5.65656
-130,8,5.63321
-128,8,5.61019
-126,8,5.58756
-124,8,5.56544
-122,8,5.5439
-120,8,5.52303
-118,8,5.50292
-116,8,5.48364
-114,8,5.46526
-112,8,5.44787
-110,8,5.43152
-108,8,5.41627
-106,8,5.40218
-104,8,5.38931
-102,8,5.37768
-100,8,5.36734
-98,8,5.35833
-96,8,5.35065
-94,8,5.34434
-92,8,5.33939
-90,8,5.33583
-88,8,5.33364
-86,8,5.33282
-84,8,5.33336
-82,8,5.33524
-80,8,5.33844
-78,8,5.34293
-76,8,5.34867
-74,8,5.35564
-72,8,5.3638
-70,8,5.37309
-68,8,5.38347
-66,8,5.3949
-64,8,5.40732
-62,8,5.42067
-60,8,5.4349
-58,8,5.44994
-56,8,5.46574
-54,8,5.48224
-52,8,5.49936
-50,8,5.51704
-48,8,5.53522
-46,8,5.55383
-44,8,5.5728
-42,8,5.59207
-40,8,5.61157
-38,8,5.63123
-36,8,5.65098
-34,8,5.67077
-32,8,5.69052
-30,8,5.71017
-28,8,5.72966
-26,8,5.74894
-24,8,5.76794
-22,8,5.78661
-20,8,5.80489
-18,8,5.82274
-16,8,5.84011
-14,8,5.85694
-12,8,5.8732
-10,8,5.88885
-8,8,5.90385
-6,8,5.91817
-4,8,5.93178
-2,8,5.94465
0,8,5.95677
2,8,5.96811
4,8,5.97865
6,8,5.9884
8,8,5.99733
10,8,6.00544
12,8,6.01274
14,8,6.01923
16,8,6.02491
18,8,6.0298
20,8,6.03391
22,8,6.03725
24,8,6.03985
26,8,6.04173
28,8,6.04292
30,8,6.04345
32,8,6.04334
34,8,6.04264
36,8,6.04139
38,8,6.03962
40,8,6.03738
42,8,6.0347
44,8,6.03164
46,8,6.02825
48,8,6.02456
50,8,6.02063
52,8,6.01651
54,8,6.01225
56,8,6.0079
58,8,6.0035
60,8,5.99911
62,8,5.99477
64,8,5.99054
66,8,5.98644
68,8,5.98254
70,8,5.97887
72,8,5.97547
74,8,5.97238
76,8,5.96964
78,8,5.96726
80,8,5.9653
82,8,5.96376
84,8,5.96268
86,8,5.96206
88,8,5.96194
90,8,5.96232
92,8,5.96321
94,8,5.96461
96,8,5.96653
98,8,5.96897
100,8,5.97191
102,8,5.97535
104,8,5.97928
106,8,5.98367
108,8,5.98852
110,8,5.99378
112,8,5.99945
114,8,6.00548
116,8,6.01184
118,8,6.01849
120,8,6.02541
122,8,6.03253
124,8,6.03983
126,8,6.04725
128,8,6.05474
130,8,6.06226
132,8,6.06975
134,8,6.07715
136,8,6.08442
138,8,6.0915
140,8,6.09833
142,8,6.10486
144,8,6.11103
146,8,6.11678
148,8,6.12207
150,8,6.12683
152,8,6.13102
154,8,6.13458
156,8,6.13747
158,8,6.13964
160,8,6.14103
162,8,6.14162
164,8,6.14135
166,8,6.1402
168,8,6.13813
170,8,6.13511
172,8,6.1311
174,8,6.1261
176,8,6.12008
178,8,6.11302
180,8,6.10492
-180,10,5.61914
-178,10,5.60815
-176,10,5.59544
-174,10,5.58101
-172,10,5.56486
-170,10,5.547
-168,10,5.52745
-166,10,5.50625
-164,10,5.48343
-162,10,5.45903
-160,10,5.43312
-158,10,5.40575
-156,10,5.377
-154,10,5.34695
-152,10,5.3157
-150,10,5.28334
-148,10,5.24998
-146,10,5.21574
-144,10,5.18074
-142,10,5.14513
-140,10,5.10902
-138,10,5.07258
-136,10,5.03595
-134,10,4.99928
-132,10,4.96274
-130,10,4.92648
-128,10,4.89066
-126,10,4.85545
-124,10,4.821
-122,10,4.78747
-120,10,4.755
-118,10,4.72376
-116,10,4.69386
-114,10,4.66545
-112,10,4.63864
-110,10,4.61355
-108,10,4.59027
-106,10,4.5689
-104,10,4.54952
-102,10,4.53218
-100,10,4.51694
-98,10,4.50385
-96,10,4.49292
-94,10,4.48418
-92,10,4.47764
-90,10,4.47328
-88,10,4.47109
-86,10,4.47105
-84,10,4.47312
-82,10,4.47726
-80,10,4.48341
-78,10,4.49153
-76,10,4.50155
-74,10,4.5134
-72,10,4.52701
-70,10,4.5423
-68,10,4.55919
-66,10,4.57759
-64,10,4.59742
-62,10,4.61858
-60,10,4.64099
-58,10,4.66453
-56,10,4.68913
-54,10,4.71467
-52,10,4.74106
-50,10,4.76819
-48,10,4.79596
-46,10,4.82427
-44,10,4.85302
-42,10,4.8821
-40,10,4.9114
-38,10,4.94083
-36,10,4.97029
-34,10,4.99967
-32,10,5.02887
-30,10,5.0578
-28,10,5.08637
-26,10,5.11448
-24,10,5.14205
-22,10,5.16899
-20,10,5.19522
-18,10,5.22067
-16,10,5.24526
-14,10,5.26892
-12,10,5.29161
-10,10,5.31325
-8,10,5.33379
-6,10,5.35319
-4,10,5.37141
-2,10,5.38841
0,10,5.40416
2,10,5.41863
4,10,5.43182
6,10,5.4437
8,10,5.45427
10,10,5.46352
12,10,5.47147
14,10,5.47812
16,10,5.48348
18,10,5.48758
20,10,5.49045
22,10,5.49211
24,10,5.49261
26,10,5.49198
28,10,5.49028
30,10,5.48755
32,10,5.48385
34,10,5.47924
36,10,5.47379
38,10,5.46756
40,10,5.46063
42,10,5.45308
44,10,5.44497
46,10,5.43639
48,10,5.42742
50,10,5.41815
52,10,5.40865
54,10,5.39902
56,10,5.38934
58,10,5.37969
60,10,5.37016
62,10,5.36082
64,10,5.35176
66,10,5.34306
68,10,5.33478
70,10,5.327
72,10,5.31978
74,10,5.31319
76,10,5.30729
78,10,5.30213
80,10,5.29775
82,10,5.29421
84,10,5.29153
86,10,5.28976
88,10,5.28891
90,10,5.289
92,10,5.29006
94,10,5.29209
96,10,5.29509
98,10,5.29906
100,10,5.30399
102,10,5.30986
104,10,5.31666
106,10,5.32434
108,10,5.33289
110,10,5.34226
112,10,5.35241
114,10,5.36328
116,10,5.37482
118,10,5.38697
120,10,5.39966
122,10,5.41283
124,10,5.4264
126,10,5.44029
128,10,5.45442
130,10,5.46871
132,10,5.48306
134,10,5.4974
136,10,5.51163
138,10,5.52566
140,10,5.53939
142,10,5.55273
144,10,5.56558
146,10,5.57786
148,10,5.58947
150,10,5.60033
152,10,5.61033
154,10,5.6194
156,10,5.62745
158,10,5.6344
160,10,5.64017
162,10,5.64469
164,10,5.64788
166,10,5.64969
168,10,5.65006
170,10,5.64892
172,10,5.64622
174,10,5.64194
176,10,5.63601
178,10,5.62842
180,10,5.61914
-180,12,5.02721
-178,12,5.01471
-176,12,4.9996
-174,12,4.98184
-172,12,4.96145
-170,12,4.93841
-168,12,4.91274
-166,12,4.88448
-164,12,4.85365
-162,12,4.82032
-160,12,4.78454
-158,12,4.74641
-156,12,4.70602
-154,12,4.66347
-152,12,4.6189
-150,12,4.57245
-148,12,4.52427
-146,12,4.47455
-144,12,4.42346
-142,12,4.37121
-140,12,4.31803
-138,12,4.26414
-136,12,4.20979
-134,12,4.15523
-132,12,4.10072
-130,12,4.04653
-128,12,3.99293
-126,12,3.9402
-124,12,3.88861
-122,12,3.83842
-120,12,3.7899
-118,12,3.74329
-116,12,3.69884
-114,12,3.65675
-112,12,3.61724
-110,12,3.58048
-108,12,3.54664
-106,12,3.51585
-104,12,3.48822
-102,12,3.46384
-100,12,3.44277
-98,12,3.42506
-96,12,3.41073
-94,12,3.39976
-92,12,3.39214
-90,12,3.38782
-88,12,3.38676
-86,12,3.38887
-84,12,3.39407
-82,12,3.40228
-80,12,3.41339
-78,12,3.42728
-76,12,3.44385
-74,12,3.46298
-72,12,3.48454
-70,12,3.5084
-68,12,3.53444
-66,12,3.56252
-64,12,3.59252
-62,12,3.62429
-60,12,3.6577
-58,12,3.69261
-56,12,3.72888
-54,12,3.76637
-52,12,3.80493
-50,12,3.84441
-48,12,3.88468
-46,12,3.92558
-44,12,3.96696
-42,12,4.00868
-40,12,4.05059
-38,12,4.09253
-36,12,4.13437
-34,12,4.17595
-32,12,4.21713
-30,12,4.25777
-28,12,4.29775
-26,12,4.33691
-24,12,4.37515
-22,12,4.41233
-20,12,4.44835
-18,12,4.48308
-16,12,4.51644
-14,12,4.54832
-12,12,4.57865
-10,12,4.60733
-8,12,4.6343
-6,12,4.65951
-4,12,4.68288
-2,12,4.70438
0,12,4.72397
2,12,4.74163
4,12,4.75732
6,12,4.77105
8,12,4.7828
10,12,4.79258
12,12,4.8004
14,12,4.80628
16,12,4.81026
18,12,4.81237
20,12,4.81264
22,12,4.81114
24,12,4.80792
26,12,4.80305
28,12,4.7966
30,12,4.78865
32,12,4.7793
34,12,4.76862
36,12,4.75673
38,12,4.74374
40,12,4.72974
42,12,4.71487
44,12,4.69924
46,12,4.68299
48,12,4.66623
50,12,4.6491
52,12,4.63174
54,12,4.61428
56,12,4.59685
58,12,4.57958
60,12,4.56262
62,12,4.54608
64,12,4.5301
66,12,4.51478
68,12,4.50026
70,12,4.48663
72,12,4.47401
74,12,4.46248
76,12,4.45214
78,12,4.44306
80,12,4.43532
82,12,4.42899
84,12,4.42412
86,12,4.42075
88,12,4.41893
90,12,4.41868
92,12,4.42003
94,12,4.42299
96,12,4.42756
98,12,4.43374
100,12,4.44151
102,12,4.45085
104,12,4.46172
106,12,4.47408
108,12,4.48789
110,12,4.50308
112,12,4.51959
114,12,4.53734
116,12,4.55623
118,12,4.5762
120,12,4.59712
122,12,4.61889
124,12,4.6414
126,12,4.66453
128,12,4.68815
130,12,4.71212
132,12,4.73632
134,12,4.76061
136,12,4.78484
138,12,4.80887
140,12,4.83255
142,12,4.85574
144,12,4.8783
146,12,4.90007
148,12,4.92092
150,12,4.9407
152,12,4.95928
154,12,4.97652
156,12,4.99229
158,12,5.00647
160,12,5.01894
162,12,5.02957
164,12,5.03827
166,12,5.04493
168,12,5.04944
170,12,5.05173
172,12,5.05171
174,12,5.04931
176,12,5.04446
178,12,5.03711
180,12,5.02721
-180,14,4.33124
-178,14,4.31776
-176,14,4.30049
-174,14,4.27938
-172,14,4.25441
-170,14,4.22554
-168,14,4.19279
-166,14,4.15617
-164,14,4.11569
-162,14,4.07142
-160,14,4.0234
-158,14,3.97174
-156,14,3.91654
-154,14,3.85793
-152,14,3.79606
-150,14,3.73113
-148,14,3.66334
-146,14,3.59292
-144,14,3.52015
-142,14,3.44532
-140,14,3.36876
-138,14,3.29083
-136,14,3.21189
-134,14,3.13236
-132,14,3.05266
-130,14,2.97324
-128,14,2.89455
-126,14,2.81707
-124,14,2.74125
-122,14,2.66755
-120,14,2.59644
-118,14,2.52834
-116,14,2.46366
-114,14,2.40278
-112,14,2.34603
-110,14,2.29372
-108,14,2.24608
-106,14,2.20332
-104,14,2.1656
-102,14,2.133
-100,14,2.10557
-98,14,2.08334
-96,14,2.06624
-94,14,2.05422
-92,14,2.04715
-90,14,2.04491
-88,14,2.04734
-86,14,2.05425
-84,14,2.06548
-82,14,2.08081
-80,14,2.10006
-78,14,2.12302
-76,14,2.1495
-74,14,2.17931
-72,14,2.21226
-70,14,2.24815
-68,14,2.28682
-66,14,2.32806
-64,14,2.37171
-62,14,2.4176
-60,14,2.46553
-58,14,2.51534
-56,14,2.56683
-54,14,2.61984
-52,14,2.67416
-50,14,2.7296
-48,14,2.78598
-46,14,2.84308
-44,14,2.90071
-42,14,2.95866
-40,14,3.01672
-38,14,3.07469
-36,14,3.13235
-34,14,3.1895
-32,14,3.24593
-30,14,3.30144
-28,14,3.35584
-26,14,3.40895
-24,14,3.46057
-22,14,3.51053
-20,14,3.55868
-18,14,3.60486
-16,14,3.64893
-14,14,3.69076
-12,14,3.73024
-10,14,3.76725
-8,14,3.80171
-6,14,3.83354
-4,14,3.86267
-2,14,3.88905
0,14,3.91263
2,14,3.93339
4,14,3.95132
6,14,3.96639
8,14,3.97862
10,14,3.98803
12,14,3.99464
14,14,3.99848
16,14,3.99961
18,14,3.99808
20,14,3.99395
22,14,3.98731
24,14,3.97824
26,14,3.96684
28,14,3.95321
30,14,3.93747
32,14,3.91974
34,14,3.90017
36,14,3.8789
38,14,3.85609
40,14,3.83191
42,14,3.80652
44,14,3.78011
46,14,3.75288
48,14,3.72501
50,14,3.69671
52,14,3.66818
54,14,3.63963
56,14,3.61126
58,14,3.58328
60,14,3.55589
62,14,3.52928
64,14,3.50364
66,14,3.47916
68,14,3.45599
70,14,3.43431
72,14,3.41427
74,14,3.396
76,14,3.37963
78,14,3.36526
80,14,3.35301
82,14,3.34296
84,14,3.33519
86,14,3.32975
88,14,3.3267
90,14,3.32609
92,14,3.32793
94,14,3.33225
96,14,3.33904
98,14,3.34831
100,14,3.36003
102,14,3.37417
104,14,3.39069
106,14,3.40953
108,14,3.43062
110,14,3.45387
112,14,3.4792
114,14,3.50649
116,14,3.53561
118,14,3.56644
120,14,3.59881
122,14,3.63258
124,14,3.66757
126,14,3.7036
128,14,3.74048
130,14,3.77801
132,14,3.81599
134,14,3.8542
136,14,3.89244
138,14,3.93048
140,14,3.96812
