Phi[deg],Theta[deg],RealizedGainPhi
-180,0,0.149334
-178,0,0.153772
-176,0,0.161086
-174,0,0.17124
-172,0,0.184186
-170,0,0.199859
-168,0,0.218184
-166,0,0.239072
-164,0,0.262419
-162,0,0.288114
-160,0,0.31603
-158,0,0.346032
-156,0,0.377973
-154,0,0.411698
-152,0,0.447043
-150,0,0.483834
-148,0,0.521894
-146,0,0.561037
-144,0,0.601071
-142,0,0.641803
-140,0,0.683032
-138,0,0.72456
-136,0,0.766183
-134,0,0.807698
-132,0,0.848903
-130,0,0.889598
-128,0,0.929584
-126,0,0.968667
-124,0,1.00666
-122,0,1.04336
-120,0,1.07862
-118,0,1.11224
-116,0,1.14407
-114,0,1.17395
-112,0,1.20173
-110,0,1.22729
-108,0,1.25049
-106,0,1.27123
-104,0,1.28939
-102,0,1.3049
-100,0,1.31768
-98,0,1.32767
-96,0,1.33481
-94,0,1.33907
-92,0,1.34044
-90,0,1.3389
-88,0,1.33446
-86,0,1.32715
-84,0,1.31699
-82,0,1.30404
-80,0,1.28837
-78,0,1.27005
-76,0,1.24916
-74,0,1.22581
-72,0,1.20012
-70,0,1.1722
-68,0,1.1422
-66,0,1.11026
-64,0,1.07653
-62,0,1.04119
-60,0,1.0044
-58,0,0.966336
-56,0,0.927194
-54,0,0.887159
-52,0,0.846428
-50,0,0.805198
-48,0,0.763671
-46,0,0.722048
-44,0,0.680533
-42,0,0.639328
-40,0,0.598633
-38,0,0.558647
-36,0,0.519564
-34,0,0.481576
-32,0,0.444866
-30,0,0.409615
-28,0,0.375993
-26,0,0.344164
-24,0,0.314284
-22,0,0.286498
-20,0,0.260942
-18,0,0.23774
-16,0,0.217004
-14,0,0.198837
-12,0,0.183326
-10,0,0.170547
-8,0,0.160563
-6,0,0.153422
-4,0,0.149158
-2,0,0.147793
0,0,0.149334
2,0,0.153772
4,0,0.161086
6,0,0.17124
8,0,0.184186
10,0,0.199859
12,0,0.218184
14,0,0.239072
16,0,0.262419
18,0,0.288114
20,0,0.31603
22,0,0.346032
24,0,0.377973
26,0,0.411698
28,0,0.447043
30,0,0.483834
32,0,0.521894
34,0,0.561037
36,0,0.601071
38,0,0.641803
40,0,0.683032
42,0,0.72456
44,0,0.766183
46,0,0.807698
48,0,0.848903
50,0,0.889598
52,0,0.929584
54,0,0.968667
56,0,1.00666
58,0,1.04336
60,0,1.07862
62,0,1.11224
64,0,1.14407
66,0,1.17395
68,0,1.20173
70,0,1.22729
72,0,1.25049
74,0,1.27123
76,0,1.28939
78,0,1.3049
80,0,1.31768
82,0,1.32767
84,0,1.33481
86,0,1.33907
88,0,1.34044
90,0,1.3389
92,0,1.33446
94,0,1.32715
96,0,1.31699
98,0,1.30404
100,0,1.28837
102,0,1.27005
104,0,1.24916
106,0,1.22581
108,0,1.20012
110,0,1.1722
112,0,1.1422
114,0,1.11026
116,0,1.07653
118,0,1.04119
120,0,1.0044
122,0,0.966336
124,0,0.927194
126,0,0.887159
128,0,0.846428
130,0,0.805198
132,0,0.763671
134,0,0.722048
136,0,0.680533
138,0,0.639328
140,0,0.598633
142,0,0.558647
144,0,0.519564
146,0,0.481576
148,0,0.444866
150,0,0.409615
152,0,0.375993
154,0,0.344164
156,0,0.314284
158,0,0.286498
160,0,0.260942
162,0,0.23774
164,0,0.217004
166,0,0.198837
168,0,0.183326
170,0,0.170547
172,0,0.160563
174,0,0.153422
176,0,0.149158
178,0,0.147793
180,0,0.149334
-180,2,0.150824
-178,2,0.155135
-176,2,0.162354
-174,2,0.172449
-172,2,0.185372
-170,2,0.201064
-168,2,0.21945
-166,2,0.240442
-164,2,0.263939
-162,2,0.289828
-160,2,0.317983
-158,2,0.348268
-156,2,0.380534
-154,2,0.414624
-152,2,0.45037
-150,2,0.487597
-148,2,0.526123
-146,2,0.565756
-144,2,0.606303
-142,2,0.647562
-140,2,0.68933
-138,2,0.731401
-136,2,0.773566
-134,2,0.815618
-132,2,0.857348
-130,2,0.89855
-128,2,0.939021
-126,2,0.978559
-124,2,1.01697
-122,2,1.05407
-120,2,1.08966
-118,2,1.12359
-116,2,1.15567
-114,2,1.18575
-112,2,1.21368
-110,2,1.23934
-108,2,1.26258
-106,2,1.2833
-104,2,1.3014
-102,2,1.3168
